True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,183.28242,1434.8657,1446.5242,-82.72075,82.56948600182659,-0.03534904,-3.7277782e-06,1.5845637e-05,1.5591246e-05,2.0,40,0.009935783,6.8687295e-06,0,8.320111494149598e-09,2.0
111,111,6057573.0,245.58086,1748.9734,1766.1307,-82.00711,83.12149560134276,-0.03532113,-2.5929662e-06,1.5022365e-05,1.4731908e-05,2.0,40,0.014071088,7.967184e-06,0,5.258792838574925e-09,2.0
112,112,5242039.0,236.53142,2026.8873,2040.6418,-83.343864,83.53749290111591,-0.035273433,-2.6333422e-05,1.4979258e-05,1.4778009e-05,2.0,40,0.019547448,9.579068e-06,0,5.607696875373029e-09,2.0
113,113,4536288.0,159.16486,2364.2676,2369.6191,-86.148605,84.9054939794296,-0.03532493,3.8259104e-06,1.4839623e-05,1.4772671e-05,2.0,40,0.019054102,8.040997e-06,0,-8.048204060089868e-09,2.0
114,114,3925558.5,238.10892,2676.6477,2687.2178,-84.91647,85.32148362588487,-0.03539316,1.4133293e-05,1.5147029e-05,1.5028103e-05,2.0,40,0.01820093,6.7731503e-06,0,-7.95051434327185e-09,2.0
115,115,3397055.0,265.70966,3026.0378,3037.6812,-84.98186,85.73750076562283,-0.03541753,2.4943027e-05,1.5482576e-05,1.5364114e-05,2.0,40,0.019151814,6.304748e-06,0,-6.033363068355878e-09,2.0
116,116,2939708.2,310.73508,3467.9087,3481.8022,-84.8798,86.15348641204764,-0.035366368,-2.3803084e-05,1.561163e-05,1.5487287e-05,2.0,40,0.020915864,6.0071948e-06,0,-5.897774538088966e-09,2.0
117,117,2543924.5,363.97275,3968.468,3985.1243,-84.75971,86.70549430491519,-0.035364058,-1.189564e-05,1.5764967e-05,1.5633459e-05,2.0,40,0.020551318,5.157008e-06,0,-6.158298808731101e-09,2.0
118,118,2201436.2,351.11456,4548.6245,4562.156,-85.58601,87.25750747779966,-0.03542504,1.0537156e-06,1.5894027e-05,1.5799884e-05,2.0,40,0.02078157,4.5552083e-06,0,-1.9012660645704788e-09,2.0
119,119,1905053.1,350.59912,5310.9683,5322.528,-86.223145,87.80950163738453,-0.03538308,4.9050263e-06,1.5730384e-05,1.5662132e-05,2.0,40,0.020281091,3.8104247e-06,0,-2.181550498743936e-09,2.0
120,120,1648567.4,194.9711,6268.951,6271.9824,-88.21861,88.52850055150338,-0.035333578,-4.7194385e-06,1.5399924e-05,1.5385041e-05,2.0,41,0.019045433,3.036589e-06,0,-4.628287473648789e-09,2.0
121,121,1426616.2,118.84955,7217.0244,7218.003,-89.05654,89.08049703107099,-0.035380136,1.4086454e-07,1.5458054e-05,1.5453863e-05,2.0,41,0.020170406,2.794458e-06,0,-3.813368552189278e-09,2.0
122,122,1234551.2,186.31087,8440.898,8442.954,-88.73555,89.63248791059596,-0.03544816,9.822335e-06,1.5272928e-05,1.5265492e-05,2.0,41,0.020802371,2.4638734e-06,0,-2.6290557111077443e-09,2.0
123,123,1068345.5,216.36234,9751.493,9753.894,-88.72895,90.18450711018522,-0.035260446,-8.963331e-06,1.5276972e-05,1.5269454e-05,2.0,41,0.020659486,2.1180758e-06,0,-2.7310002942899895e-09,2.0
124,124,924510.06,259.6095,11265.715,11268.706,-88.6799,90.7365026830521,-0.035345986,1.6097982e-08,1.5280928e-05,1.5272817e-05,2.0,41,0.020298537,1.8013193e-06,0,-2.559125731805217e-09,2.0
125,125,800039.0,-1126.6061,14383.817,14427.87,-94.47852,91.28849710928625,-0.035374995,-1.9224303e-06,1.3830402e-05,1.3746074e-05,2.0,41,0.020884642,1.4475208e-06,0,-3.260130293921224e-09,2.0
126,126,692334.1,72.75905,15418.285,15418.457,-89.72962,91.84048969551804,-0.03539301,1.911434e-07,1.4909681e-05,1.4909348e-05,2.0,41,0.020512646,1.3303955e-06,0,-3.830313531189875e-09,2.0
