True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,207.07831,1274.1594,1290.8771,-80.76891,2.467497983860085,-0.01994786,5.0730214e-05,1.7844204e-05,1.738501e-05,1.0,40,0.0094217565,7.2987245e-06,0,1.4280015906805942e-08,1.0
1,1,6057573.0,178.97011,1491.8894,1502.5858,-83.15937,3.0194851833803114,-0.019732067,-5.3255426e-05,1.7611033e-05,1.7361193e-05,1.0,40,0.013259229,8.824274e-06,0,1.1080595361853006e-08,1.0
2,2,5242039.0,205.37737,1748.0236,1760.0472,-83.29897,3.4354939764889423,-0.019851627,9.70523e-06,1.7368911e-05,1.7132412e-05,1.0,40,0.018205546,1.0343782e-05,0,8.635767943347774e-09,1.0
3,3,4536288.0,119.46105,1949.7999,1953.456,-86.493965,5.0754967477114405,-0.019747438,-2.6333406e-05,1.7994073e-05,1.7926779e-05,1.0,40,0.018403582,9.421037e-06,0,1.8771964752703397e-08,1.0
4,4,3925558.5,202.44507,2277.9036,2286.8818,-84.92127,5.627500000613509,-0.019907188,2.6580336e-05,1.7798497e-05,1.7659018e-05,1.0,40,0.020286955,8.871011e-06,0,3.0747229246919184e-08,1.0
5,5,3397055.0,223.4674,2592.4595,2602.073,-85.07334,6.0434816736669745,-0.019897666,2.0012632e-05,1.8071973e-05,1.7938684e-05,1.0,40,0.021251244,8.167044e-06,0,2.9508327796002554e-08,1.0
6,6,2939708.2,230.5226,3017.001,3025.795,-85.63064,6.595490393257933,-0.01984302,-6.593083e-06,1.7944876e-05,1.7840719e-05,1.0,40,0.020676866,6.8335316e-06,0,2.5652866007249032e-08,1.0
7,7,2543924.5,285.88663,3439.8633,3451.723,-85.24908,7.147492019488709,-0.019877916,7.863301e-06,1.8187573e-05,1.8062807e-05,1.0,40,0.020291507,5.8786604e-06,0,2.5758288534209188e-08,1.0
8,8,2201436.2,324.1424,4002.5312,4015.635,-85.37004,7.699499725684291,-0.019944264,4.2618176e-05,1.806256e-05,1.7944869e-05,1.0,40,0.02117083,5.2721e-06,0,2.281810822173864e-08,1.0
9,9,1905053.1,257.82864,4596.204,4603.43,-86.7893,8.251502525206888,-0.01985077,-3.1096377e-05,1.8176645e-05,1.8119626e-05,1.0,40,0.02048079,4.449028e-06,0,-7.390941642724001e-11,1.0
10,10,1648567.4,442.93903,5396.827,5414.9736,-85.30802,8.803502258117078,-0.019714143,-8.3879866e-05,1.7888542e-05,1.7768847e-05,1.0,40,0.01990412,3.6757556e-06,0,2.951024817725233e-09,1.0
11,11,1426616.2,44.13764,6141.4443,6141.603,-89.588234,9.522483678912977,-0.019846,-4.8684087e-06,1.8165296e-05,1.8164357e-05,1.0,41,0.019367075,3.1534234e-06,0,5.469174968019451e-09,1.0
12,12,1234551.2,201.1304,7143.8423,7146.673,-88.3873,10.074494691827567,-0.01991162,6.667808e-06,1.8045925e-05,1.8031633e-05,1.0,41,0.020626295,2.8861396e-06,0,4.660750935045144e-09,1.0
13,13,1068345.5,217.04958,8215.717,8218.583,-88.486664,10.626495758042438,-0.01993998,3.777706e-06,1.8132721e-05,1.8120076e-05,1.0,41,0.020449169,2.4881624e-06,0,3.4951925137028815e-09,1.0
14,14,924510.06,208.66821,9483.633,9485.928,-88.739525,11.178484050935367,-0.01996107,4.1594526e-06,1.8152388e-05,1.8143606e-05,1.0,41,0.020235397,2.1332016e-06,0,3.330730445782927e-09,1.0
15,15,800039.0,-11083.585,11766.31,16164.525,-133.28859,11.730496770498576,-0.019960977,1.17273485e-05,1.6907083e-05,8.958253e-06,1.0,41,0.02194312,1.3574862e-06,0,2.857428231319798e-09,1.0
16,16,692334.1,636.74915,12144.159,12160.841,-86.99859,12.282485783362063,-0.019726701,-1.15666535e-05,1.8929404e-05,1.8877507e-05,1.0,41,0.020509383,1.6865102e-06,0,2.886448209420362e-09,1.0
17,17,599122.25,313.5042,14601.246,14604.611,-88.76999,12.834479009587085,-0.019903945,4.4313297e-06,1.819344e-05,1.8185056e-05,1.0,41,0.020495517,1.4033593e-06,0,2.383831163756314e-09,1.0
18,18,518454.94,863.6228,17553.068,17574.3,-87.18328,13.386487595824292,-0.019945605,4.5449246e-06,1.748864e-05,1.744641e-05,1.0,41,0.020428998,1.162436e-06,0,1.411185160458375e-09,1.0
19,19,448662.03,495.4385,19429.826,19436.143,-88.53934,13.938479008706054,-0.019935563,3.5896255e-06,1.8257104e-05,1.8245239e-05,1.0,41,0.02043569,1.0514273e-06,0,1.7096249735509951e-09,1.0
20,20,388258.97,1013.8341,22467.754,22490.617,-87.41634,14.490492848242866,-0.019780975,-1.2536849e-05,1.8244795e-05,1.820772e-05,1.0,41,0.020999232,9.3368857e-07,0,1.3841847851254998e-09,1.0
21,21,335983.9,5173.6094,33798.484,34192.16,-81.29716,15.042491994478041,-0.019998893,1.0623076e-05,1.4015365e-05,1.3694487e-05,1.0,41,0.02093486,6.1227075e-07,0,7.416681368397348e-10,1.0
22,22,290751.2,1272.7599,29502.82,29530.262,-87.52978,15.59448082066956,-0.019875923,4.349395e-06,1.8553896e-05,1.8519428e-05,1.0,41,0.020505797,6.9439943e-07,0,1.404096636605148e-09,1.0
23,23,251605.19,2084.6614,34921.508,34983.676,-86.58375,16.146497060224647,-0.0199465,4.7627964e-06,1.8113717e-05,1.8049395e-05,1.0,41,0.02031444,5.8068343e-07,0,2.158934618257212e-09,1.0
24,24,217729.38,2443.6738,40652.28,40725.66,-86.56,16.698483593092533,-0.019976329,9.390314e-06,1.798118e-05,1.7916442e-05,1.0,41,0.02015141,4.9480866e-07,0,2.5304894230815637e-09,1.0
25,25,188418.58,1985.6772,46214.664,46257.305,-87.53972,17.250498445966514,-0.020017728,7.261843e-06,1.8277493e-05,1.824381e-05,1.0,41,0.020808447,4.4984134e-07,0,2.6864475541559486e-09,1.0
26,26,163051.14,1121.2223,52683.703,52695.633,-88.78081,17.96949914682773,-0.019977633,4.4730962e-07,1.8527637e-05,1.8519248e-05,1.0,42,0.019184789,3.6406792e-07,0,3.221841186134691e-09,1.0
27,27,141098.2,-409.0054,59363.438,59364.848,-90.39475,18.385478606593097,-0.019925743,4.668659e-07,1.9001138e-05,1.9000234e-05,1.0,42,0.020860597,3.5139647e-07,0,3.170215889185732e-09,1.0
28,28,122105.11,2352.113,67295.68,67336.77,-87.998215,18.937481032771757,-0.019930402,1.9382166e-07,1.936864e-05,1.9345007e-05,1.0,42,0.020561276,3.053499e-07,0,3.2848341822775654e-09,1.0
29,29,105663.59,728.4657,81132.79,81136.06,-89.48557,19.489495752350194,-0.019877804,-4.971702e-07,1.8565144e-05,1.8563647e-05,1.0,42,0.020260058,2.4970473e-07,0,2.9740979300972487e-09,1.0
30,30,91439.65,1776.1257,90726.32,90743.7,-88.87848,19.905483132082736,-0.019912254,-3.2041774e-07,1.9184581e-05,1.917723e-05,1.0,42,0.02144733,2.3635062e-07,0,2.881515058224081e-09,1.0
31,31,79127.08,4264.3745,108083.39,108167.484,-87.74059,20.45749542498379,-0.019731509,-2.0326247e-06,1.8609559e-05,1.8580633e-05,1.0,42,0.020426553,1.888419e-07,0,2.9511381490539494e-09,1.0
32,32,68475.36,4450.6777,123714.4,123794.43,-87.93965,20.873485418065684,-0.019962672,1.3608393e-07,1.8787352e-05,1.8763069e-05,1.0,42,0.021252023,1.7167189e-07,0,3.001793992079548e-09,1.0
33,33,59252.523,2539.0693,143243.94,143266.44,-88.98451,21.425495150935603,-0.019957976,2.284644e-07,1.8751543e-05,1.8745654e-05,1.0,42,0.020192765,1.4094553e-07,0,3.236527278357018e-09,1.0
