True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,336.73325,1179.0554,1226.1978,-74.06088,2.47049230398261,0.020634722,0.00010608124,1.9283538e-05,1.7829294e-05,1.0,40,0.0093477685,7.6233778e-06,0,8.580676225543964e-10,1.0
1,1,6057573.0,215.50592,1789.0922,1802.0249,-83.1315,3.022479823528556,0.020556934,9.670401e-05,1.4685501e-05,1.4475469e-05,1.0,40,0.013373066,7.4211325e-06,0,4.4841670326592166e-09,1.0
2,2,5242039.0,203.27492,2091.727,2101.581,-84.4494,3.438491176610114,0.020737384,4.0864024e-06,1.4514927e-05,1.437913e-05,1.0,40,0.018425122,8.767267e-06,0,1.9765223266770387e-08,1.0
3,3,4536288.0,161.62956,2265.3057,2271.0645,-85.91886,5.214499607653124,0.02072855,-3.9599043e-05,1.5487905e-05,1.540946e-05,1.0,40,0.022411859,9.868438e-06,0,1.8231396103753165e-08,1.0
4,4,3925558.5,239.51004,2665.7485,2676.4866,-84.86592,5.630502987391083,0.020567648,4.892539e-05,1.520896e-05,1.5087167e-05,1.0,40,0.019440915,7.2635953e-06,0,1.9005018736490816e-08,1.0
5,5,3397055.0,290.75916,3043.6943,3057.5508,-84.54319,6.046496980503434,0.02070297,-4.830637e-05,1.5392761e-05,1.525356e-05,1.0,40,0.020439496,6.6849248e-06,0,2.1344641723329812e-08,1.0
6,6,2939708.2,320.82343,3404.7312,3419.8132,-84.61699,6.598480926739285,0.020790484,-3.1524305e-05,1.5901316e-05,1.5761369e-05,1.0,40,0.020006012,5.8500304e-06,0,2.2961755843015098e-08,1.0
7,7,2543924.5,353.4319,3901.5212,3917.4968,-84.82381,7.150492606248008,0.020797024,-7.654935e-05,1.603548e-05,1.590496e-05,1.0,40,0.020490196,5.230431e-06,0,2.136723415237106e-08,1.0
8,8,2201436.2,404.8381,4336.7827,4355.6377,-84.6669,7.702493032469647,0.020773081,-2.1235524e-05,1.6670414e-05,1.6526397e-05,1.0,40,0.020704292,4.753447e-06,0,2.4241145332679378e-08,1.0
9,9,1905053.1,312.21347,5340.578,5349.6963,-86.65426,8.421497146628099,0.020644,-1.7771903e-06,1.5643169e-05,1.558989e-05,1.0,41,0.019849863,3.7104653e-06,0,2.821389311975982e-08,1.0
