True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,-29.641096,1660.5588,1660.8234,-91.02263,83.05149719803012,0.0049496517,-3.4873185e-05,1.3691993e-05,1.3687632e-05,2.0,40,0.0096373325,5.802744e-06,0,-1.8083477338859154e-08,2.0
111,111,6057573.0,335.13138,1761.7155,1793.3082,-79.22931,83.60349874428357,0.0049717114,-8.2726365e-05,1.4913711e-05,1.4392869e-05,2.0,40,0.013327648,7.431878e-06,0,-2.127202646108116e-08,2.0
112,112,5242039.0,241.56699,1982.0049,1996.6718,-83.051056,84.01948679066845,0.0049561914,-7.6698205e-05,1.5318463e-05,1.5094241e-05,2.0,40,0.018318154,9.174344e-06,0,-2.390665087255645e-08,2.0
113,113,4536288.0,178.74078,2435.777,2442.3264,-85.80308,85.52348998209345,0.0046747965,0.00010064837,1.4403961e-05,1.4326814e-05,2.0,40,0.020987079,8.593069e-06,0,-9.328548443942905e-09,2.0
114,114,3925558.5,198.0581,2642.3176,2649.73,-85.71334,85.93950045519159,0.0049381745,-3.1710362e-05,1.5343825e-05,1.52581e-05,2.0,40,0.018872306,7.122351e-06,0,-5.661470304262611e-09,2.0
115,115,3397055.0,283.56912,3054.6648,3067.7986,-84.69635,86.35549439498573,0.004813379,-2.3728653e-05,1.5337479e-05,1.5206436e-05,2.0,40,0.020021962,6.5264917e-06,0,-9.271858117284124e-09,2.0
116,116,2939708.2,277.75296,3459.4387,3470.571,-85.40966,86.77148718808894,0.00472227,1.6863141e-06,1.5649852e-05,1.5549616e-05,2.0,40,0.021996344,6.3379607e-06,0,-9.31408824614562e-09,2.0
117,117,2543924.5,294.35175,4073.998,4084.618,-85.867485,87.32348556097713,0.004718078,-2.8677683e-05,1.53566e-05,1.5276852e-05,2.0,40,0.020553019,5.0318095e-06,0,-8.332231300526516e-09,2.0
118,118,2201436.2,303.66498,4535.7773,4545.931,-86.16983,87.8754874538572,0.0047626263,1.23099935e-05,1.5939046e-05,1.5867921e-05,2.0,40,0.02088057,4.593244e-06,0,-7.466916244966587e-09,2.0
119,119,1905053.1,346.1583,5146.026,5157.6553,-86.15167,88.42749172003823,0.004696167,6.254453e-05,1.623458e-05,1.6161452e-05,2.0,40,0.020548157,3.9840115e-06,0,-1.0536604810149323e-08,2.0
120,120,1648567.4,-51.355312,6278.331,6278.541,-90.46866,89.1465055141889,0.004879354,-4.6803293e-06,1.5376916e-05,1.5375887e-05,2.0,41,0.019101694,3.0423778e-06,0,-8.767378546929945e-09,2.0
121,121,1426616.2,396.01978,7019.3076,7030.47,-86.770874,89.69850562044303,0.004792232,-2.4475619e-06,1.5893469e-05,1.584304e-05,2.0,41,0.020252129,2.8806223e-06,0,-9.199505034605969e-09,2.0
122,122,1234551.2,453.16397,8253.24,8265.672,-86.85719,90.25049241996021,0.0047674333,6.462968e-06,1.5620197e-05,1.5573247e-05,2.0,41,0.020795256,2.515858e-06,0,-8.130970105901704e-09,2.0
123,123,1068345.5,442.248,9501.894,9512.18,-87.3352,90.80250015287311,0.0049564335,-9.825516e-06,1.5678273e-05,1.5644386e-05,2.0,41,0.020697735,2.1759192e-06,0,-6.8048237190618565e-09,2.0
124,124,924510.06,447.31918,11232.027,11240.931,-87.71938,91.354494952393,0.0046772743,9.691987e-06,1.532676e-05,1.530249e-05,2.0,41,0.020239221,1.8004934e-06,0,-7.062793602738735e-09,2.0
125,125,800039.0,-1189.5376,12618.678,12674.621,-95.38525,91.90649292527814,0.0048983213,-5.0639246e-06,1.5765041e-05,1.5626181e-05,2.0,41,0.020163108,1.5908253e-06,0,-9.506276652736881e-09,2.0
126,126,692334.1,93.66692,14383.007,14383.312,-89.62688,92.45849921819172,0.0049333116,-6.7678175e-06,1.5982869e-05,1.598219e-05,2.0,41,0.02001322,1.3914196e-06,0,-1.0533393406758407e-08,2.0
127,127,599122.25,335.57574,16945.219,16948.541,-88.865486,93.01050348437275,0.004965135,-1.0732399e-05,1.5676804e-05,1.5670657e-05,2.0,41,0.020757454,1.224734e-06,0,-1.01146247114957e-08,2.0
128,128,518454.94,1342.6753,19049.227,19096.486,-85.9682,93.56250057727448,0.004957775,-1.614203e-05,1.6115053e-05,1.603539e-05,2.0,41,0.020243974,1.060089e-06,0,-1.0863906230756726e-08,2.0
129,129,448662.03,-369.37476,23036.635,23039.596,-90.91862,94.11450660348055,0.005084769,-1.8562863e-05,1.5398618e-05,1.539466e-05,2.0,41,0.020386484,8.848455e-07,0,-9.895070289945925e-09,2.0
130,130,388258.97,1590.6136,26540.242,26587.863,-86.570244,94.66650204305188,0.004756292,6.928513e-06,1.5445208e-05,1.5389931e-05,2.0,41,0.020855257,7.843901e-07,0,-9.080932828979173e-09,2.0
131,131,335983.9,-4789.9326,25423.49,25870.781,-100.669785,95.21848433595733,0.0046434766,9.881928e-06,1.86323e-05,1.7993585e-05,2.0,41,0.020761307,8.025002e-07,0,-9.314711658546828e-09,2.0
132,132,290751.2,1606.2042,34278.51,34316.12,-87.31723,95.77050377547857,0.0048793727,-9.095544e-06,1.596896e-05,1.5933978e-05,2.0,41,0.020647323,6.0168e-07,0,-9.746163989147405e-09,2.0
133,133,251605.19,1174.4186,39874.914,39892.207,-88.31298,96.3225041750411,0.004814851,8.557919e-06,1.5863565e-05,1.5849815e-05,2.0,41,0.02025578,5.077628e-07,0,-1.1989456699124546e-08,2.0
134,134,217729.38,2093.6436,45703.72,45751.65,-87.37717,96.87449641458807,0.0048606666,-1.1713767e-05,1.5993797e-05,1.5960304e-05,2.0,41,0.020386752,4.45596e-07,0,-7.975207184502115e-09,2.0
135,135,188418.58,2287.6633,52189.867,52239.98,-87.490135,97.4265004141198,0.0049505834,-1.3875758e-05,1.6184906e-05,1.615387e-05,2.0,41,0.02063909,3.9508225e-07,0,-8.847560588752678e-09,2.0
136,136,163051.14,1326.3125,58824.117,58839.066,-88.70837,98.14550372827216,0.0047256984,8.1757673e-07,1.659361e-05,1.658518e-05,2.0,42,0.019117024,3.249036e-07,0,-8.651374350729787e-09,2.0
137,137,141098.2,2336.912,69947.125,69986.15,-88.08648,98.56149742807611,0.004962284,-1.2745825e-06,1.612608e-05,1.61081e-05,2.0,42,0.020912888,2.9881465e-07,0,-8.719448207639245e-09,2.0
138,138,122105.11,4791.7134,71805.74,71965.445,-86.18222,99.11348492096295,0.004734902,7.6058404e-07,1.815211e-05,1.8071636e-05,2.0,42,0.020401534,2.834907e-07,0,-8.758096321090628e-09,2.0
139,139,105663.59,-1689.3132,86899.164,86915.586,-91.113686,99.66550516049028,0.004587749,2.14592e-06,1.7333217e-05,1.7326667e-05,2.0,42,0.020197928,2.3238556e-07,0,-8.765900778519194e-09,2.0
140,140,91439.65,5654.3433,109009.11,109155.66,-87.03071,100.0814902468992,0.0049819965,-1.3431229e-06,1.596698e-05,1.5924137e-05,2.0,42,0.021566762,1.9757805e-07,0,-8.813352245032312e-09,2.0
141,141,79127.08,9547.492,115210.06,115604.984,-85.2627,100.6334864331584,0.0048931604,-1.9674714e-07,1.7458406e-05,1.733933e-05,2.0,42,0.020178627,1.7454808e-07,0,-8.824260873485004e-09,2.0
142,142,68475.36,64.449585,140879.08,140879.1,-89.973785,101.04950133289094,0.0047153207,8.501708e-07,1.6498305e-05,1.6498301e-05,2.0,42,0.02114111,1.5006563e-07,0,-8.81681442299081e-09,2.0
143,143,59252.523,7169.555,161259.17,161418.47,-87.454315,101.46549593933742,0.004787127,-6.176746e-07,1.6656695e-05,1.6623837e-05,2.0,42,0.021854045,1.3538751e-07,0,-8.854179845080326e-09,2.0
144,144,51282.285,2483.1775,187227.53,187244.0,-89.240135,102.0174970322114,0.0049696807,-9.186566e-07,1.6576127e-05,1.657321e-05,2.0,42,0.020217616,1.0797471e-07,0,-8.565263199902201e-09,2.0
145,145,44369.8,10102.086,217625.36,217859.7,-87.34226,102.43348545194021,0.004784463,3.8901294e-07,1.6482503e-05,1.6447062e-05,2.0,42,0.02058122,9.447006e-08,0,-8.583987822465192e-09,2.0
146,146,38403.727,1739.9929,250149.53,250155.58,-89.60147,102.84950453837519,0.004731362,1.2355245e-06,1.656712e-05,1.656632e-05,2.0,42,0.020858726,8.3383014e-08,0,-8.64139440281559e-09,2.0
147,147,33226.32,10988.402,297301.66,297504.66,-87.883286,103.26548690479831,0.0049272752,-8.747014e-07,1.611167e-05,1.608969e-05,2.0,42,0.02113043,7.102554e-08,0,-8.69405529887008e-09,2.0
148,148,28754.086,13645.974,339931.6,340205.38,-87.701195,103.6814936445735,0.004682957,6.333743e-07,1.6282798e-05,1.6256601e-05,2.0,42,0.021183746,6.2267524e-08,0,-8.667504956961953e-09,2.0
149,149,24884.947,25149.49,402409.03,403194.16,-86.42382,104.09748675764422,0.0047802706,2.6571468e-07,1.5893358e-05,1.5831522e-05,2.0,42,0.021258252,5.27246e-08,0,-8.638207547751847e-09,2.0
150,150,21553.963,11256.428,458816.44,458954.5,-88.59461,104.51448757745675,0.0048473636,-2.4070238e-07,1.609363e-05,1.608395e-05,2.0,42,0.02116047,4.6105814e-08,0,-8.690260421053056e-09,2.0
151,151,18631.234,44334.15,531656.4,533501.7,-85.23321,105.09650763179525,0.004937113,-8.569057e-08,1.606747e-05,1.595651e-05,2.0,43,0.020818537,3.902244e-08,0,-8.636505658247856e-09,2.0
152,152,16126.037,38205.688,597575.3,598795.4,-86.341805,105.51249919823022,0.0047853757,-5.649312e-09,1.6515807e-05,1.6448574e-05,2.0,43,0.020566273,3.434608e-08,0,-8.631618160387822e-09,2.0
153,153,13954.87,82336.89,830835.4,834905.25,-84.34039,105.92850177796208,0.00477824,4.429732e-08,1.3727119e-05,1.3593614e-05,2.0,43,0.020687107,2.477779e-08,0,-8.637112391014353e-09,2.0
154,154,12080.609,97391.71,805993.44,811856.25,-83.11011,106.34449891772238,0.004903147,-1.340729e-07,1.6345559e-05,1.6110333e-05,2.0,43,0.019941287,2.4562583e-08,0,-8.64757135740916e-09,2.0
