True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,539.4739,1578.6614,1668.2937,-71.13323,2.465497370430967,0.018470235,-4.2054864e-05,1.4402304e-05,1.2896294e-05,1.0,40,0.009560777,5.7308716e-06,0,7.71596762945137e-11,1.0
1,1,6057573.0,250.68587,1716.6064,1734.8145,-81.6915,3.0174827832670417,0.018506903,-5.7162553e-05,1.5305613e-05,1.4986015e-05,1.0,40,0.013369608,7.70665e-06,0,-8.600435840902618e-09,1.0
2,2,5242039.0,199.65881,2068.4263,2078.04,-84.486496,3.433489923045272,0.018423544,-1.2714266e-05,1.4678438e-05,1.4542937e-05,1.0,40,0.018321618,8.816778e-06,0,-7.430765682556739e-09,1.0
3,3,4536288.0,190.53261,2328.5872,2336.3691,-85.322296,4.9374819944787305,0.018395038,-4.0813575e-06,1.5067008e-05,1.4966805e-05,1.0,40,0.020754147,8.8830775e-06,0,-8.833613676706085e-09,1.0
4,4,3925558.5,313.4984,2697.4795,2715.6357,-83.37088,5.353479507582961,0.018360496,-1.3179403e-05,1.5030052e-05,1.4829749e-05,1.0,40,0.018849967,6.941272e-06,0,-7.721733126812876e-09,1.0
5,5,3397055.0,300.02216,2996.915,3011.8953,-84.28315,5.769482060655719,0.018405734,-5.238095e-05,1.5633028e-05,1.5477908e-05,1.0,40,0.019924998,6.6154353e-06,0,-8.21900904639329e-09,1.0
6,6,2939708.2,308.84558,3549.529,3562.9402,-85.0272,6.1854901604529005,0.018420992,-2.6668298e-05,1.5252645e-05,1.5138037e-05,1.0,40,0.022005253,6.17615e-06,0,-8.4623709105516e-09,1.0
7,7,2543924.5,361.05936,3862.8818,3879.719,-84.66014,6.73748759998125,0.018284552,4.79207e-05,1.6195878e-05,1.605561e-05,1.0,40,0.020563932,5.3003664e-06,0,-1.2394748334685741e-08,1.0
8,8,2201436.2,122.59131,4563.6426,4565.289,-88.46126,7.289502452855231,0.018358147,1.1733229e-05,1.5841722e-05,1.5830297e-05,1.0,40,0.02087832,4.5732745e-06,0,-1.4571432954539887e-08,1.0
9,9,1905053.1,48.72554,5415.2256,5415.445,-89.484474,8.008503367047524,0.018267915,7.6621955e-06,1.5427533e-05,1.5426283e-05,1.0,41,0.019786496,3.6537156e-06,0,-8.44750834073693e-09,1.0
10,10,1648567.4,368.82373,6245.7935,6256.674,-86.62052,8.560480139887659,0.018275479,2.7888875e-06,1.5457023e-05,1.540331e-05,1.0,41,0.020124443,3.2164762e-06,0,-8.674946879956735e-09,1.0
11,11,1426616.2,75.515076,7273.8013,7274.1934,-89.40519,9.112489446153631,0.018295228,2.9341365e-06,1.5337393e-05,1.533574e-05,1.0,41,0.02017492,2.7734925e-06,0,-6.636080546636928e-09,1.0
