True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,311.26505,1344.2279,1379.7952,-76.96255,2.4704938239592593,-0.012822061,0.000108313885,1.6914068e-05,1.605331e-05,1.0,40,0.009457518,6.8542918e-06,0,1.3033327128782012e-08,1.0
1,1,6057573.0,302.5677,1849.2155,1873.8049,-80.707634,3.022488943504868,-0.012592238,-4.438065e-05,1.42080335e-05,1.38375835e-05,1.0,40,0.013361133,7.130482e-06,0,1.2700459874050946e-08,1.0
2,2,5242039.0,242.37708,1998.3705,2013.0155,-83.084526,3.4384841099672485,-0.012605168,-9.137785e-05,1.5193012e-05,1.4972753e-05,1.0,40,0.01835503,9.118176e-06,0,1.0767936494084375e-08,1.0
3,3,4536288.0,163.14703,2321.046,2326.7727,-85.97928,4.942499648052035,-0.012737696,-1.997036e-05,1.5115962e-05,1.50416445e-05,1.0,40,0.02098772,9.020098e-06,0,2.0569090878767486e-08,1.0
4,4,3925558.5,205.87874,2702.354,2710.185,-85.64334,5.358491694467375,-0.012786232,-1.9789545e-06,1.5002942e-05,1.4916365e-05,1.0,40,0.018934794,6.9865314e-06,0,1.9680297173206578e-08,1.0
5,5,3397055.0,317.77405,2932.626,2949.7925,-83.81566,5.774491660908097,-0.012875236,8.710365e-05,1.5975736e-05,1.5790334e-05,1.0,40,0.019972727,6.770892e-06,0,2.4156565648183125e-08,1.0
6,6,2939708.2,280.12637,3469.634,3480.9238,-85.38415,6.326497873786138,-0.012890494,5.6032655e-05,1.5603866e-05,1.5502814e-05,1.0,40,0.020384746,5.856131e-06,0,2.8675415796063438e-08,1.0
7,7,2543924.5,376.2112,4016.0383,4033.621,-84.64831,6.878493633324979,-0.0128096705,4.9725426e-05,1.5578229e-05,1.5442713e-05,1.0,40,0.020371988,5.050546e-06,0,3.500596997930137e-08,1.0
8,8,2201436.2,257.35812,4408.7427,4416.248,-86.65918,7.430484406213509,-0.01273328,-2.7040405e-05,1.6398317e-05,1.6342627e-05,1.0,40,0.020821575,4.7147655e-06,0,3.441539716315055e-08,1.0
9,9,1905053.1,356.14697,5300.5767,5312.528,-86.15606,7.982485499145696,-0.012803205,-1.5882378e-06,1.5761223e-05,1.569039e-05,1.0,40,0.020653611,3.8877183e-06,0,3.411383985664745e-08,1.0
10,10,1648567.4,497.51062,6351.0815,6370.538,-85.5209,8.701485666591907,-0.012800671,-5.028558e-06,1.5200775e-05,1.5108067e-05,1.0,41,0.019004952,2.983257e-06,0,3.148805211544135e-08,1.0
11,11,1426616.2,95.19097,6952.9727,6953.624,-89.21563,9.253486786183203,-0.012782877,1.4145984e-06,1.60451e-05,1.6042095e-05,1.0,41,0.020119522,2.8933864e-06,0,3.111469630397955e-08,1.0
12,12,1234551.2,251.36665,8397.529,8401.291,-88.28545,9.805503772367956,-0.013103325,2.5587551e-05,1.5351805e-05,1.533806e-05,1.0,41,0.020904593,2.4882597e-06,0,3.1669366345162255e-08,1.0
13,13,1068345.5,-234.90979,9673.323,9676.175,-91.39111,10.357499505247688,-0.012911642,1.045548e-05,1.5400426e-05,1.539135e-05,1.0,41,0.020706272,2.1399233e-06,0,3.2765468947371484e-08,1.0
14,14,924510.06,-40.39018,10753.883,10753.959,-90.215195,10.909497504791943,-0.0127385715,-4.955917e-06,1.6008225e-05,1.6007998e-05,1.0,41,0.020361014,1.8933505e-06,0,3.2737887417649995e-08,1.0
15,15,800039.0,1663.5325,9543.714,9687.611,-80.112305,11.461484464380192,-0.0128520755,7.7124905e-06,2.0844504e-05,2.0229863e-05,1.0,41,0.021531574,2.2225886e-06,0,3.298546671842612e-08,1.0
16,16,692334.1,191.56288,13768.807,13770.14,-89.2029,12.013488783937646,-0.012931466,1.2336281e-05,1.6695833e-05,1.6692602e-05,1.0,41,0.020203106,1.4671679e-06,0,3.347644310581543e-08,1.0
17,17,599122.25,443.09857,17045.229,17050.986,-88.5109,12.565501983481226,-0.012739857,-3.782744e-06,1.5584823e-05,1.55743e-05,1.0,41,0.02081104,1.2205182e-06,0,3.254234468905616e-08,1.0
18,18,518454.94,782.6828,19501.576,19517.275,-87.701706,13.117501049680868,-0.012796405,-4.036001e-06,1.5741256e-05,1.5715943e-05,1.0,41,0.020392906,1.0448643e-06,0,3.424594538882452e-08,1.0
19,19,448662.03,1237.5007,22271.877,22306.23,-86.819725,13.670487742609112,-0.013003962,1.4233842e-05,1.5927368e-05,1.5878346e-05,1.0,41,0.020232305,9.070248e-07,0,3.4826016587939216e-08,1.0
20,20,388258.97,1218.2633,25992.914,26021.447,-87.31657,14.222494835528778,-0.012760166,-1.0583741e-06,1.5770434e-05,1.5735868e-05,1.0,41,0.020806536,7.995918e-07,0,3.5761297928063286e-08,1.0
21,21,335983.9,-374.35382,24865.271,24868.09,-90.86254,14.774482248380082,-0.0127595505,-8.652342e-06,1.905059e-05,1.9046272e-05,1.0,41,0.01976532,7.948065e-07,0,3.6254295640465745e-08,1.0
22,22,290751.2,928.6426,35651.11,35663.203,-88.5079,15.326478594593937,-0.012637662,-1.6438116e-05,1.5354144e-05,1.534373e-05,1.0,41,0.02061384,5.7801424e-07,0,3.53426091843624e-08,1.0
23,23,251605.19,1611.5293,39708.477,39741.164,-87.67598,15.878497687488561,-0.012769481,-9.652671e-07,1.5930058e-05,1.5903863e-05,1.0,41,0.020299224,5.1078587e-07,0,3.580031708135007e-08,1.0
24,24,217729.38,2132.4531,46147.055,46196.297,-87.35425,16.431484860397177,-0.012863479,4.196695e-06,1.5840144e-05,1.5806392e-05,1.0,41,0.020407189,4.4174945e-07,0,3.641754594070158e-08,1.0
25,25,188418.58,1859.6356,52040.617,52073.832,-87.953445,17.150481081247563,-0.012631811,-1.8478637e-06,1.6231324e-05,1.6210624e-05,1.0,42,0.019819107,3.8059628e-07,0,3.6358332759874654e-08,1.0
26,26,163051.14,586.269,59473.25,59476.14,-89.43521,17.566493314312538,-0.01292528,8.892837e-07,1.6412496e-05,1.64109e-05,1.0,42,0.021719662,3.6518279e-07,0,3.63500225662394e-08,1.0
27,27,141098.2,-894.82,68604.78,68610.62,-90.74728,18.118482140562264,-0.012911549,6.1977806e-07,1.6441607e-05,1.643881e-05,1.0,42,0.020319678,2.9615939e-07,0,3.63125477256647e-08,1.0
28,28,122105.11,15129.412,69246.56,70880.08,-77.67535,18.67048062008689,-0.013006253,1.3117011e-06,1.8822968e-05,1.7965369e-05,1.0,42,0.019432543,2.7416087e-07,0,3.6261734436150266e-08,1.0
29,29,105663.59,-4944.5317,90816.39,90950.89,-93.11641,19.086499493190786,-0.012819545,2.6143107e-07,1.6585574e-05,1.6536556e-05,1.0,42,0.021192418,2.3300947e-07,0,3.62709452720722e-08,1.0
30,30,91439.65,3535.1472,103656.984,103717.25,-88.04672,19.63848653275636,-0.012771736,-6.9385146e-07,1.6791404e-05,1.6771897e-05,1.0,42,0.020200267,1.9476285e-07,0,3.6132801882781684e-08,1.0
31,31,79127.08,-1322.1296,124402.57,124409.59,-90.60891,20.054497112490935,-0.012783344,-1.2206021e-07,1.6168347e-05,1.6166523e-05,1.0,42,0.021381482,1.7186362e-07,0,3.6169327683263256e-08,1.0
32,32,68475.36,739.7442,147428.81,147430.67,-89.71252,20.606481032067677,-0.012671106,-1.6444772e-06,1.5765343e-05,1.5764947e-05,1.0,42,0.020322954,1.3784754e-07,0,3.6114397451080374e-08,1.0
33,33,59252.523,6565.99,165020.1,165150.67,-87.72146,21.02249745183508,-0.012868229,-5.798986e-08,1.6277078e-05,1.6251348e-05,1.0,42,0.020912988,1.2662974e-07,0,3.612052785039863e-08,1.0
34,34,51282.285,-5921.7744,182119.14,182215.39,-91.86237,21.43848851157236,-0.012801025,1.48343275e-08,1.7041082e-05,1.7023085e-05,1.0,42,0.021459484,1.1776988e-07,0,3.619756920434794e-08,1.0
35,35,44369.8,14093.26,222197.3,222643.8,-86.37077,21.854499251319794,-0.012885185,1.0934148e-06,1.6143358e-05,1.6078673e-05,1.0,42,0.021927333,9.848616e-08,0,3.6223553318577046e-08,1.0
36,36,38403.727,5134.5537,270466.72,270515.44,-88.91242,22.406489864195464,-0.012773413,-5.6872295e-08,1.5322616e-05,1.5317097e-05,1.0,42,0.020458134,7.5626495e-08,0,3.619983712364494e-08,1.0
