True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,70.60668,1827.171,1828.5347,-87.78704,82.71949419562588,-0.008873437,-8.265183e-05,1.2443477e-05,1.24249245e-05,2.0,40,0.00964327,5.273769e-06,0,-1.6609544282067068e-08,2.0
111,111,6057573.0,288.14078,1807.214,1830.0403,-80.941055,83.2714981151803,-0.009073206,-6.779158e-06,1.4538243e-05,1.417783e-05,2.0,40,0.01335957,7.3001506e-06,0,-2.2668670372523773e-08,2.0
112,112,5242039.0,223.04596,2022.6903,2034.951,-83.707306,83.68748562826659,-0.008941312,-6.867928e-05,1.5010339e-05,1.4830007e-05,2.0,40,0.01841764,9.050655e-06,0,-2.2280685686318297e-08,2.0
113,113,4536288.0,166.13654,2346.2969,2352.1714,-85.94976,85.19148431302165,-0.009125692,8.291234e-06,1.4953283e-05,1.4878685e-05,2.0,40,0.020198893,8.587339e-06,0,-2.6243813493596945e-08,2.0
114,114,3925558.5,292.40723,2661.5325,2677.5469,-83.730385,85.6075022794248,-0.009114811,-3.4168204e-07,1.5233052e-05,1.5051378e-05,2.0,40,0.01866241,6.9699654e-06,0,-2.59311852432348e-08,2.0
115,115,3397055.0,321.15143,2996.4392,3013.6,-83.88252,86.0234895258618,-0.009116767,1.1137844e-05,1.563551e-05,1.5457947e-05,2.0,40,0.01986213,6.5908316e-06,0,-2.9892626605505514e-08,2.0
116,116,2939708.2,317.60562,3532.8643,3547.112,-84.8629,86.43950274560484,-0.008994245,-2.7952066e-05,1.5324593e-05,1.520173e-05,2.0,40,0.021896927,6.1731703e-06,0,-3.135492144488891e-08,2.0
117,117,2543924.5,276.0173,4237.5454,4246.5254,-86.27324,86.99148759854143,-0.009129418,1.941725e-05,1.4763915e-05,1.470154e-05,2.0,40,0.020645225,4.861675e-06,0,-2.323517747379395e-08,2.0
118,118,2201436.2,77.417656,4671.1455,4671.787,-89.05049,87.71050048599136,-0.009211044,3.5207095e-06,1.5477137e-05,1.5472886e-05,2.0,41,0.020146048,4.3122786e-06,0,-3.598894131090328e-08,2.0
119,119,1905053.1,70.3861,5389.262,5389.7217,-89.25173,88.2625014455698,-0.009072033,-4.741767e-06,1.5501857e-05,1.5499214e-05,2.0,41,0.020562641,3.8151584e-06,0,-3.499819859784934e-08,2.0
120,120,1648567.4,335.63037,5934.01,5943.4937,-86.76277,88.8144828051154,-0.00917965,5.792582e-06,1.6269161e-05,1.6217284e-05,2.0,41,0.020071983,3.3771355e-06,0,-3.4361785625822704e-08,2.0
121,121,1426616.2,201.55478,7079.8623,7082.731,-88.3693,89.36650464465492,-0.0091263065,-1.5779254e-06,1.575753e-05,1.5744768e-05,2.0,41,0.020150606,2.8450334e-06,0,-3.416329188632853e-08,2.0
122,122,1234551.2,299.37207,8072.992,8078.541,-87.87627,89.91849373755394,-0.00907125,-6.5722907e-06,1.5968953e-05,1.5947024e-05,2.0,41,0.020792887,2.5738418e-06,0,-2.851150142259821e-08,2.0
123,123,1068345.5,459.49023,9359.837,9371.108,-87.18951,90.47050259044045,-0.009105197,-1.5444048e-06,1.5916228e-05,1.5877962e-05,2.0,41,0.020409064,2.177871e-06,0,-2.945070766057138e-08,2.0
124,124,924510.06,594.9302,10795.564,10811.945,-86.84569,91.02250000330969,-0.009228129,7.539307e-06,1.5946418e-05,1.5898135e-05,2.0,41,0.020394914,1.8863316e-06,0,-2.955696330035372e-08,2.0
125,125,800039.0,-3736.6074,11035.306,11650.76,-108.706345,91.5744882428844,-0.009216093,4.8503202e-06,1.8027047e-05,1.6172786e-05,2.0,41,0.021191612,1.8189039e-06,0,-2.9308955028959756e-08,2.0
126,126,692334.1,-106.40603,13705.995,13706.408,-90.4448,92.12649552241783,-0.00923016,7.826083e-06,1.6772346e-05,1.6771335e-05,2.0,41,0.020707775,1.5108097e-06,0,-2.9740811557011742e-08,2.0
127,127,599122.25,440.30707,16816.457,16822.22,-88.50016,92.67848320197663,-0.009004716,-1.2125309e-05,1.5796839e-05,1.5786016e-05,2.0,41,0.020580146,1.2233907e-06,0,-2.998894434796798e-08,2.0
128,128,518454.94,1215.672,19514.32,19552.15,-86.43529,93.23049605483538,-0.009123829,6.060737e-06,1.5730977e-05,1.5670163e-05,2.0,41,0.020440707,1.0454455e-06,0,-3.0442718339387334e-08,2.0
129,129,448662.03,262.71112,22098.281,22099.844,-89.318886,93.78250370771275,-0.009328461,2.341811e-05,1.6052487e-05,1.6050217e-05,2.0,41,0.020195596,9.138343e-07,0,-3.0729199384210185e-08,2.0
130,130,388258.97,717.47266,26033.217,26043.102,-88.42133,94.33449792061583,-0.009011703,-6.363726e-06,1.574602e-05,1.573407e-05,2.0,41,0.020795021,7.984848e-07,0,-3.117157957327797e-08,2.0
131,131,335983.9,-6742.981,27977.9,28778.998,-103.55049,95.05350328810164,-0.0090801,-3.2600528e-07,1.6931152e-05,1.6001673e-05,2.0,42,0.020289697,7.050175e-07,0,-3.17116011963938e-08,2.0
132,132,290751.2,1833.5505,32909.668,32960.707,-86.81108,95.60550147431786,-0.009182276,3.8659164e-07,1.6633174e-05,1.6581702e-05,2.0,42,0.020468129,6.209857e-07,0,-3.1991970804922926e-08,2.0
133,133,251605.19,1192.3887,38598.9,38617.312,-88.23059,96.15749923387193,-0.009123904,1.3962253e-07,1.6387987e-05,1.6372363e-05,2.0,42,0.020365834,5.2737573e-07,0,-3.195642815127196e-08,2.0
134,134,217729.38,1690.7875,46515.79,46546.508,-87.91829,96.70950651340536,-0.008959068,-1.8784089e-06,1.5714579e-05,1.5693842e-05,2.0,42,0.020298837,4.3609793e-07,0,-3.1999563642056074e-08,2.0
