True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,75.858025,1311.8092,1314.0007,-86.690445,2.467495717195561,-0.0068406216,6.913095e-05,1.7332064e-05,1.7274298e-05,1.0,40,0.009518289,7.2437474e-06,0,-3.7171762259554778e-09,1.0
1,1,6057573.0,211.99152,1511.8948,1526.6847,-82.018265,3.0195000634121243,-0.00670543,-6.1837777e-06,1.7378004e-05,1.7042934e-05,1.0,40,0.013237521,8.670763e-06,0,-3.772607232690461e-09,1.0
2,2,5242039.0,163.51483,1724.9799,1732.7125,-84.584984,3.435486829810543,-0.0068434537,4.5148496e-05,1.760094e-05,1.7444194e-05,1.0,40,0.018225294,1.051836e-05,0,-9.316261648444247e-09,1.0
3,3,4536288.0,153.86868,2001.999,2007.9033,-85.60503,4.939483354595723,-0.006662446,-4.549695e-05,1.7524904e-05,1.7421991e-05,1.0,40,0.021414123,1.0664918e-05,0,-8.948933800424028e-09,1.0
4,4,3925558.5,233.97397,2311.9026,2323.712,-84.22111,5.355499614350265,-0.006747891,-2.5775238e-05,1.7536751e-05,1.7358958e-05,1.0,40,0.0190581,8.201577e-06,0,-1.150914543752732e-08,1.0
5,5,3397055.0,251.94386,2601.6313,2613.802,-84.46868,5.771487420744961,-0.006679271,-6.668848e-05,1.8008262e-05,1.7840948e-05,1.0,40,0.020351943,7.786337e-06,0,-2.1094862864326085e-08,1.0
6,6,2939708.2,243.47462,3015.7566,3025.569,-85.384285,6.32348003363586,-0.0067924773,2.5557028e-05,1.795228e-05,1.7836022e-05,1.0,40,0.020854712,6.8928225e-06,0,-2.3723046747666862e-08,1.0
7,7,2543924.5,302.00095,3355.1875,3368.7517,-84.85666,6.875488486519316,-0.0066823824,-4.9404076e-05,1.8646577e-05,1.849672e-05,1.0,40,0.020292753,6.02382e-06,0,-2.5624819655705424e-08,1.0
8,8,2201436.2,350.37604,4145.984,4160.7627,-85.169426,7.427491579408525,-0.006755251,-1.7347e-05,1.7437587e-05,1.7313932e-05,1.0,40,0.021092698,5.0694307e-06,0,-3.447002808329418e-08,1.0
9,9,1905053.1,268.88303,4578.935,4586.8228,-86.63935,7.979488458979176,-0.006835349,3.1734016e-05,1.8245197e-05,1.81825e-05,1.0,40,0.020605631,4.492354e-06,0,-3.617906197516163e-08,1.0
10,10,1648567.4,289.71472,5284.5483,5292.484,-86.862015,8.531480698526138,-0.00675309,1.720321e-05,1.8268613e-05,1.821387e-05,1.0,40,0.019944847,3.768523e-06,0,-4.31844081531128e-08,1.0
11,11,1426616.2,131.99332,6162.972,6164.3853,-88.77308,9.250490252656164,-0.0067068455,-7.907487e-06,1.8101842e-05,1.8093544e-05,1.0,41,0.01941052,3.1488169e-06,0,-4.4448286443585835e-08,1.0
12,12,1234551.2,425.33667,7087.0815,7099.8335,-86.56547,9.802478198922472,-0.006895324,1.366774e-05,1.8190454e-05,1.812517e-05,1.0,41,0.020643488,2.9076016e-06,0,-4.306408773651861e-08,1.0
13,13,1068345.5,530.83276,8031.843,8049.365,-86.218765,10.355488011817215,-0.0067933714,4.7199683e-06,1.8547835e-05,1.846717e-05,1.0,41,0.020874554,2.5933168e-06,0,-4.314632572922821e-08,1.0
14,14,924510.06,73.51737,9283.44,9283.731,-89.54627,10.90749665137264,-0.006812376,-4.4754747e-06,1.8543833e-05,1.8542672e-05,1.0,41,0.02006113,2.1608907e-06,0,-4.435132886667424e-08,1.0
