True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,22.669222,1259.1343,1259.3384,-88.96857,2.4664816104632337,-0.0076069636,-3.6956986e-05,1.8057139e-05,1.8051285e-05,1.0,40,0.00950647,7.548781e-06,0,9.398045008727725e-09,1.0
1,1,6057573.0,255.85986,1571.2262,1591.9221,-80.75108,3.018489263340598,-0.007636346,4.006921e-05,1.6721791e-05,1.628983e-05,1.0,40,0.013355891,8.389789e-06,0,1.730377141125751e-08,1.0
2,2,5242039.0,192.22923,1755.3767,1765.8707,-83.75051,3.434489629784366,-0.007787393,3.296197e-05,1.7296154e-05,1.7091194e-05,1.0,40,0.018269584,1.0345935e-05,0,1.8183772906417692e-08,1.0
3,3,4536288.0,193.2364,2026.6581,2035.8495,-84.55347,4.938484101177892,-0.007651773,-2.5868263e-05,1.7311673e-05,1.715571e-05,1.0,40,0.01929216,9.476222e-06,0,1.0108188932122175e-08,1.0
4,4,3925558.5,145.993,2345.2927,2349.8323,-86.43797,5.354502867645351,-0.007674578,-4.432482e-05,1.7287079e-05,1.722035e-05,1.0,40,0.018493766,7.87025e-06,0,7.75964015910328e-09,1.0
5,5,3397055.0,217.85823,2629.8394,2638.8477,-85.26438,5.770483900705585,-0.00767782,-2.28728e-05,1.7815102e-05,1.769368e-05,1.0,40,0.019743567,7.4818895e-06,0,6.7167712407657135e-09,1.0
6,6,2939708.2,300.63043,3027.9019,3042.7896,-84.32987,6.186480827134801,-0.007793579,3.1789838e-05,1.7880271e-05,1.770573e-05,1.0,40,0.021978185,7.223038e-06,0,1.0078674267447241e-08,1.0
7,7,2543924.5,325.1738,3581.4272,3596.159,-84.81209,6.738499306695303,-0.007707258,-1.4928297e-05,1.7468667e-05,1.732584e-05,1.0,40,0.021101287,5.867729e-06,0,4.415816999350379e-09,1.0
8,8,2201436.2,431.68127,3787.3838,3811.9058,-83.49756,7.290493519598385,-0.007683037,-4.2761963e-05,1.9088628e-05,1.8843823e-05,1.0,40,0.021048456,5.5217674e-06,0,7.919820422001876e-09,1.0
9,9,1905053.1,366.65762,4596.3774,4610.9785,-85.43912,7.8425027991470415,-0.0076865396,1.3700247e-06,1.817596e-05,1.806103e-05,1.0,40,0.020508211,4.447692e-06,0,7.574837965762526e-09,1.0
10,10,1648567.4,287.26102,5582.151,5589.537,-87.05412,8.561495046626078,-0.007872745,9.853982e-06,1.7294655e-05,1.7248976e-05,1.0,41,0.01902517,3.4037112e-06,0,8.917016341287522e-09,1.0
11,11,1426616.2,136.44855,6451.9766,6453.4194,-88.78847,8.977500906359637,-0.00784517,1.4308329e-05,1.7291004e-05,1.7283272e-05,1.0,41,0.022010112,3.4106124e-06,0,9.393491885657252e-09,1.0
12,12,1234551.2,320.50153,7051.5605,7058.8403,-87.39763,9.52949845258263,-0.0077546197,-8.218787e-07,1.8282086e-05,1.8244396e-05,1.0,41,0.021007642,2.9760756e-06,0,1.144802965732102e-08,1.0
13,13,1068345.5,6.0000496,8358.539,8358.541,-89.95887,10.081496212136699,-0.0077031218,2.667847e-06,1.7822887e-05,1.7822878e-05,1.0,41,0.020671213,2.4730648e-06,0,1.239249680787285e-08,1.0
14,14,924510.06,74.48177,9698.39,9698.676,-89.55999,10.633498905022861,-0.007663343,-1.6133063e-06,1.775043e-05,1.7749382e-05,1.0,41,0.020429261,2.106397e-06,0,1.2784700634666832e-08,1.0
15,15,800039.0,-625.8224,10298.358,10317.356,-93.47754,11.185499064595206,-0.0076872474,-5.5518144e-06,1.9317056e-05,1.9245983e-05,1.0,41,0.020626975,1.9992501e-06,0,1.4607827301293557e-08,1.0
16,16,692334.1,1008.85834,13410.979,13448.871,-85.69795,11.737503837473923,-0.007871608,9.12216e-06,1.7141307e-05,1.7044851e-05,1.0,41,0.020560842,1.5288155e-06,0,1.6042964454091665e-08,1.0
17,17,599122.25,425.4624,14624.598,14630.785,-88.33361,12.289479650353314,-0.007820688,1.3360481e-05,1.8164388e-05,1.8149027e-05,1.0,41,0.020565823,1.4056541e-06,0,1.5462267798416938e-08,1.0
18,18,518454.94,228.56656,17860.037,17861.5,-89.26679,12.842488849972142,-0.007820558,1.0982478e-05,1.7188055e-05,1.718524e-05,1.0,41,0.020661898,1.156784e-06,0,1.6018730326524947e-08,1.0
19,19,448662.03,367.64456,19767.293,19770.71,-88.9345,13.394499542861013,-0.007735094,5.448079e-06,1.794542e-05,1.7939215e-05,1.0,41,0.020237105,1.0235901e-06,0,1.5749210146512697e-08,1.0
20,20,388258.97,1161.3037,22863.625,22893.1,-87.09229,13.946501649072161,-0.0076421774,-3.7309357e-07,1.7928896e-05,1.788276e-05,1.0,41,0.020835863,9.101373e-07,0,1.56021642371008e-08,1.0
21,21,335983.9,4483.8735,25205.52,25601.236,-79.91303,14.498481035261648,-0.007817428,7.526272e-06,1.8793427e-05,1.8216939e-05,1.0,41,0.020269852,7.917529e-07,0,1.4800789055502466e-08,1.0
22,22,290751.2,-11.948004,31065.012,31065.014,-90.02203,15.050498741475167,-0.00783673,1.2317661e-05,1.762086e-05,1.7620858e-05,1.0,41,0.020578628,6.6243746e-07,0,1.5576141018707783e-08,1.0
23,23,251605.19,2119.054,34034.24,34100.145,-86.437225,15.602504501031945,-0.007638358,-2.535085e-06,1.8585939e-05,1.8514165e-05,1.0,41,0.020291898,5.9506783e-07,0,1.5875694432431764e-08,1.0
24,24,217729.38,2658.1863,40323.88,40411.4,-86.22847,16.154478687240044,-0.007811633,1.0557899e-05,1.8127621e-05,1.8049188e-05,1.0,41,0.020153739,4.987142e-07,0,1.595056375269779e-08,1.0
25,25,188418.58,2014.19,45919.547,45963.7,-87.48842,16.706502633489436,-0.007680391,4.5728534e-06,1.8394958e-05,1.8359635e-05,1.0,41,0.02076324,4.5173127e-07,0,1.5281417794088587e-08,1.0
26,26,163051.14,1297.6255,52292.977,52309.074,-88.57852,17.425495520961704,-0.007547472,-1.3507594e-06,1.866607e-05,1.8654586e-05,1.0,42,0.01915708,3.6622862e-07,0,1.4979597423181445e-08,1.0
27,27,141098.2,1330.8973,60619.875,60634.484,-88.74229,17.84149194075144,-0.0078080744,8.978512e-07,1.860731e-05,1.8598344e-05,1.0,42,0.020948118,3.454819e-07,0,1.4939990322717793e-08,1.0
28,28,122105.11,11541.929,75500.65,76377.77,-81.30837,18.393496446922654,-0.007896352,1.1910104e-06,1.726377e-05,1.6869531e-05,1.0,42,0.02026914,2.653801e-07,0,1.4885424467840025e-08,1.0
29,29,105663.59,1841.8398,81630.305,81651.08,-88.70744,18.809481000032974,-0.007837028,5.553352e-07,1.8451996e-05,1.8442608e-05,1.0,42,0.021443179,2.6261966e-07,0,1.4847214380507351e-08,1.0
30,30,91439.65,3918.1792,93350.484,93432.68,-87.59655,19.361493852949934,-0.0076944022,8.9148614e-08,1.8645285e-05,1.8612493e-05,1.0,42,0.020397287,2.1830999e-07,0,1.4823553265021555e-08,1.0
31,31,79127.08,4864.9224,108864.24,108972.89,-87.44127,19.77749491270515,-0.0077691525,5.819691e-07,1.8476076e-05,1.8439252e-05,1.0,42,0.021508127,1.9737136e-07,0,1.4814020582896998e-08,1.0
32,32,68475.36,4.8402085,123175.08,123175.08,-89.99775,20.329500752239255,-0.0076840054,-6.8211756e-07,1.8869612e-05,1.8869612e-05,1.0,42,0.020203337,1.640213e-07,0,1.4748381280129328e-08,1.0
33,33,59252.523,4280.055,143124.55,143188.53,-88.28712,20.745488531974843,-0.007821731,4.899611e-07,1.8767185e-05,1.8750417e-05,1.0,42,0.020932766,1.4619025e-07,0,1.4795125148322955e-08,1.0
34,34,51282.285,-3743.1782,164363.44,164406.06,-91.30462,21.16150020508212,-0.007819626,1.1828154e-06,1.8881981e-05,1.8872192e-05,1.0,42,0.02151592,1.308706e-07,0,1.4674144835565172e-08,1.0
35,35,44369.8,1147.8896,196409.22,196412.58,-89.665146,21.577494011522504,-0.007709345,-1.8780698e-07,1.8262943e-05,1.8262319e-05,1.0,42,0.021948583,1.1174734e-07,0,1.4654314625638697e-08,1.0
36,36,38403.727,13959.463,232465.44,232884.19,-86.56354,22.12949697105796,-0.007768482,2.7521352e-07,1.7827415e-05,1.7763361e-05,1.0,42,0.020343997,8.735671e-08,0,1.4943665231505834e-08,1.0
37,37,33226.32,12207.231,257921.4,258210.12,-87.29025,22.54548603083822,-0.0077460865,-2.975089e-07,1.857165e-05,1.8530141e-05,1.0,42,0.020462675,7.924815e-08,0,1.4943458038875077e-08,1.0
38,38,28754.086,16361.861,296279.66,296731.1,-86.83909,22.961485650594113,-0.007706047,5.78583e-08,1.86818e-05,1.8625e-05,1.0,42,0.020560551,6.929018e-08,0,1.4958926431844056e-08,1.0
39,39,24884.947,15092.451,342226.38,342559.0,-87.474846,23.377502737013856,-0.0076988926,-7.0241896e-07,1.8688306e-05,1.865203e-05,1.0,42,0.020646576,6.027159e-08,0,1.4908239144019692e-08,1.0
