True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,219.5286,1686.6034,1700.8303,-82.58406,83.12047936129966,0.008281266,1.4058963e-05,1.3480562e-05,1.32559835e-05,2.0,40,0.009965421,5.8591504e-06,0,2.7942615328665414e-08,2.0
111,111,6057573.0,405.71796,1910.544,1953.1475,-78.010925,83.67250632084324,0.008297383,5.0352382e-06,1.37519555e-05,1.3158563e-05,2.0,40,0.014122713,7.230746e-06,0,2.8365263225150785e-08,2.0
112,112,5242039.0,386.05737,2196.1536,2229.8276,-80.02995,84.08849226063467,0.008354005,-1.3774794e-05,1.3824747e-05,1.3410347e-05,2.0,40,0.019512244,8.750561e-06,0,2.7866296394837656e-08,2.0
113,113,4536288.0,376.8076,2484.5872,2512.9976,-81.37635,85.45649203224457,0.008314637,-2.0882055e-05,1.4120994e-05,1.3803513e-05,2.0,40,0.018643817,7.4189556e-06,0,2.193419186167272e-08,2.0
114,114,3925558.5,481.18353,2831.1233,2871.7236,-80.354065,86.00848541848245,0.0082629705,6.505081e-06,1.4320557e-05,1.3918491e-05,2.0,40,0.019515418,6.7957158e-06,0,1.6925782618097073e-08,2.0
115,115,3397055.0,559.2072,3212.736,3261.0405,-80.126045,86.42449258491979,0.00827292,-6.090765e-06,1.4582853e-05,1.4154033e-05,2.0,40,0.020561557,6.3052134e-06,0,1.7617059151096606e-08,2.0
116,116,2939708.2,621.283,3662.5264,3714.8474,-80.37243,86.97648402446066,0.00824758,-1.3277859e-06,1.4782065e-05,1.43686075e-05,2.0,40,0.020357214,5.47996e-06,0,1.896944243621215e-08,2.0
117,117,2543924.5,765.32825,4245.27,4313.704,-79.7806,87.52948909075349,0.008212851,4.6259406e-06,1.4737051e-05,1.4273173e-05,2.0,40,0.02083574,4.830127e-06,0,1.4659949933010847e-08,2.0
118,118,2201436.2,950.6354,4766.6235,4860.4946,-78.72115,88.08148693028488,0.008242792,-8.602491e-06,1.5167122e-05,1.4586931e-05,2.0,40,0.020673549,4.253384e-06,0,1.2151991062234302e-08,2.0
119,119,1905053.1,894.3046,5603.289,5674.2075,-80.93188,88.80048413775512,0.008218533,-1.1738495e-06,1.4909739e-05,1.45393715e-05,2.0,41,0.01950142,3.4368534e-06,0,1.273150347668602e-08,2.0
120,120,1648567.4,1170.3784,6516.0874,6620.361,-79.81747,89.35250744401128,0.008192877,9.788437e-07,1.4815849e-05,1.4352813e-05,2.0,41,0.01990667,3.006886e-06,0,1.2935760955752131e-08,2.0
121,121,1426616.2,1367.053,7455.9604,7580.2495,-79.6102,89.90450360355317,0.0082515115,3.6804914e-07,1.496268e-05,1.4476033e-05,2.0,41,0.020296758,2.6775845e-06,0,1.2215781899700752e-08,2.0
122,122,1234551.2,1665.8173,8532.889,8693.972,-78.953476,90.45650757642579,0.008266734,-1.672899e-06,1.5108276e-05,1.4553607e-05,2.0,41,0.020800518,2.392522e-06,0,1.1654471376864902e-08,2.0
123,123,1068345.5,2323.3057,9745.031,10018.152,-76.59048,91.00849429596565,0.008227402,1.0794024e-06,1.5287103e-05,1.4464932e-05,2.0,41,0.020561539,2.0524283e-06,0,1.2114522546019697e-08,2.0
124,124,924510.06,2852.9548,11062.073,11424.046,-75.53832,91.56049698885181,0.008254027,-6.3007906e-07,1.5562235e-05,1.4591675e-05,2.0,41,0.020370204,1.7830989e-06,0,1.3107800031378779e-08,2.0
125,125,800039.0,3151.0295,12104.07,12507.498,-75.40818,92.1124893084343,0.008275081,2.0976469e-07,1.6435297e-05,1.5392157e-05,2.0,41,0.02068869,1.654103e-06,0,1.2518444672635927e-08,2.0
