True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,260.2288,1778.4966,1797.4341,-81.67558,2.4674901438120287,-0.16536057,6.8163434e-05,1.2784034e-05,1.2516072e-05,1.0,40,0.009966049,5.544598e-06,0,1.488017871899198e-08,1.0
1,1,6057573.0,391.90686,2129.3464,2165.1113,-79.5714,3.0194925967080053,-0.16522396,4.4584776e-06,1.2338864e-05,1.1934586e-05,1.0,40,0.014167921,6.5437375e-06,0,3.3294285143704707e-08,1.0
2,2,5242039.0,342.06747,2355.505,2380.213,-81.73724,3.435491923155496,-0.1652352,1.545427e-05,1.2889494e-05,1.2623283e-05,1.0,40,0.0196334,8.248589e-06,0,3.420630024332796e-08,1.0
3,3,4536288.0,329.17212,2750.3118,2769.9402,-83.174995,4.667482008313527,-0.16520593,1.8909558e-06,1.2756678e-05,1.2576525e-05,1.0,40,0.021473954,7.752497e-06,0,3.493837826123227e-08,1.0
4,4,3925558.5,359.44183,3116.723,3137.381,-83.42132,5.0834821347671095,-0.1652969,4.723228e-05,1.3008298e-05,1.2837555e-05,1.0,40,0.019903386,6.3439493e-06,0,3.921672770211633e-08,1.0
5,5,3397055.0,425.85443,3526.9758,3552.592,-83.11532,5.499497994518606,-0.16531205,1.7910188e-05,1.32835785e-05,1.3092705e-05,1.0,40,0.021054985,5.9266545e-06,0,4.1014905104285995e-08,1.0
6,6,2939708.2,409.8052,4007.7375,4028.635,-84.1616,6.051482340757502,-0.16530211,-6.909395e-06,1.3508796e-05,1.3369012e-05,1.0,40,0.021090737,5.2352066e-06,0,3.7772690025791337e-08,1.0
7,7,2543924.5,407.73553,4666.195,4683.975,-85.006134,6.603492046968313,-0.16533135,2.310109e-05,1.3407662e-05,1.3306065e-05,1.0,40,0.020521333,4.381179e-06,0,3.993534379535251e-08,1.0
8,8,2201436.2,653.0089,5304.337,5344.3813,-82.98172,7.155494153179461,-0.16529663,-1.9579666e-05,1.3629594e-05,1.3426111e-05,1.0,40,0.020818412,3.895383e-06,0,3.650901461081604e-08,1.0
9,9,1905053.1,220.54779,6317.455,6321.3037,-88.000565,7.874484613974346,-0.165323,-2.3414357e-06,1.3224244e-05,1.3208147e-05,1.0,41,0.019552441,3.0931026e-06,0,3.578211963960598e-08,1.0
10,10,1648567.4,263.66113,7083.4316,7088.337,-87.86831,8.42648112020106,-0.16534188,4.2339334e-06,1.362918e-05,1.3610324e-05,1.0,41,0.02005064,2.8286804e-06,0,3.6808289560358925e-08,1.0
11,11,1426616.2,507.75223,8124.134,8139.9854,-86.423706,8.978492346446728,-0.16528696,-3.7008117e-06,1.3732067e-05,1.3678637e-05,1.0,41,0.020492287,2.5174845e-06,0,3.65836582284184e-08,1.0
12,12,1234551.2,694.3677,9346.679,9372.436,-85.75128,9.53047762598726,-0.16529582,-1.7343505e-06,1.3792839e-05,1.3717134e-05,1.0,41,0.020431796,2.1799879e-06,0,3.5101683576183654e-08,1.0
13,13,1068345.5,765.8407,10825.284,10852.34,-85.95332,10.082503012177767,-0.16528037,-1.4289528e-06,1.3761606e-05,1.3693074e-05,1.0,41,0.020480141,1.8871636e-06,0,3.6306189381453656e-08,1.0
14,14,924510.06,986.8849,12425.966,12465.094,-85.45903,10.634502638393315,-0.1652378,-3.6468086e-06,1.38541e-05,1.3767261e-05,1.0,41,0.02048884,1.6436971e-06,0,3.7870327094916927e-08,1.0
15,15,800039.0,1588.4663,14359.035,14446.63,-83.68733,11.18748709137435,-0.16539325,9.196642e-06,1.3854271e-05,1.3686775e-05,1.0,41,0.020667363,1.430601e-06,0,3.906435824413595e-08,1.0
16,16,692334.1,1864.6447,16623.68,16727.93,-83.6,11.7394837042375,-0.16537681,2.211607e-06,1.3828569e-05,1.3656744e-05,1.0,41,0.020401485,1.2196061e-06,0,3.872422556251346e-08,1.0
17,17,599122.25,1956.8625,19190.965,19290.475,-84.177795,12.291501570463879,-0.16526496,-1.0621036e-06,1.3842288e-05,1.3699846e-05,1.0,41,0.02074312,1.0753038e-06,0,3.946888789977581e-08,1.0
18,18,518454.94,2434.9382,21993.686,22128.062,-83.682465,12.843481223360868,-0.16531496,2.3773407e-06,1.39576105e-05,1.3788605e-05,1.0,41,0.020384714,9.2121553e-07,0,3.990352609986619e-08,1.0
19,19,448662.03,3480.4458,25177.303,25416.729,-82.12946,13.395478369580815,-0.16537839,3.749767e-06,1.4089371e-05,1.3825177e-05,1.0,41,0.020284992,7.980961e-07,0,3.9343568998582156e-08,1.0
20,20,388258.97,5228.532,29218.482,29682.61,-79.85453,13.947480769100366,-0.16528453,-1.7864918e-06,1.40294605e-05,1.3594153e-05,1.0,41,0.020829275,7.017333e-07,0,3.946550393349134e-08,1.0
21,21,335983.9,4677.2563,32577.064,32911.12,-81.82959,14.500487728713779,-0.16527851,-4.503411e-06,1.4540846e-05,1.4247157e-05,1.0,41,0.020669103,6.280279e-07,0,3.942611611255605e-08,1.0
22,22,290751.2,6811.3853,37437.51,38052.098,-79.68839,15.052501008234685,-0.16535349,5.036533e-06,1.4621492e-05,1.4152996e-05,1.0,41,0.020529984,5.3952306e-07,0,4.006014130108958e-08,1.0
23,23,251605.19,9620.849,42031.27,43118.305,-77.10725,15.604480981157394,-0.16536498,4.3661485e-06,1.5049707e-05,1.430045e-05,1.0,41,0.020459484,4.744965e-07,0,3.990596738500251e-08,1.0
24,24,217729.38,12057.363,48089.734,49578.246,-75.92459,16.15649394071079,-0.16530515,1.9304173e-06,1.520025e-05,1.4301223e-05,1.0,41,0.020257166,4.085898e-07,0,4.0143918991091314e-08,1.0
25,25,188418.58,12019.052,54078.836,55398.36,-77.46964,16.875480508169858,-0.16536038,-8.220305e-08,1.561957e-05,1.4884352e-05,1.0,42,0.019768473,3.568422e-07,0,4.07123388478736e-08,1.0
26,26,163051.14,16875.434,62514.77,64752.426,-74.89346,17.291493914584862,-0.1653458,-1.4347957e-07,1.5613981e-05,1.455348e-05,1.0,42,0.021709753,3.352732e-07,0,4.0698967489167395e-08,1.0
27,27,141098.2,21763.113,69140.64,72484.91,-72.52778,17.843496954155853,-0.16539744,-3.843386e-08,1.631418e-05,1.4843519e-05,1.0,42,0.02052611,2.831777e-07,0,4.0685650526205407e-08,1.0
28,28,122105.11,18689.066,84151.125,86201.47,-77.47845,18.39550343368319,-0.16526294,-9.0785437e-07,1.5489108e-05,1.4761038e-05,1.0,42,0.020303464,2.3553501e-07,0,4.070352529067891e-08,1.0
29,29,105663.59,31864.85,86735.09,92403.164,-69.827614,18.811487666825997,-0.1653747,2.020164e-07,1.7366005e-05,1.5300862e-05,1.0,42,0.021520443,2.3289726e-07,0,4.071047208938299e-08,1.0
