True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,251.44435,1916.3198,1932.7457,-82.5248,82.55449928107555,0.013092398,-1.6807371e-05,1.1864597e-05,1.1663785e-05,2.0,40,0.010178872,5.2665346e-06,0,-1.3796330162709116e-08,2.0
111,111,6057573.0,523.29425,2140.2874,2203.3308,-76.26088,83.1065002673131,0.01300794,6.0771463e-06,1.2275788e-05,1.158335e-05,2.0,40,0.014382602,6.527663e-06,0,-8.608779428675156e-09,2.0
112,112,5242039.0,343.72733,2520.4207,2543.751,-82.234085,83.52249290040345,0.013184792,-4.5738845e-05,1.2046111e-05,1.182616e-05,2.0,40,0.020020667,7.87053e-06,0,-4.5013137460620834e-09,2.0
113,113,4536288.0,249.0104,2794.9626,2806.0332,-84.90881,84.75449194558314,0.012956815,8.421455e-06,1.2552884e-05,1.245403e-05,2.0,40,0.019905832,7.0939404e-06,0,-3.0089287218724416e-09,2.0
114,114,3925558.5,325.27148,3222.755,3239.1282,-84.23667,85.17049748534919,0.012998866,1.6831085e-05,1.2580312e-05,1.245345e-05,2.0,40,0.019101735,5.897184e-06,0,-4.287091620231356e-09,2.0
115,115,3397055.0,365.68033,3699.45,3717.4792,-84.35481,85.58649433180108,0.0129271345,8.272597e-06,1.2664277e-05,1.2541735e-05,2.0,40,0.020180698,5.4285974e-06,0,-3.817651712353796e-09,2.0
116,116,2939708.2,381.4334,4081.6777,4099.4614,-84.66121,86.13848491801764,0.013085765,-7.961927e-05,1.3264081e-05,1.3149251e-05,2.0,40,0.020108923,4.9052596e-06,0,-1.112657086230293e-08,2.0
117,117,2543924.5,412.46655,4815.2183,4832.8516,-85.10406,86.69050646419055,0.012971235,-1.4500385e-05,1.2992716e-05,1.2898077e-05,2.0,40,0.020533886,4.2488136e-06,0,-1.1481889920472425e-08,2.0
118,118,2201436.2,263.47104,5830.8013,5836.751,-87.41279,87.40948233837844,0.0130441785,-6.970812e-06,1.2398975e-05,1.237371e-05,2.0,41,0.019816129,3.3950616e-06,0,-9.027036228956348e-09,2.0
119,119,1905053.1,167.85428,6269.1147,6271.3613,-88.466286,87.96150479125208,0.01293142,1.0794032e-06,1.3326215e-05,1.3316669e-05,2.0,41,0.02059196,3.2834912e-06,0,-9.523910264095381e-09,2.0
120,120,1648567.4,340.45233,7226.7295,7234.7446,-87.30278,88.51350689746323,0.012912974,-3.0454938e-08,1.3358929e-05,1.3329346e-05,2.0,41,0.019732555,2.727471e-06,0,-1.2633981936901437e-08,2.0
121,121,1426616.2,236.60931,8664.489,8667.72,-88.43576,89.06548695036327,0.013067636,-2.8162767e-06,1.2875676e-05,1.28660795e-05,2.0,41,0.02060312,2.3769944e-06,0,-1.2970904731739107e-08,2.0
122,122,1234551.2,318.98038,9975.66,9980.759,-88.16854,89.61748692326364,0.012997953,-2.7957906e-06,1.29231785e-05,1.2909979e-05,2.0,41,0.02033538,2.0374582e-06,0,-1.4106151570793054e-08,2.0
123,123,1068345.5,165.59746,12389.657,12390.764,-89.234245,90.16949316280079,0.013013697,-2.9764226e-06,1.2024005e-05,1.2021857e-05,2.0,41,0.020931864,1.6893118e-06,0,-1.4609725905675467e-08,2.0
124,124,924510.06,438.57993,13206.863,13214.144,-88.09799,90.72149913568865,0.013020777,-5.847906e-06,1.30349335e-05,1.3020574e-05,2.0,41,0.020228337,1.5308095e-06,0,-1.4798600986397848e-08,2.0
125,125,800039.0,-3694.5974,16748.19,17150.857,-102.44003,91.27348748189979,0.0131117,-9.447499e-06,1.1877939e-05,1.1326746e-05,2.0,41,0.020549132,1.1981402e-06,0,-1.4674166123491113e-08,2.0
126,126,692334.1,278.29752,17856.787,17858.955,-89.10712,91.82550028144033,0.01300099,-2.5350876e-06,1.2873632e-05,1.2870506e-05,2.0,41,0.020478811,1.1466971e-06,0,-1.47569103184101e-08,2.0
127,127,599122.25,690.8583,20541.822,20553.436,-88.07377,92.37748358768295,0.012938108,4.0104737e-06,1.2932001e-05,1.2917391e-05,2.0,41,0.020713437,1.0077847e-06,0,-1.4845830459060454e-08,2.0
128,128,518454.94,233.24037,23139.383,23140.559,-89.42249,92.92950500056031,0.01296831,-1.1496262e-06,1.3266529e-05,1.3265182e-05,2.0,41,0.020472355,8.846958e-07,0,-1.4005838055422536e-08,2.0
129,129,448662.03,608.0823,27463.67,27470.4,-88.731606,93.48148305344512,0.012927023,8.917315e-06,1.2916422e-05,1.2910094e-05,2.0,41,0.020334402,7.4022955e-07,0,-1.4374241817794539e-08,2.0
130,130,388258.97,1113.9523,32294.572,32313.78,-88.02445,94.03348433299107,0.013026795,-7.939483e-07,1.2693142e-05,1.2678056e-05,2.0,41,0.020923404,6.475072e-07,0,-1.483283531387336e-08,2.0
131,131,335983.9,-4901.8706,30539.848,30930.738,-99.11862,94.58549070588197,0.012906863,6.386616e-06,1.5510821e-05,1.5121258e-05,2.0,41,0.020317389,6.5686726e-07,0,-1.449343085136117e-08,2.0
132,132,290751.2,1430.4471,42882.42,42906.273,-88.08947,95.13750758543028,0.013105216,-7.1886734e-06,1.2764956e-05,1.2750768e-05,2.0,41,0.020813484,4.8509185e-07,0,-1.5573555949159337e-08,2.0
133,133,251605.19,2433.1665,47380.918,47443.35,-87.06026,95.68948577166884,0.012989271,-1.846081e-06,1.3350486e-05,1.3315372e-05,2.0,41,0.02023703,4.2655145e-07,0,-1.6193273918377612e-08,2.0
134,134,217729.38,1980.8129,54647.31,54683.195,-87.924095,96.4084822057921,0.013110507,-9.20892e-07,1.3376249e-05,1.3358697e-05,2.0,42,0.019510593,3.567932e-07,0,-1.569594775662031e-08,2.0
135,135,188418.58,1415.6086,63829.21,63844.906,-88.7295,96.82449737223214,0.012977477,-2.1648981e-07,1.3233567e-05,1.3227062e-05,2.0,42,0.021724118,3.402639e-07,0,-1.565819606288896e-08,2.0
