True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,230.18083,1919.777,1933.5271,-83.16289,2.4684860105335247,0.010239767,6.527961e-05,1.1843231e-05,1.1675385e-05,1.0,40,0.01016001,5.254651e-06,0,3.953333167556947e-09,1.0
1,1,6057573.0,355.0839,2052.7004,2083.186,-80.18588,3.0204862234240863,0.010352806,-4.2445703e-05,1.2799585e-05,1.2427706e-05,1.0,40,0.01437486,6.9004204e-06,0,3.791416339064805e-09,1.0
2,2,5242039.0,302.22327,2624.599,2641.9424,-83.431305,3.4365010431793053,0.010310773,-5.588403e-06,1.1567963e-05,1.1416584e-05,1.0,40,0.020028178,7.5808534e-06,0,5.641790778175467e-10,1.0
3,3,4536288.0,286.2015,2894.3179,2908.4338,-84.35273,4.66848840835155,0.0103404345,-1.1430495e-05,1.2121972e-05,1.2004591e-05,1.0,40,0.019763174,6.795126e-06,0,1.6120567563891403e-09,1.0
4,4,3925558.5,337.4866,3288.9238,3306.1938,-84.14121,5.084491841465933,0.010303488,-1.8909876e-05,1.2327212e-05,1.2198765e-05,1.0,40,0.019001491,5.7472407e-06,0,-4.128641670604338e-10,1.0
5,5,3397055.0,279.12167,3750.282,3760.6548,-85.74351,5.500483621231979,0.010163694,2.6319834e-05,1.2492623e-05,1.2423802e-05,1.0,40,0.020113528,5.348411e-06,0,-1.2358954600162835e-09,1.0
6,6,2939708.2,356.85028,4213.7935,4228.8765,-85.159386,6.052485114109004,0.010171034,1.6719456e-05,1.2848211e-05,1.2756724e-05,1.0,40,0.020215757,4.7804087e-06,0,-8.131402052969052e-09,1.0
7,7,2543924.5,410.3834,4956.4023,4973.363,-85.266785,6.605481007049093,0.010184226,1.1193652e-05,1.2622616e-05,1.253667e-05,1.0,40,0.020634538,4.149011e-06,0,-1.6906666526589713e-08,1.0
8,8,2201436.2,93.01211,6158.5615,6159.2637,-89.134735,7.324499441223452,0.01031394,-9.328331e-06,1.1739098e-05,1.1736422e-05,1.0,41,0.020113904,3.2656346e-06,0,-2.075382064616507e-08,1.0
9,9,1905053.1,-44.105762,6942.6064,6942.7466,-90.36399,7.876496454089647,0.010223875,3.4704422e-06,1.2033459e-05,1.2032973e-05,1.0,41,0.020380864,2.9355622e-06,0,-2.114785830427637e-08,1.0
