True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,250.01497,1962.1903,1978.0542,-82.73871,2.4654737170494627,0.014381844,-3.411037e-05,1.1587236e-05,1.1402122e-05,1.0,40,0.010144668,5.1286097e-06,0,-5.101246152229856e-09,1.0
1,1,6057573.0,287.4965,2221.7717,2240.2954,-82.626915,3.0174862499407027,0.01440463,-4.849245e-05,1.1825569e-05,1.163082e-05,1.0,40,0.0144152865,6.4345472e-06,0,-3.853554288424574e-09,1.0
2,2,5242039.0,385.83316,2531.8765,2561.1064,-81.33535,3.433483496395638,0.014414823,-2.9496336e-05,1.1991607e-05,1.1719448e-05,1.0,40,0.019980388,7.801467e-06,0,-8.906497721833754e-09,1.0
3,3,4536288.0,226.46304,2917.6143,2926.39,-85.561646,4.665502514893888,0.01420065,7.132626e-05,1.2025182e-05,1.1953168e-05,1.0,40,0.019742012,6.7462e-06,0,-3.688946089844257e-09,1.0
4,4,3925558.5,356.8847,3351.3838,3370.3323,-83.921555,5.0814908813044894,0.014282965,1.7979348e-06,1.2097468e-05,1.19618235e-05,1.0,40,0.018995948,5.636224e-06,0,-4.125590716007031e-09,1.0
5,5,3397055.0,412.07877,3728.0115,3750.717,-83.69237,5.497496101103025,0.014336644,-1.033278e-05,1.2567252e-05,1.2415557e-05,1.0,40,0.020025663,5.339156e-06,0,-4.335349985050622e-09,1.0
6,6,2939708.2,420.20114,4255.759,4276.453,-84.36106,6.049500500637805,0.014214643,1.1602971e-05,1.2721517e-05,1.2598693e-05,1.0,40,0.0201788,4.7185836e-06,0,-8.127120946862003e-09,1.0
7,7,2543924.5,507.16406,5046.597,5072.017,-84.26125,6.601491300185444,0.014344264,-3.7998994e-05,1.23970185e-05,1.2273068e-05,1.0,40,0.020722622,4.0856767e-06,0,-1.0071368428384631e-08,1.0
8,8,2201436.2,316.51416,5931.401,5939.84,-86.94545,7.32049333435134,0.014343165,-1.2903716e-05,1.21886815e-05,1.21540725e-05,1.0,41,0.019946758,3.3581307e-06,0,-1.2084341232588417e-08,1.0
9,9,1905053.1,267.31387,6398.051,6403.633,-87.607544,7.872491520567564,0.014263738,-9.2057684e-07,1.305766e-05,1.3034905e-05,1.0,41,0.020350717,3.1779957e-06,0,-1.0889571285796744e-08,1.0
10,10,1648567.4,504.71066,7814.213,7830.495,-86.30447,8.424486266769236,0.014250938,2.2171944e-06,1.2354586e-05,1.2303261e-05,1.0,41,0.019833352,2.532835e-06,0,-1.0523672561360639e-08,1.0
