True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,356.15057,1959.0615,1991.1719,-79.69636,82.42948018180323,-0.0020560971,4.760449e-05,1.1605742e-05,1.1234442e-05,2.0,40,0.010161163,5.103107e-06,0,-2.7677287194874623e-08,2.0
111,111,6057573.0,451.25443,2238.0828,2283.1218,-78.60055,82.98150644803536,-0.0020129832,-3.1989464e-05,1.1739386e-05,1.1280788e-05,2.0,40,0.014360274,6.289754e-06,0,-3.297817585064866e-08,2.0
112,112,5242039.0,288.49365,2525.1357,2541.5623,-83.482285,83.39748337448691,-0.0018957148,-3.7998994e-05,1.2023618e-05,1.1868699e-05,2.0,40,0.01993633,7.844124e-06,0,-3.801982626502159e-08,2.0
113,113,4536288.0,216.81448,2802.548,2810.9224,-85.57622,84.62949023299734,-0.0020289316,-1.4952158e-06,1.2518908e-05,1.2444427e-05,2.0,40,0.019692788,7.00581e-06,0,-5.948516852567288e-08,2.0
114,114,3925558.5,385.82227,3234.407,3257.3374,-83.19751,85.0455035060586,-0.0019445672,-5.5543882e-05,1.2534991e-05,1.2359128e-05,2.0,40,0.019000668,5.8331902e-06,0,-6.908245056299044e-08,2.0
115,115,3397055.0,460.07065,3768.152,3796.1343,-83.038956,85.46148792581516,-0.0020941056,-2.2351865e-05,1.2433378e-05,1.22507545e-05,2.0,40,0.020105038,5.2961873e-06,0,-7.14752132100891e-08,2.0
116,116,2939708.2,488.76248,4292.5825,4320.319,-83.50416,86.01348803206929,-0.0020795914,5.4817933e-06,1.2612386e-05,1.2450963e-05,2.0,40,0.02020338,4.676363e-06,0,-7.527607307212374e-08,2.0
117,117,2543924.5,464.7238,4941.7285,4963.5317,-84.62766,86.5654944316193,-0.0020566185,-1.4984123e-05,1.2660097e-05,1.2549118e-05,2.0,40,0.020693772,4.169163e-06,0,-8.29015303657121e-08,2.0
118,118,2201436.2,130.57541,5883.7627,5885.2114,-88.728676,87.28449459912372,-0.0019733533,-8.698914e-06,1.2287369e-05,1.2281319e-05,2.0,41,0.02002976,3.4034056e-06,0,-8.332422139867369e-08,2.0
119,119,1905053.1,902.19635,6633.0586,6694.134,-82.25444,87.83650150531321,-0.0020068157,-6.512702e-06,1.259503e-05,1.2366252e-05,2.0,41,0.020723822,3.0958183e-06,0,-8.309114411173171e-08,2.0
120,120,1648567.4,486.91953,7441.7676,7457.68,-86.25644,88.38850219818414,-0.002175992,7.5877206e-06,1.2972908e-05,1.2917606e-05,2.0,41,0.019761125,2.6497682e-06,0,-8.369801722233955e-08,2.0
121,121,1426616.2,314.28223,8954.965,8960.479,-87.98998,88.94048182442202,-0.00191675,-1.3229584e-05,1.2458022e-05,1.2442695e-05,2.0,41,0.020626111,2.3018983e-06,0,-8.413740361140872e-08,2.0
122,122,1234551.2,352.09018,10335.792,10341.787,-88.048965,89.49250062395004,-0.0019753282,-5.1477246e-06,1.2472895e-05,1.2458438e-05,2.0,41,0.020428747,1.9753595e-06,0,-8.540853801700976e-08,2.0
123,123,1068345.5,17.208776,11511.1875,11511.2,-89.914345,90.04449766353355,-0.0020286709,-4.157046e-06,1.2941609e-05,1.2941581e-05,2.0,41,0.020369193,1.7695107e-06,0,-8.550429119180613e-08,2.0
124,124,924510.06,447.7602,13925.115,13932.3125,-88.158295,90.5965036097623,-0.0020447874,-4.382717e-07,1.2362597e-05,1.2349827e-05,2.0,41,0.020444077,1.4673857e-06,0,-8.612531893518336e-08,2.0
125,125,800039.0,1506.8363,13263.185,13348.506,-83.518394,91.14848739598528,-0.0020836904,2.148295e-06,1.499896e-05,1.4807832e-05,2.0,41,0.021156207,1.584912e-06,0,-8.665868196364852e-08,2.0
126,126,692334.1,649.89105,18514.766,18526.168,-87.98967,91.7004971021961,-0.0020418807,2.747916e-06,1.2416128e-05,1.2400849e-05,2.0,41,0.020571094,1.1103804e-06,0,-8.675639716125339e-08,2.0
127,127,599122.25,310.72894,20845.512,20847.828,-89.145996,92.25248750174069,-0.0021360456,3.718112e-06,1.2743601e-05,1.2740768e-05,2.0,41,0.020877736,1.0014346e-06,0,-8.64389555615818e-08,2.0
128,128,518454.94,233.46683,23835.062,23836.205,-89.4388,92.80450086129713,-0.0021281643,4.0439936e-06,1.2879316e-05,1.2878082e-05,2.0,41,0.020315027,8.5227606e-07,0,-8.664433293017382e-08,2.0
129,129,448662.03,1820.5272,28354.0,28412.385,-86.32625,93.35648462086101,-0.0021630803,8.764619e-06,1.2510839e-05,1.2459475e-05,2.0,41,0.020454202,7.1990445e-07,0,-8.595631680130071e-08,2.0
130,130,388258.97,-3959.651,31112.176,31363.137,-97.25305,93.90849598040222,-0.002105974,2.0998789e-06,1.3175534e-05,1.2965523e-05,2.0,41,0.020669658,6.5904305e-07,0,-8.518703573817237e-08,2.0
131,131,335983.9,9414.299,37719.59,38876.684,-75.98606,94.46048280657851,-0.0020183302,-2.2930028e-06,1.255841e-05,1.1821979e-05,2.0,41,0.020725355,5.33105e-07,0,-8.530896181603608e-08,2.0
132,132,290751.2,1289.816,44631.914,44650.547,-88.34467,95.01249837948126,-0.0022135908,1.4017825e-05,1.22645915e-05,1.2254358e-05,2.0,41,0.020630792,4.6205014e-07,0,-8.592789969122292e-08,2.0
133,133,251605.19,632.31445,49785.25,49789.266,-89.27233,95.56450416569714,-0.002051383,9.788458e-07,1.27057365e-05,1.2703687e-05,2.0,41,0.020419078,4.1011003e-07,0,-8.625042758024372e-08,2.0
134,134,217729.38,1163.8712,55850.715,55862.84,-88.80619,96.2835022265499,-0.0019649316,-1.4388564e-06,1.3088033e-05,1.3082352e-05,2.0,42,0.01959525,3.5077434e-07,0,-8.561621101965381e-08,2.0
135,135,188418.58,1486.2988,63441.047,63458.453,-88.65792,96.69949405963416,-0.0020585933,-8.7712266e-07,1.3314536e-05,1.33072335e-05,2.0,42,0.021704726,3.420305e-07,0,-8.573902741356163e-08,2.0
136,136,163051.14,2903.995,73834.93,73892.016,-87.747665,97.25148749919026,-0.0020217025,-3.2283918e-07,1.3220091e-05,1.3199672e-05,2.0,42,0.020813923,2.816803e-07,0,-8.569778965113173e-08,2.0
137,137,141098.2,4306.086,87180.38,87286.664,-87.172295,97.80349960536114,-0.0021481563,2.077903e-07,1.2938379e-05,1.290689e-05,2.0,42,0.020279933,2.3233713e-07,0,-8.565995640972741e-08,2.0
138,138,122105.11,6140.1743,100148.84,100336.9,-86.49156,98.21949327850598,-0.0020179949,-9.3895807e-07,1.30148865e-05,1.2966146e-05,2.0,42,0.021921555,2.1847949e-07,0,-8.564260160098374e-08,2.0
139,139,105663.59,7806.9546,119629.96,119884.43,-86.26622,98.77149826471577,-0.0021897235,3.8286646e-07,1.2590842e-05,1.2537448e-05,2.0,42,0.020429198,1.7040743e-07,0,-8.570416779194506e-08,2.0
140,140,91439.65,2561.232,132041.7,132066.55,-88.88876,99.18750801778515,-0.0022418366,1.1135295e-06,1.3181792e-05,1.3176834e-05,2.0,42,0.021587782,1.634614e-07,0,-8.570934453970658e-08,2.0
141,141,79127.08,1703.3462,152674.19,152683.69,-89.360794,99.73948479068349,-0.0021973066,4.2253788e-07,1.3174356e-05,1.31727165e-05,2.0,42,0.020216407,1.3240712e-07,0,-8.575619690821373e-08,2.0
142,142,68475.36,2381.8984,176833.12,176849.17,-89.22829,100.15550065043499,-0.0020682446,1.5601258e-07,1.3143837e-05,1.3141453e-05,2.0,42,0.021066325,1.19120294e-07,0,-8.571078438442628e-08,2.0
143,143,59252.523,4903.9653,204026.0,204084.92,-88.62311,100.57148947016685,-0.0021268227,1.5563995e-07,1.316521e-05,1.3157608e-05,2.0,42,0.021788672,1.0676277e-07,0,-8.568499964185961e-08,2.0
144,144,51282.285,461.754,232687.78,232688.23,-89.8863,101.12350122976932,-0.0019732974,-1.5103768e-06,1.3337646e-05,1.3337594e-05,2.0,42,0.02027557,8.713621e-08,0,-8.587818707612212e-08,2.0
145,145,44369.8,11328.97,271087.75,271324.38,-87.60696,101.53948482286069,-0.0019817003,-7.098692e-07,1.32319165e-05,1.3208847e-05,2.0,42,0.020597499,7.591466e-08,0,-8.592631848509708e-08,2.0
146,146,38403.727,17495.133,321450.0,321925.75,-86.88471,101.95550505592837,-0.002195723,5.162222e-07,1.2892387e-05,1.285431e-05,2.0,42,0.020993002,6.521069e-08,0,-8.590364005080689e-08,2.0
147,147,33226.32,18662.846,364098.5,364576.5,-87.06572,102.37148528904072,-0.0020841002,-2.8540276e-07,1.3155853e-05,1.3121377e-05,2.0,42,0.021133656,5.7967686e-08,0,-8.600868379396884e-08,2.0
148,148,28754.086,36693.816,420503.12,422101.06,-85.01291,102.78750258879154,-0.0019762411,-1.2892966e-06,1.3162893e-05,1.3063421e-05,2.0,42,0.021274343,5.0401066e-08,0,-8.597836379509626e-08,2.0
149,149,24884.947,40790.336,502019.22,503673.66,-85.354774,103.37049018978723,-0.002103738,-1.7716633e-07,1.2739813e-05,1.2656257e-05,2.0,43,0.021038776,4.177065e-08,0,-8.607234565871666e-08,2.0
150,150,21553.963,39222.55,589465.4,590768.9,-86.1932,103.78749380962108,-0.001948983,-3.0125076e-07,1.2526642e-05,1.2471425e-05,2.0,43,0.021029042,3.5596056e-08,0,-8.608286661463716e-08,2.0
151,151,18631.234,50149.46,669825.75,671700.44,-85.718285,104.20349897604319,-0.0020587053,-2.0133886e-07,1.2753126e-05,1.2682039e-05,2.0,43,0.02089478,3.110729e-08,0,-8.610484226283423e-08,2.0
152,152,16126.037,61356.598,738836.06,741379.4,-85.25277,104.61948334248154,-0.0019041923,-2.982525e-07,1.3358091e-05,1.3266597e-05,2.0,43,0.020708311,2.7932138e-08,0,-8.613403408321633e-08,2.0
153,153,13954.87,303515.88,832898.5,886477.2,-69.9778,105.0355078955472,-0.0020305153,-2.1368585e-07,1.3693116e-05,1.2087912e-05,2.0,43,0.020578127,2.3213374e-08,0,-8.615452492903626e-08,2.0
154,154,12080.609,131850.66,833103.3,843472.44,-81.00671,105.45148732865346,-0.002038136,-1.9811709e-07,1.581366e-05,1.5427244e-05,2.0,43,0.019609636,2.3248697e-08,0,-8.618007633506104e-08,2.0
155,155,10447.592,170168.39,1155053.9,1167521.6,-81.61919,105.86750758838025,-0.0021627075,-1.064179e-07,1.3188691e-05,1.2908516e-05,2.0,43,0.019469738,1.6676125e-08,0,-8.620158051561777e-08,2.0
156,156,9045.586,208884.75,1249227.9,1266571.4,-80.50733,106.4402471089561,-0.0021055269,-1.8297666e-07,1.408451e-05,1.3701425e-05,2.0,43,0.020145874,1.5905835e-08,0,-8.623439577063912e-08,2.0
157,157,7827.7437,252002.19,1529342.6,1549965.8,-80.64299,106.91993286510115,-0.0021005895,-1.6984752e-07,1.3294707e-05,1.2943274e-05,2.0,43,0.020225465,1.3048975e-08,0,-8.626329727512487e-08,2.0
158,158,6770.8345,340156.75,1698299.4,1732029.9,-78.67395,107.45841086396831,-0.002136325,-1.5807785e-07,1.384088e-05,1.330704e-05,2.0,43,0.020154737,1.1636484e-08,0,-8.63050430159657e-08,2.0
159,159,5860.798,469234.44,1931933.1,1988101.2,-76.34816,108.06497571949149,-0.0019674841,-2.0983092e-07,1.4056308e-05,1.3273287e-05,2.0,43,0.020199437,1.0160165e-08,0,-8.63412130527767e-08,2.0
160,160,5071.625,634102.6,2238750.0,2326819.2,-74.185776,108.74569692516525,-0.0020204356,-1.9740943e-07,1.4017399e-05,1.2976373e-05,2.0,43,0.020229548,8.694078e-09,0,-8.637900045127288e-08,2.0
161,161,4388.5933,1483190.4,2771380.0,3143310.5,-61.84515,109.42582839746319,-0.0020398314,-1.616162e-07,1.3085753e-05,1.01722335e-05,2.0,43,0.020515176,6.5266144e-09,0,-8.641067783599689e-08,2.0
162,162,3798.7827,971783.56,2731495.8,2899212.2,-70.41598,110.10583477643377,-0.0020054744,-1.8753929e-07,1.5338228e-05,1.3614955e-05,2.0,43,0.020138232,6.9461046e-09,0,-8.644386383678971e-08,2.0
163,163,3286.0488,1331298.8,3004733.2,3286453.8,-66.10344,110.78568488872406,-0.0020279814,-1.7180292e-07,1.6119078e-05,1.3474014e-05,2.0,43,0.020206992,6.14857e-09,0,-8.647674898560985e-08,2.0
164,164,2844.088,1395449.5,3392289.2,3668093.0,-67.63973,111.46582249435596,-0.0020083995,-1.7936382e-07,1.6496213e-05,1.4108775e-05,2.0,43,0.020077337,5.473508e-09,0,-8.650863578857306e-08,2.0
165,165,2460.7852,1954096.4,3657923.0,4147154.8,-61.888454,112.14570673998969,-0.0020261742,-1.9189704e-07,1.7681205e-05,1.3755631e-05,2.0,43,0.020171683,4.863981e-09,0,-8.653801324291166e-08,2.0
166,166,2129.3164,2314362.0,3984467.8,4607847.0,-59.85001,112.82584554562345,-0.0020960432,-1.7349761e-07,1.8758998e-05,1.4026656e-05,2.0,43,0.020137738,4.370314e-09,0,-8.657323543856777e-08,2.0
167,167,1843.2289,3119594.2,4526650.5,5497493.5,-55.426876,113.50595619124942,-0.0020895593,-1.4241598e-07,1.907497e-05,1.2932675e-05,2.0,43,0.020242624,3.6821552e-09,0,-8.659455617810291e-08,2.0
168,168,1594.4913,3441402.0,4428109.0,5608154.5,-52.14665,114.18584513021051,-0.0021769423,-1.2740593e-07,2.2541337e-05,1.4053236e-05,2.0,43,0.020143135,3.5917582e-09,0,-8.662058356042756e-08,2.0
169,169,1380.4436,4142452.8,4787191.0,6330648.5,-49.129704,114.8656786291831,-0.002009331,-1.8409405e-07,2.4083562e-05,1.3771645e-05,2.0,43,0.02023803,3.1968337e-09,0,-8.663685769600052e-08,2.0
170,170,1194.6187,4711306.0,4907892.5,6803220.5,-46.170784,115.54580618148611,-0.002098428,-1.674638e-07,2.7145372e-05,1.4127223e-05,2.0,43,0.020254953,2.9772596e-09,0,-8.666590975387637e-08,2.0
171,171,1033.3434,5147342.0,5196710.0,7314432.5,-45.27345,116.22607021377189,-0.0019892089,-1.6958683e-07,2.963787e-05,1.4960382e-05,2.0,43,0.0202263,2.765259e-09,0,-8.670244762094222e-08,2.0
172,172,894.71045,5754614.0,4848826.0,7525071.0,-40.11742,116.9058355527377,-0.0020236962,-1.6859981e-07,3.668606e-05,1.52318635e-05,2.0,43,0.020143002,2.6767857e-09,0,-8.67316403936763e-08,2.0
