True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,395.66425,2009.8396,2048.4153,-78.86296,82.42849812845816,0.010515107,-8.9777706e-05,1.1312525e-05,1.0890463e-05,2.0,40,0.010191898,4.9755035e-06,0,-3.1465872188487314e-08,2.0
111,111,6057573.0,453.5407,2004.9377,2055.596,-77.25355,82.98049116801121,0.010289476,-7.0210403e-06,1.3104504e-05,1.2466568e-05,2.0,40,0.0143407965,6.976467e-06,0,-3.2303651414415e-08,2.0
112,112,5242039.0,363.1581,2427.2527,2454.2695,-81.4907,83.39649972107145,0.010372239,-1.9858751e-05,1.2508491e-05,1.2234616e-05,2.0,40,0.019993972,8.146608e-06,0,-3.6599487478913655e-08,2.0
113,113,4536288.0,266.2104,2901.777,2913.9626,-84.75833,84.62849713963806,0.010351632,-2.3803092e-05,1.2090813e-05,1.1989901e-05,2.0,40,0.019882737,6.8232644e-06,0,-5.576132126732524e-08,2.0
114,114,3925558.5,345.4115,3149.969,3168.8506,-83.7422,85.04449902605847,0.010377623,-3.788736e-05,1.2871003e-05,1.27180765e-05,2.0,40,0.019009802,5.9989584e-06,0,-5.993803554246727e-08,2.0
115,115,3397055.0,371.9267,3769.1187,3787.4246,-84.36445,85.46048349913326,0.010240718,-1.831449e-05,1.243019e-05,1.2310321e-05,2.0,40,0.020073896,5.300144e-06,0,-6.390411204897598e-08,2.0
116,116,2939708.2,412.95895,4351.6562,4371.2065,-84.57904,86.0125056586985,0.010262498,-1.8054006e-05,1.2441173e-05,1.2330134e-05,2.0,40,0.020218909,4.6254754e-06,0,-6.436626457848386e-08,2.0
117,117,2543924.5,483.82953,4893.291,4917.1523,-84.35317,86.56450389823294,0.010329107,-4.5552788e-05,1.27854155e-05,1.26616305e-05,2.0,40,0.020665046,4.202645e-06,0,-7.364617176130553e-08,2.0
118,118,2201436.2,460.98145,5462.6343,5482.0503,-85.176346,87.11648272446473,0.010242562,6.244628e-06,1.3234632e-05,1.3141052e-05,2.0,40,0.020759441,3.7868024e-06,0,-7.889963291844755e-08,2.0
119,119,1905053.1,298.42886,6483.5347,6490.3994,-87.36461,87.83448334524292,0.010224042,4.3642744e-06,1.2885498e-05,1.2858255e-05,2.0,41,0.019504804,3.0051779e-06,0,-8.126728173782836e-08,2.0
120,120,1648567.4,282.09946,7579.591,7584.839,-87.86853,88.38649534477736,0.010244463,3.4425095e-06,1.2737016e-05,1.2719396e-05,2.0,41,0.020031236,2.6409573e-06,0,-8.18243730599472e-08,2.0
121,121,1426616.2,192.38121,8461.564,8463.751,-88.697556,88.9384966243233,0.010294936,1.6138506e-06,1.3184459e-05,1.3177648e-05,2.0,41,0.0206306,2.4375245e-06,0,-8.141538571452066e-08,2.0
122,122,1234551.2,408.3402,10021.826,10030.142,-87.66677,89.49048278384726,0.010248338,5.2395117e-06,1.2863648e-05,1.2842327e-05,2.0,41,0.020467896,2.0406387e-06,0,-8.121773256819391e-08,2.0
123,123,1068345.5,860.78296,11153.226,11186.393,-85.58678,90.04248190342332,0.010275503,3.909915e-06,1.3356969e-05,1.3277881e-05,2.0,41,0.020578248,1.8395785e-06,0,-8.083716341752023e-08,2.0
