True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,260.6447,2087.9175,2104.1233,-82.88431,2.4654893704282586,0.00676888,-1.909582e-05,1.0889492e-05,1.0722398e-05,1.0,40,0.010176511,4.836461e-06,0,2.357316580963066e-09,1.0
1,1,6057573.0,164.68303,2406.1208,2411.75,-86.08459,3.0174862499407027,0.0067551485,-6.0535613e-06,1.0919533e-05,1.0868619e-05,1.0,40,0.014574458,6.043105e-06,0,-6.843635487017411e-10,1.0
2,2,5242039.0,401.9465,2696.3232,2726.1182,-81.52124,3.4334787497355137,0.0066891736,8.793549e-06,1.1260247e-05,1.1015456e-05,1.0,40,0.020018013,7.343047e-06,0,-3.0328121076889956e-09,1.0
3,3,4536288.0,358.38672,3276.338,3295.8809,-83.75744,4.665489688253729,0.0067874375,-4.5831865e-05,1.0708554e-05,1.0581937e-05,1.0,40,0.02035248,6.1751257e-06,0,-9.825529081196135e-09,1.0
4,4,3925558.5,373.09497,3545.754,3565.3289,-83.99327,5.081479921325808,0.006596928,5.8190857e-05,1.1434313e-05,1.1309101e-05,1.0,40,0.01914389,5.36946e-06,0,-9.340503953719943e-09,1.0
5,5,3397055.0,508.4415,4209.3228,4239.919,-83.11265,5.497502261103364,0.0066725914,-1.8574969e-05,1.1130261e-05,1.0970203e-05,1.0,40,0.020102385,4.7412195e-06,0,-1.2440079895883274e-08,1.0
6,6,2939708.2,535.69543,4664.7275,4695.386,-83.448875,5.9134887875115965,0.00672994,-5.487407e-05,1.1606188e-05,1.1455117e-05,1.0,40,0.021956576,4.6762025e-06,0,-1.8846724087628293e-08,1.0
7,7,2543924.5,258.2568,5482.1724,5488.252,-87.30288,6.632479808322387,0.0067096497,-9.464272e-06,1.14120385e-05,1.1386769e-05,1.0,41,0.019916488,3.6289312e-06,0,-1.7547488841221555e-08,1.0
8,8,2201436.2,397.23526,6151.5063,6164.319,-86.30524,7.18448879456264,0.0066002444,4.6603755e-06,1.17525615e-05,1.1703757e-05,1.0,41,0.02081948,3.3774177e-06,0,-1.882182294925864e-08,1.0
9,9,1905053.1,360.9458,7708.3447,7716.791,-87.31906,7.736489274102496,0.0065760417,4.7181024e-06,1.0838069e-05,1.0814357e-05,1.0,41,0.020635013,2.6740406e-06,0,-1.960293957694385e-08,1.0
10,10,1648567.4,97.218636,8079.464,8080.049,-89.31061,8.288503593677888,0.006727834,-9.326456e-06,1.1948981e-05,1.1947252e-05,1.0,41,0.019805342,2.4511414e-06,0,-1.851516127230626e-08,1.0
11,11,1426616.2,95.01701,9738.154,9738.618,-89.44097,8.840498739882605,0.0065471437,1.054114e-05,1.1456087e-05,1.1454997e-05,1.0,41,0.020824762,2.1383694e-06,0,-1.8481176386703484e-08,1.0
12,12,1234551.2,834.46875,11449.451,11479.82,-85.83149,9.392494046100182,0.0064393966,1.9649056e-05,1.1259687e-05,1.1200193e-05,1.0,41,0.020560764,1.7910353e-06,0,-1.846482298640871e-08,1.0
13,13,1068345.5,-1601.0112,11666.468,11775.811,-97.813995,9.944500018988037,0.0066882977,-1.201765e-06,1.2769357e-05,1.2533322e-05,1.0,41,0.0204176,1.7338594e-06,0,-1.9034502420899497e-08,1.0
14,14,924510.06,454.50418,15122.542,15129.37,-88.27851,10.496497671847465,0.0068271603,-1.0913031e-05,1.1383707e-05,1.1373433e-05,1.0,41,0.020384796,1.3473658e-06,0,-1.941626257632202e-08,1.0
15,15,800039.0,-1831.4427,15234.038,15343.731,-96.855225,11.048500071425224,0.006669536,4.462987e-06,1.3058519e-05,1.2872474e-05,1.0,41,0.020762932,1.3531866e-06,0,-1.9481244944785204e-08,1.0
16,16,692334.1,841.0838,20234.588,20252.06,-87.619774,11.60149404432741,0.0067388085,-6.2091644e-06,1.1360829e-05,1.1341234e-05,1.0,41,0.02005016,9.900307e-07,0,-2.0101416090690173e-08,1.0
17,17,599122.25,173.90218,21980.424,21981.111,-89.54671,12.153500923915999,0.006763812,-7.438203e-06,1.2085611e-05,1.2084855e-05,1.0,41,0.020844972,9.483129e-07,0,-2.0029207583656314e-08,1.0
18,18,518454.94,-750.968,27827.652,27837.783,-91.54583,12.70549985676189,0.0066344896,-1.2129378e-06,1.1031449e-05,1.10234205e-05,1.0,41,0.0204403,7.342647e-07,0,-1.969637461771375e-08,1.0
19,19,448662.03,-190.87738,28587.57,28588.207,-90.38255,13.257487376307836,0.00638883,2.6120133e-05,1.2408622e-05,1.240807e-05,1.0,41,0.020102633,7.0317924e-07,0,-1.9643563057940127e-08,1.0
20,20,388258.97,-1457.0184,37924.207,37952.184,-92.20018,13.809485775913345,0.0067596016,-6.3860734e-06,1.0808915e-05,1.0792986e-05,1.0,41,0.020999767,5.533217e-07,0,-1.9060173061224834e-08,1.0
21,21,335983.9,7213.8613,30706.312,31542.312,-76.7792,14.36150158874807,0.006691428,1.9955978e-06,1.5426733e-05,1.4619827e-05,1.0,41,0.019784275,6.272297e-07,0,-1.973094265357784e-08,1.0
22,22,290751.2,975.38983,45299.79,45310.29,-88.7665,14.913501081668073,0.0066433395,3.9452984e-06,1.2083769e-05,1.207817e-05,1.0,41,0.020359825,4.4934222e-07,0,-1.922974128156301e-08,1.0
23,23,251605.19,4901.4775,51735.902,51967.566,-84.58793,15.632493915822124,0.0066403397,-8.9839e-08,1.2226679e-05,1.2117913e-05,1.0,42,0.019918393,3.8328508e-07,0,-1.9175750857981436e-08,1.0
24,24,217729.38,-197.24117,63453.508,63453.812,-90.1781,16.184499782015337,0.0066932724,-8.0988593e-07,1.1519867e-05,1.1519756e-05,1.0,42,0.020063024,3.161831e-07,0,-1.9165641611628223e-08,1.0
25,25,188418.58,3291.6638,72164.08,72239.11,-87.38834,16.73649578160257,0.0067743766,-8.786124e-07,1.1705106e-05,1.1680803e-05,1.0,42,0.02073516,2.870351e-07,0,-1.927784594192161e-08,1.0
26,26,163051.14,-498.95935,74364.984,74366.66,-90.38442,17.28847927445895,0.006637918,7.052345e-08,1.3125861e-05,1.3125271e-05,1.0,42,0.02023143,2.7204973e-07,0,-1.9264575034462833e-08,1.0
27,27,141098.2,4159.8486,92525.38,92618.84,-87.42577,17.840489727357635,0.0066440287,-5.5755194e-08,1.2190956e-05,1.2166364e-05,1.0,42,0.02015852,2.1765031e-07,0,-1.9166863319642777e-08,1.0
28,28,122105.11,6735.615,105789.48,106003.69,-86.356895,18.25649164043716,0.006670654,-2.2747848e-07,1.2320939e-05,1.22711945e-05,1.0,42,0.02175974,2.0527342e-07,0,-1.926549678091681e-08,1.0
29,29,105663.59,3906.5654,119282.32,119346.27,-88.1242,18.80848926663748,0.0064916397,1.2372003e-06,1.2627538e-05,1.26140085e-05,1.0,42,0.020503074,1.7179484e-07,0,-1.9332175762013885e-08,1.0
30,30,91439.65,1429.5583,143974.83,143981.92,-89.431114,19.22448109977995,0.006583923,3.273636e-07,1.2089241e-05,1.20880495e-05,1.0,42,0.021788813,1.513302e-07,0,-1.935270837604117e-08,1.0
31,31,79127.08,5222.6304,168010.17,168091.33,-88.21952,19.77649320595083,0.0067423857,-4.8469144e-07,1.19718e-05,1.1960242e-05,1.0,42,0.02047895,1.2183229e-07,0,-1.9522878070378644e-08,1.0
32,32,68475.36,607.9932,190799.8,190800.77,-89.81742,20.192494612390874,0.0065886183,2.6329323e-07,1.2181699e-05,1.21815765e-05,1.0,42,0.021229712,1.1126639e-07,0,-1.9498093576403184e-08,1.0
33,33,59252.523,6691.1914,224610.31,224709.95,-88.29365,20.608483432180947,0.006733033,-9.229405e-07,1.1958689e-05,1.19480865e-05,1.0,42,0.02196951,9.77683e-08,0,-1.9472025085918117e-08,1.0
34,34,51282.285,4210.5396,259270.42,259304.61,-89.0696,21.160496871714713,0.0066722743,4.0298153e-07,1.1970155e-05,1.1966999e-05,1.0,42,0.020268548,7.8165016e-08,0,-1.9413573012763487e-08,1.0
35,35,44369.8,16234.246,285859.28,286319.88,-86.7496,21.576488038146636,0.006696719,-9.689445e-07,1.2548168e-05,1.25078295e-05,1.0,42,0.020555303,7.179139e-08,0,-1.946800764176516e-08,1.0
36,36,38403.727,21537.91,330762.72,331463.22,-86.27439,21.99248917787918,0.006687627,-3.6195192e-07,1.2529397e-05,1.2476496e-05,1.0,42,0.020826582,6.283226e-08,0,-1.9447895034415564e-08,1.0
37,37,33226.32,35448.53,388678.2,390291.34,-84.78888,22.40849114433513,0.00665722,-3.5245333e-07,1.2323888e-05,1.2222224e-05,1.0,42,0.021064805,5.3972002e-08,0,-1.948902001257677e-08,1.0
38,38,28754.086,32431.057,457792.62,458939.94,-85.94781,22.824487564066658,0.0066853724,-1.7253458e-07,1.209071e-05,1.2030333e-05,1.0,42,0.021211276,4.6217977e-08,0,-1.949842559534836e-08,1.0
39,39,24884.947,42236.023,551726.5,553340.75,-85.622406,23.40648300506291,0.0067611854,-2.5057784e-07,1.1592031e-05,1.1524496e-05,1.0,43,0.020951154,3.7863025e-08,0,-1.9507386525463057e-08,1.0
40,40,21553.963,46927.18,650534.0,652224.4,-85.87404,23.822503504838096,0.0067010233,-1.4569359e-07,1.13507085e-05,1.129195e-05,1.0,43,0.021005826,3.220644e-08,0,-1.952441736832136e-08,1.0
41,41,18631.234,44740.008,703862.2,705282.7,-86.36297,24.238486724585528,0.006577141,-9.4238516e-08,1.2136427e-05,1.2087589e-05,1.0,43,0.020812558,2.9509527e-08,0,-1.953468277609666e-08,1.0
42,42,16126.037,110752.82,846139.8,853357.4,-82.54285,24.6544882110029,0.006554634,-9.5393105e-08,1.1664075e-05,1.1467604e-05,1.0,43,0.020709082,2.4267772e-08,0,-1.9547147527072144e-08,1.0
43,43,13954.87,183787.61,989550.06,1006472.7,-79.47843,25.070483617397258,0.006760142,-2.1238222e-07,1.1525415e-05,1.1141102e-05,1.0,43,0.02041237,2.0281098e-08,0,-1.9552760903400448e-08,1.0
44,44,12080.609,232006.55,1040637.4,1066186.2,-77.43165,25.486492917203577,0.0066337814,-1.2407243e-07,1.2659945e-05,1.2060478e-05,1.0,43,0.019857481,1.8624776e-08,0,-1.956290708938956e-08,1.0
45,45,10447.592,148734.53,1245171.9,1254023.5,-83.18835,25.902479523589136,0.006769607,-2.1042683e-07,1.22341735e-05,1.2062071e-05,1.0,43,0.0194169,1.5483682e-08,0,-1.957575028448434e-08,1.0
46,46,9045.586,194973.27,1356975.9,1370911.4,-81.82358,26.475245524168713,0.006701042,-1.2429588e-07,1.2966158e-05,1.2703892e-05,1.0,43,0.020059638,1.4632338e-08,0,-1.9603934450884658e-08,1.0
47,47,7827.7437,54408.664,1546180.4,1547137.4,-87.98465,26.95593066699803,0.006721164,-1.4550737e-07,1.3149927e-05,1.3133665e-05,1.0,43,0.020022046,1.2941349e-08,0,-1.9625854627217197e-08,1.0
48,48,6770.8345,395488.0,1877732.9,1918929.8,-78.1062,27.494411172549007,0.0066843294,-1.01557305e-07,1.2518265e-05,1.19865335e-05,1.0,43,0.020122243,1.048618e-08,0,-1.9643181147866218e-08,1.0
49,49,5860.798,573604.0,2142043.8,2217515.0,-75.00886,28.099997761339182,0.006450147,7.355389e-08,1.2677541e-05,1.1829287e-05,1.0,43,0.020114945,9.0709396e-09,0,-1.9654488892398353e-08,1.0
50,50,5071.625,683814.94,2502578.0,2594320.8,-74.717316,28.780697820366186,0.0067207543,-1.426022e-07,1.2539649e-05,1.1668453e-05,1.0,43,0.020136382,7.761717e-09,0,-1.9677226711053974e-08,1.0
51,51,4388.5933,610122.6,2621967.5,2692018.5,-76.90059,29.460816919323406,0.006726474,-1.19845e-07,1.38314435e-05,1.3120973e-05,1.0,43,0.0200551,7.4498376e-09,0,-1.9699913737701438e-08,1.0
52,52,3798.7827,1015638.8,3175825.0,3334274.5,-72.26556,30.140829964962904,0.0066456497,-1.1701432e-07,1.3192257e-05,1.196822e-05,1.0,43,0.02015827,6.045774e-09,0,-1.971599349767514e-08,1.0
53,53,3286.0488,1310563.9,3385856.8,3630647.8,-68.84007,30.820674743925338,0.0066466187,-7.481482e-08,1.430466e-05,1.2440747e-05,1.0,43,0.02008827,5.5329714e-09,0,-1.9732971839510702e-08,1.0
54,54,2844.088,1906037.6,3785113.0,4237931.0,-63.271927,31.49984490951465,0.006691018,-1.3256447e-07,1.4784215e-05,1.1793649e-05,1.0,43,0.020142622,4.7529376e-09,0,-1.9754794066948096e-08,1.0
55,55,2460.7852,1821113.1,4162366.0,4543318.5,-66.36972,32.17967374181171,0.006676802,-1.1867177e-07,1.5538395e-05,1.3041884e-05,1.0,43,0.02005337,4.4138155e-09,0,-1.9766968156034997e-08,1.0
56,56,2129.3164,2483748.0,4593110.0,5221653.5,-61.597466,32.859849160769954,0.0067106374,-1.1971466e-07,1.6273205e-05,1.2591303e-05,1.0,43,0.02009613,3.8486143e-09,0,-1.979164775997896e-08,1.0
57,57,1843.2289,3996320.8,5286191.0,6626793.5,-52.91099,33.53996729973005,0.0066759265,-1.07144196e-07,1.6334205e-05,1.0393859e-05,1.0,43,0.020352717,3.0712768e-09,0,-1.9808070818813823e-08,1.0
58,58,1594.4913,3427127.2,5328296.0,6335293.0,-57.251125,34.219816558703315,0.0066751065,-1.073118e-07,1.8733099e-05,1.32511295e-05,1.0,43,0.020026928,3.1611684e-09,0,-1.9824355013044185e-08,1.0
59,59,1380.4436,4542142.5,5574367.0,7190593.0,-50.82594,34.89970072433789,0.00664088,-8.433113e-08,2.0682637e-05,1.24298995e-05,1.0,43,0.020159662,2.803616e-09,0,-1.9839632704917362e-08,1.0
60,60,1194.6187,4676050.0,6171174.0,7742663.0,-52.8479,35.57982168997114,0.0065973564,-7.157445e-08,2.158853e-05,1.3714435e-05,1.0,43,0.020092951,2.5950957e-09,0,-1.9856777347327417e-08,1.0
61,61,1033.3434,6096930.5,5750849.5,8381219.0,-43.32683,36.26007857560762,0.00668269,-7.505693e-08,2.6782027e-05,1.2609361e-05,1.0,43,0.020137435,2.4026856e-09,0,-1.9874786332817918e-08,1.0
62,62,894.71045,5951800.0,5861933.0,8353812.5,-44.56416,36.93980938123423,0.0065878727,-3.663787e-08,3.0345675e-05,1.494201e-05,1.0,43,0.020054653,2.4006588e-09,0,-1.989206980817336e-08,1.0
63,63,774.2569,8503526.0,8714624.0,12175986.0,-45.702423,37.619946506863926,0.0067032217,-1.08280204e-07,2.3587743e-05,1.2083018e-05,1.0,43,0.02066862,1.6974905e-09,0,-1.991299586324629e-08,1.0
64,64,669.7856,8246433.0,6199282.0,10316722.0,-36.93413,38.29984859249089,0.006736424,-1.11595085e-07,3.8330367e-05,1.3840197e-05,1.0,43,0.020203967,1.9583708e-09,0,-1.9931329592293255e-08,1.0
65,65,579.81464,8909390.0,5505674.0,10473284.0,-31.714535,38.97980670479592,0.006645631,-9.878252e-08,4.9856346e-05,1.3777667e-05,1.0,43,0.02010866,1.9199957e-09,0,-1.9949161496466502e-08,1.0
66,66,501.44418,9261675.0,5194330.5,10618837.0,-29.285511,39.65716817692737,0.006829694,-2.0973782e-07,6.110376e-05,1.46208695e-05,1.0,43,0.020065246,1.8895898e-09,0,-1.9971349374651172e-08,1.0
67,67,434.02762,10161226.0,4499798.5,11112997.0,-23.885683,40.33723314254894,0.0066195093,-3.877951e-08,8.149101e-05,1.336083e-05,1.0,43,0.020110859,1.8096701e-09,0,-1.9981724346983703e-08,1.0
68,68,375.6009,10738278.0,4691762.5,11718500.0,-23.601454,41.01545893479488,0.0066060945,-2.3229402e-08,9.0314505e-05,1.447723e-05,1.0,43,0.020096242,1.7149159e-09,0,-1.9994356153104753e-08,1.0
69,69,325.10385,11353358.0,4280959.0,12133645.0,-20.659727,41.69467715374776,0.00672327,-1.0409007e-07,0.00011435548,1.4234969e-05,1.0,43,0.020160796,1.6615614e-09,0,-2.0012029464143833e-08,1.0
70,70,281.3503,11785852.0,4055263.5,12464007.0,-18.98726,42.37082577252295,0.006746019,-1.4163385e-07,0.00013949341,1.4766461e-05,1.0,43,0.02017904,1.6189851e-09,0,-2.0027161017634577e-08,1.0
71,71,243.36427,11536093.0,3950240.5,12193680.0,-18.90246,43.054099671629956,0.006643973,-6.870654e-08,0.00016555404,1.7374698e-05,1.0,43,0.020094126,1.6479133e-09,0,-2.0046325936966585e-08,1.0
72,72,210.60631,12262660.0,2964355.8,12615872.0,-13.589874,43.73119853044045,0.006949291,-3.0065488e-07,0.00025492854,1.4074874e-05,1.0,43,0.020155497,1.5976301e-09,0,-2.006087938521834e-08,1.0
73,73,182.27473,12810678.0,3157141.0,13193976.0,-13.844436,44.40326602899586,0.006678125,-8.388422e-08,0.00027656657,1.5835662e-05,1.0,43,0.020230608,1.5333216e-09,0,-2.008398835485793e-08,1.0
74,74,157.72879,12594375.0,2278643.8,12798848.0,-10.255328,45.091633635096514,0.006618969,-3.4626634e-08,0.0004428256,1.4036014e-05,1.0,43,0.020111144,1.5713245e-09,0,-2.0103149085338996e-08,1.0
75,75,136.52892,12822216.0,2181233.5,13006422.0,-9.654371,45.76353740031482,0.006667244,-1.08224356e-07,0.00053443306,1.5030795e-05,1.0,43,0.020180278,1.5515625e-09,0,-2.0119584125034786e-08,1.0
76,76,118.14758,12315073.0,1937300.8,12466521.0,-8.940012,46.45192439301172,0.006576433,-9.861494e-08,0.0006953416,1.6791975e-05,1.0,43,0.020037156,1.6072773e-09,0,-2.0137658869155947e-08,1.0
77,77,102.25773,13357375.0,1692430.5,13464167.0,-7.221116,47.118349411321105,0.0066003003,-3.831396e-08,0.00091963005,1.4530342e-05,1.0,43,0.020155702,1.4969884e-09,0,-2.0155677588565378e-08,1.0
78,78,88.4436,13368965.0,1553131.9,13458880.0,-6.6265993,47.808301124110585,0.006739386,-9.5728396e-08,0.0011586315,1.5429227e-05,1.0,43,0.02014386,1.4966965e-09,0,-2.0173695271670728e-08,1.0
79,79,76.54279,12660002.0,1653095.6,12767473.0,-7.439378,48.474734382441966,0.00669603,-9.319567e-08,0.0012578181,2.1086471e-05,1.0,43,0.02009124,1.5736269e-09,0,-2.019021343055163e-08,1.0
80,80,66.250786,13277718.0,1035519.4,13318036.0,-4.459429,49.14297697416623,0.0066773985,-1.2168874e-07,0.0023199087,1.4025132e-05,1.0,43,0.020121638,1.5108562e-09,0,-2.0212225379112996e-08,1.0
81,81,57.329906,12248044.0,1304462.4,12317313.0,-6.0792975,49.79764409862037,0.0067018056,-7.628607e-08,0.0021281752,2.3869236e-05,1.0,43,0.020157227,1.6364955e-09,0,-2.0225655429801036e-08,1.0
82,82,49.60321,13381238.0,868294.25,13409380.0,-3.712657,50.48237490441534,0.006673672,-7.7552436e-08,0.0036952463,1.5493868e-05,1.0,43,0.020124625,1.5007872e-09,0,-2.0240029237594284e-08,1.0
83,83,42.92585,13383836.0,1345593.9,13451308.0,-5.7411532,51.190427898050984,0.0067822575,-1.731997e-07,0.0027554166,2.757314e-05,1.0,43,0.020208407,1.5023377e-09,0,-2.0263528593909453e-08,1.0
84,84,37.1518,12941478.0,896416.75,12972487.0,-3.962375,51.8341901153035,0.00672327,-1.3470614e-07,0.0047789267,2.2819377e-05,1.0,43,0.020071639,1.5472468e-09,0,-2.0281186163890593e-08,1.0
85,85,32.150223,13836898.0,593614.25,13849625.0,-2.4565296,52.473398705682484,0.0066615613,-1.0196706e-07,0.008339343,1.53202e-05,1.0,43,0.02012886,1.4533866e-09,0,-2.0296593865680946e-08,1.0
86,86,27.835518,13926311.0,-308163.84,13929720.0,1.2676442,53.20032170016202,0.0066239997,-8.6612495e-08,-0.018554067,-9.080666e-06,1.0,43,0.020154893,1.4468987e-09,0,-2.0317839125488148e-08,1.0
87,87,24.082958,14101959.0,1088866.1,14143934.0,-4.415265,53.902394240227295,0.0067674266,-9.788865e-08,0.0060692606,3.5970323e-05,1.0,43,0.020244028,1.431287e-09,0,-2.0333281726001135e-08,1.0
88,88,20.833313,13260113.0,801140.75,13284292.0,-3.4574559,54.55676043132553,0.0066801184,-1.4470666e-07,0.009535708,3.4681172e-05,1.0,43,0.020149348,1.51678e-09,0,-2.0362285323670015e-08,1.0
89,89,18.021912,13862804.0,1072028.0,13904193.0,-4.4219537,55.30272860008699,0.006856319,-9.721824e-08,0.008237836,4.897042e-05,1.0,43,0.020141274,1.4485755e-09,0,-2.0368560622311034e-08,1.0
90,90,15.604198,13622263.0,1440412.9,13698206.0,-6.036004,55.95803508453537,0.006688484,-1.1902566e-07,0.0070809526,7.8295765e-05,1.0,43,0.020144893,1.4706227e-09,0,-2.0400601921770622e-08,1.0
91,91,13.500899,13807991.0,1068685.0,13849285.0,-4.4256487,56.70599714672426,0.006718621,-1.2252677e-07,0.011030818,6.568292e-05,1.0,43,0.020145802,1.4546456e-09,0,-2.0419656819298077e-08,1.0
92,92,11.686608,13035906.0,910809.94,13067686.0,-3.9967222,57.296883654780686,0.006617255,-8.099767e-08,0.014952159,7.263769e-05,1.0,43,0.020024918,1.5323997e-09,0,-2.043054952469091e-08,1.0
93,93,10.113269,13764908.0,1204901.2,13817542.0,-5.0025935,57.97050686008879,0.0067081964,-8.7031495e-08,0.013061021,9.9315825e-05,1.0,43,0.020142833,1.4577725e-09,0,-2.0440337646033344e-08,1.0
94,94,8.748621,14173734.0,1183235.9,14223037.0,-4.7720375,58.73737590984092,0.0066628843,-9.3558846e-08,0.015374789,0.00010640626,1.0,43,0.020164369,1.4177259e-09,0,-2.0463907668620803e-08,1.0
95,95,7.570237,13912741.0,888879.7,13941107.0,-3.6556368,59.612990618130425,0.00671809,-1.0996562e-07,0.02365199,9.615217e-05,1.0,43,0.02008636,1.4408009e-09,0,-2.0495986739080596e-08,1.0
96,96,6.554112,14040955.0,1315615.6,14102456.0,-5.3528967,60.149292243557284,0.0065951766,-7.5261816e-08,0.018457687,0.00016063708,1.0,43,0.020135157,1.4277766e-09,0,-2.0493109021069404e-08,1.0
97,97,5.669445,13555519.0,986770.3,13591387.0,-4.163487,60.75912461921689,0.0067002033,-1.3189408e-07,0.028448772,0.00014995747,1.0,43,0.02005297,1.4754175e-09,0,-2.05301956689099e-08,1.0
98,98,4.907347,14331351.0,1013424.3,14367138.0,-4.0448694,61.451546252093976,0.00665858,-1.0107317e-07,0.032002363,0.00015922972,1.0,43,0.020139657,1.4017862e-09,0,-2.0537097656061586e-08,1.0
99,99,4.245922,14238581.0,1507605.5,14318172.0,-6.0440564,62.23932420954225,0.0066952845,-1.2299235e-07,0.024863392,0.0002756517,1.0,43,0.02013487,1.4062459e-09,0,-2.0555930352902447e-08,1.0
100,100,3.6747382,14567452.0,1505977.6,14645089.0,-5.902249,63.13894353227806,0.0066000954,-9.900604e-08,0.028759094,0.00030410825,1.0,43,0.020123154,1.3740548e-09,0,-2.0602804029418238e-08,1.0
101,101,3.180988,14646470.0,1576502.1,14731071.0,-6.143493,64.16717088778387,0.0066543324,-9.4322374e-08,0.03173683,0.00036348292,1.0,43,0.02015482,1.3681843e-09,0,-2.060859133801528e-08,1.0
102,102,2.752818,14903647.0,1539158.2,14982914.0,-5.8962574,65.3461163037864,0.006660053,-9.766513e-08,0.037562918,0.0003963997,1.0,43,0.020151494,1.3449649e-09,0,-2.0620404175413418e-08,1.0
103,103,2.3804083,15065171.0,1660185.1,15156371.0,-6.288633,66.70098306145519,0.0067135133,-1.03705155e-07,0.04027283,0.00048320869,1.0,43,0.02013983,1.328803e-09,0,-2.0677483388601794e-08,1.0
104,104,2.060257,15012188.0,1726789.9,15111174.0,-6.561659,68.25731892199838,0.006662148,-8.950837e-08,0.044736218,0.0005841735,1.0,43,0.020136014,1.3325248e-09,0,-2.07384248252568e-08,1.0
105,105,1.7836765,15160360.0,1959370.5,15286453.0,-7.3642564,70.04563004701595,0.006677086,-9.798174e-08,0.04553942,0.00074818183,1.0,43,0.020115636,1.3159126e-09,0,-2.0777350558323528e-08,1.0
106,106,1.5427545,13380387.0,-2165965.2,13554562.0,9.195058,72.10525531813619,0.0068012346,-2.0483067e-07,-0.047629036,-0.0012161967,1.0,43,0.019877564,1.4664852e-09,0,-2.0778419617994537e-08,1.0
107,107,1.3354719,16056684.0,2654870.8,16274687.0,-9.388552,74.47700228414033,0.0066599534,-8.43777e-08,0.044889215,0.0011945477,1.0,43,0.020173894,1.2395872e-09,0,-2.081860208797753e-08,1.0
108,108,1.1556969,15649215.0,2376566.2,15828645.0,-8.635236,77.20849129385897,0.006699982,-7.250333e-08,0.05794638,0.0013062871,1.0,43,0.020123843,1.271356e-09,0,-2.0891139961822693e-08,1.0
109,109,1.0000616,15958371.0,2376997.5,16134427.0,-8.471913,80.35809419010184,0.006677912,-7.9801644e-08,0.06695217,0.0014531652,1.0,43,0.020129524,1.2476132e-09,0,-2.10028072603283e-08,1.0
