True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,383.44177,2024.684,2060.6729,-79.27613,82.42948316849652,0.015894163,-5.811578e-06,1.1229585e-05,1.0840769e-05,2.0,40,0.010187325,4.9436885e-06,0,-4.592934660484449e-08,2.0
111,111,6057573.0,386.0501,2310.9944,2343.0173,-80.51635,82.98149132807157,0.015925689,-4.785987e-05,1.1369009e-05,1.1060363e-05,2.0,40,0.01448054,6.1802953e-06,0,-5.213803767966348e-08,2.0
112,112,5242039.0,381.73804,2520.1553,2548.903,-81.38666,83.39748436116497,0.015832214,2.9743229e-05,1.204738e-05,1.1777159e-05,2.0,40,0.020048073,7.865373e-06,0,-5.592788107386524e-08,2.0
113,113,4536288.0,191.42207,2884.6023,2890.9468,-86.20342,84.62948199300445,0.015797166,2.7845474e-05,1.2162801e-05,1.2109474e-05,2.0,40,0.01968132,6.807915e-06,0,-5.882883113467546e-08,2.0
114,114,3925558.5,376.8526,3253.7556,3275.5066,-83.393394,85.04548849273124,0.015945215,-7.4707445e-05,1.246045e-05,1.22955125e-05,2.0,40,0.018974578,5.7928683e-06,0,-6.212530134897183e-08,2.0
115,115,3397055.0,324.54495,3696.9849,3711.203,-84.98307,85.46150685919565,0.015817698,1.8933484e-05,1.2672722e-05,1.2575806e-05,2.0,40,0.020064628,5.4065026e-06,0,-6.00243404637604e-08,2.0
116,116,2939708.2,437.7687,4114.1333,4137.3584,-83.92624,86.01350651207031,0.01577218,-3.3371684e-06,1.3159443e-05,1.3012117e-05,2.0,40,0.020245677,4.8933825e-06,0,-5.991334078319829e-08,2.0
117,117,2543924.5,406.77988,4843.158,4860.211,-85.19896,86.56548659162945,0.015889375,-2.4324045e-05,1.2917761e-05,1.2827273e-05,2.0,40,0.020599915,4.238482e-06,0,-6.031154429674067e-08,2.0
118,118,2201436.2,282.3496,5596.8896,5604.007,-87.112015,87.28450099911424,0.015864745,-7.657955e-06,1.2917167e-05,1.2884378e-05,2.0,41,0.019903667,3.551685e-06,0,-5.878330506324995e-08,2.0
119,119,1905053.1,28.506231,6731.2773,6731.338,-89.75736,87.83648467864259,0.015814736,-2.1812712e-06,1.2411251e-05,1.24110275e-05,2.0,41,0.020927249,3.1089285e-06,0,-5.9120675091777505e-08,2.0
120,120,1648567.4,524.8928,7541.18,7559.4253,-86.01843,88.38849278484122,0.015931018,-9.819934e-06,1.2801891e-05,1.2740169e-05,2.0,41,0.019638691,2.597908e-06,0,-5.9445032040461934e-08,2.0
121,121,1426616.2,342.22058,8892.9375,8899.52,-87.79621,88.9405070510984,0.01568955,8.248793e-06,1.2544915e-05,1.2526366e-05,2.0,41,0.020581897,2.3126977e-06,0,-6.010773606622571e-08,2.0
122,122,1234551.2,205.15103,10300.0625,10302.105,-88.85896,89.49249409066397,0.015927365,-7.765948e-06,1.2516161e-05,1.2511197e-05,2.0,41,0.020518206,1.9916517e-06,0,-6.037962735034618e-08,2.0
123,123,1068345.5,-252.84375,11812.656,11815.362,-91.2262,90.04449915685109,0.015825711,3.336367e-06,1.2611329e-05,1.2605553e-05,2.0,41,0.020826861,1.7626934e-06,0,-6.085728905525853e-08,2.0
124,124,924510.06,423.3623,13425.028,13431.702,-88.193756,90.59649715639534,0.01587093,-5.5890614e-06,1.2823108e-05,1.28103675e-05,2.0,41,0.020385798,1.5177375e-06,0,-6.009637662423689e-08,2.0
125,125,800039.0,2681.3625,13518.375,13781.733,-78.78103,91.14850771598867,0.015774623,2.3214782e-06,1.471582e-05,1.4158777e-05,2.0,41,0.020079177,1.4569413e-06,0,-6.029295335717322e-08,2.0
126,126,692334.1,681.98175,18052.1,18064.977,-87.83648,91.70050640884438,0.015813097,1.8555906e-07,1.27343465e-05,1.2716199e-05,2.0,41,0.020311475,1.1243566e-06,0,-5.990756346895844e-08,2.0
127,127,599122.25,208.38612,20376.47,20377.537,-89.41407,92.25248848841875,0.015857253,-2.806966e-06,1.3036943e-05,1.30355775e-05,2.0,41,0.02073751,1.0176652e-06,0,-6.045693012376911e-08,2.0
128,128,518454.94,636.93945,23569.395,23578.0,-88.45202,92.8044889412995,0.015858987,-4.3082375e-07,1.3024489e-05,1.3014983e-05,2.0,41,0.020465981,8.6801174e-07,0,-6.035542701513721e-08,2.0
129,129,448662.03,262.00677,27866.686,27867.918,-89.46131,93.35650099415216,0.015894908,-2.8740033e-06,1.2729622e-05,1.2728496e-05,2.0,41,0.02038008,7.3130974e-07,0,-5.9553612873411175e-08,2.0
130,130,388258.97,1274.9478,30307.379,30334.184,-87.59115,93.90849475373398,0.015848516,-1.5816508e-06,1.3525404e-05,1.3501512e-05,2.0,41,0.020930111,6.8998435e-07,0,-5.98537236237758e-08,2.0
131,131,335983.9,3305.0107,37498.383,37643.75,-84.96311,94.4604956865951,0.015775125,3.625004e-06,1.2632494e-05,1.2535118e-05,2.0,41,0.020605747,5.4738825e-07,0,-5.986071357885652e-08,2.0
132,132,290751.2,3155.648,41453.3,41573.24,-85.646736,95.01250011284719,0.015766984,6.101356e-07,1.3205034e-05,1.3128952e-05,2.0,41,0.020488786,4.928359e-07,0,-5.934362469505218e-08,2.0
133,133,251605.19,2262.379,49200.87,49252.86,-87.36725,95.56449947235524,0.015774976,3.1222141e-06,1.2856648e-05,1.28295205e-05,2.0,41,0.020378077,4.1374406e-07,0,-5.96053974015085e-08,2.0
134,134,217729.38,1765.7736,53504.81,53533.938,-88.1098,96.28348798651132,0.01584941,-8.23855e-07,1.3661875e-05,1.3647012e-05,2.0,42,0.019522972,3.6468404e-07,0,-5.702927975732979e-08,2.0
135,135,188418.58,740.24506,63759.742,63764.04,-89.33483,96.69950771293952,0.015758468,3.0762095e-07,1.3247986e-05,1.32462e-05,2.0,42,0.021712953,3.4052036e-07,0,-5.704855335351174e-08,2.0
136,136,163051.14,2424.4963,73311.05,73351.125,-88.10584,97.25149211249663,0.015868042,-1.2615821e-07,1.3314562e-05,1.3300016e-05,2.0,42,0.020654468,2.815835e-07,0,-5.7058714623369474e-08,2.0
137,137,141098.2,2896.6917,83382.164,83432.46,-88.010345,97.80348952536588,0.015787609,-1.7253458e-07,1.3527747e-05,1.35114415e-05,2.0,42,0.0202533,2.4275084e-07,0,-5.710623367759856e-08,2.0
138,138,122105.11,8909.975,98209.766,98613.11,-84.81609,98.21949538515764,0.015882332,-1.5484062e-07,1.3271856e-05,1.3163509e-05,2.0,42,0.021875175,2.2182826e-07,0,-5.7136067985959236e-08,2.0
139,139,105663.59,-7453.445,110092.11,110344.125,-93.87312,98.77150450469344,0.015755003,2.3237548e-07,1.36816525e-05,1.3619229e-05,2.0,42,0.020242829,1.834518e-07,0,-5.728002343445837e-08,2.0
140,140,91439.65,4523.857,128862.76,128942.14,-87.9894,99.18750641777297,0.015784608,4.0909065e-08,1.3506977e-05,1.3490351e-05,2.0,42,0.021525247,1.6693726e-07,0,-5.732248037048393e-08,2.0
141,141,79127.08,8614.322,150450.45,150696.86,-86.723,99.74049049741006,0.015772909,1.8152888e-07,1.3369079e-05,1.3325395e-05,2.0,42,0.02049537,1.3600396e-07,0,-5.7267094495075573e-08,2.0
142,142,68475.36,9619.432,176789.05,177050.56,-86.8855,100.15650147714769,0.01576173,4.2958117e-08,1.3147115e-05,1.3108305e-05,2.0,42,0.02127116,1.2014172e-07,0,-5.726826073524164e-08,2.0
143,143,59252.523,7623.686,199102.8,199248.7,-87.807205,100.57250293690595,0.015825246,2.1352749e-08,1.3490743e-05,1.34709935e-05,2.0,42,0.021897905,1.09902366e-07,0,-5.734991610018428e-08,2.0
144,144,51282.285,2979.8894,234293.73,234312.69,-89.27132,101.12450296312454,0.015896138,-7.43767e-07,1.3246225e-05,1.3244081e-05,2.0,42,0.020256743,8.6451756e-08,0,-5.739583382316956e-08,2.0
