True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,255.16028,1963.5051,1980.0149,-82.595825,82.43249786199885,0.018439127,5.5563105e-06,1.15794755e-05,1.1387177e-05,2.0,40,0.01015485,5.1286734e-06,0,5.498487639325095e-09,2.0
111,111,6057573.0,614.16705,2207.4624,2291.3079,-74.4522,82.98450386154582,0.018382208,-1.1058413e-05,1.1902226e-05,1.1047091e-05,2.0,40,0.01434581,6.26097e-06,0,2.1555493328198556e-09,2.0
112,112,5242039.0,369.98993,2533.9695,2560.8386,-81.69283,83.40048374797334,0.018516673,-7.690288e-05,1.1981701e-05,1.1731589e-05,2.0,40,0.020021364,7.818284e-06,0,2.9093903655352805e-09,2.0
113,113,4536288.0,247.88084,2934.7139,2945.1638,-85.17197,84.63249905980774,0.018396052,-3.219413e-05,1.1955115e-05,1.1870427e-05,2.0,40,0.018983616,6.445691e-06,0,-8.203664849402159e-10,2.0
114,114,3925558.5,225.7332,3322.5195,3330.179,-86.11327,85.04849521288997,0.018391784,-3.398024e-05,1.2202565e-05,1.2146497e-05,2.0,40,0.018572278,5.576961e-06,0,-3.6496250449055505e-09,2.0
115,115,3397055.0,381.07523,3747.4238,3766.7498,-84.19356,85.46448661931208,0.018362328,-5.107859e-05,1.2502152e-05,1.2374191e-05,2.0,40,0.019661568,5.21977e-06,0,-4.3011533513022114e-09,2.0
116,116,2939708.2,402.36426,4253.198,4272.188,-84.59575,85.88048274573521,0.018364508,-5.1283238e-05,1.2729175e-05,1.2616265e-05,2.0,40,0.021608004,5.057831e-06,0,-9.359023907600437e-09,2.0
117,117,2543924.5,370.21024,4965.847,4979.628,-85.73641,86.43248658531229,0.018270362,2.579352e-06,1.2598607e-05,1.25289735e-05,2.0,40,0.021138318,4.244959e-06,0,-1.1949337466344881e-08,2.0
118,118,2201436.2,369.45404,5832.9917,5844.68,-86.3758,87.15149448611191,0.018412875,-1.346051e-05,1.2394319e-05,1.2344794e-05,2.0,41,0.01983084,3.3929725e-06,0,-1.3738431341371242e-08,2.0
119,119,1905053.1,31.435883,6087.4717,6087.5527,-89.704124,87.70348744568764,0.018319177,-9.935632e-08,1.3723854e-05,1.3723488e-05,2.0,41,0.020459883,3.3609374e-06,0,-1.4397344263629918e-08,2.0
120,120,1648567.4,239.57347,7700.639,7704.3647,-88.218056,88.25548173856805,0.018459326,-6.7547876e-06,1.2536799e-05,1.2524677e-05,2.0,41,0.01992877,2.5866857e-06,0,-1.4296279788528111e-08,2.0
121,121,1426616.2,-86.559525,8776.589,8777.016,-90.56506,88.80748979144846,0.018335667,6.6786316e-07,1.271122e-05,1.2709984e-05,2.0,41,0.020448547,2.3297835e-06,0,-1.403323823748506e-08,2.0
122,122,1234551.2,254.01054,10453.644,10456.7295,-88.608055,89.35949989766232,0.018348783,-2.7306144e-06,1.2332279e-05,1.2325e-05,2.0,41,0.020467445,1.9573467e-06,0,-1.4665522788320809e-08,2.0
123,123,1068345.5,418.0666,11739.8125,11747.254,-87.9605,89.9114877905522,0.01842236,-5.87956e-06,1.268958e-05,1.26735085e-05,2.0,41,0.020677421,1.7601919e-06,0,-1.4436178991256377e-08,2.0
124,124,924510.06,523.59845,13354.317,13364.578,-87.754684,90.46348715011845,0.018266002,3.93785e-06,1.2891005e-05,1.2871219e-05,2.0,41,0.020281333,1.5175439e-06,0,-1.3868823881378469e-08,2.0
125,125,800039.0,1000.4667,16289.995,16320.688,-86.485535,91.0155000029772,0.018348075,2.8425256e-07,1.2212034e-05,1.2166144e-05,2.0,41,0.02104389,1.2893996e-06,0,-1.3005580712476828e-08,2.0
126,126,692334.1,486.02063,18410.803,18417.217,-88.487816,91.56749941586168,0.018516393,-1.3994942e-05,1.248624e-05,1.2477544e-05,2.0,41,0.020419238,1.1087038e-06,0,-1.3133992469010024e-08,2.0
127,127,599122.25,425.80634,21362.05,21366.295,-88.858086,92.11950389543199,0.018274572,5.451799e-06,1.2435457e-05,1.2430517e-05,2.0,41,0.0207637,9.71797e-07,0,-1.4391700228051067e-08,2.0
128,128,518454.94,735.9714,24346.572,24357.693,-88.26854,92.6714924283151,0.018358285,-2.5183292e-06,1.2608728e-05,1.2597217e-05,2.0,41,0.020459333,8.3995366e-07,0,-1.423339306554647e-08,2.0
129,129,448662.03,1186.4813,27801.88,27827.188,-87.55631,93.22349874782958,0.01828946,5.773956e-06,1.2759294e-05,1.2736097e-05,2.0,41,0.020153256,7.24229e-07,0,-1.440113868182586e-08,2.0
130,130,388258.97,-445.0712,31829.422,31832.533,-90.80112,93.77549901409657,0.0184142,-7.402822e-06,1.2878637e-05,1.2876119e-05,2.0,41,0.020737931,6.514697e-07,0,-1.4951427133103637e-08,2.0
131,131,335983.9,-3491.6233,35649.01,35819.598,-95.59396,94.32748629359412,0.018258568,8.902418e-06,1.3287832e-05,1.3161571e-05,2.0,41,0.02072084,5.7847774e-07,0,-1.5133261493759005e-08,2.0
132,132,290751.2,2186.2498,44114.246,44168.387,-87.16281,94.87949282649788,0.018273845,9.030909e-06,1.2408514e-05,1.2378112e-05,2.0,41,0.02072043,4.6912353e-07,0,-1.510792371189841e-08,2.0
133,133,251605.19,1206.7828,49731.766,49746.406,-88.60994,95.4315003460797,0.018450921,-7.6113906e-06,1.2719401e-05,1.2711916e-05,2.0,41,0.020343963,4.089534e-07,0,-1.4763331993271795e-08,2.0
134,134,217729.38,592.3293,56431.863,56434.973,-89.39863,96.15049699353403,0.018251786,6.7602565e-07,1.2953248e-05,1.2951822e-05,2.0,42,0.019599803,3.4729888e-07,0,-1.5027590865094332e-08,2.0
135,135,188418.58,2547.0413,65287.836,65337.5,-87.765884,96.566488559969,0.018378444,-7.5009933e-07,1.29379105e-05,1.2918249e-05,2.0,42,0.021777911,3.3331412e-07,0,-1.510398387473513e-08,2.0
136,136,163051.14,2031.0494,73782.07,73810.02,-88.42318,97.11949314622325,0.018320573,-4.4766175e-08,1.3229563e-05,1.3219544e-05,2.0,42,0.020813731,2.819906e-07,0,-1.5125838906178777e-08,2.0
137,137,141098.2,3234.5315,86507.21,86567.66,-87.85869,97.67150730578578,0.018433409,-9.0394303e-07,1.3039061e-05,1.3020859e-05,2.0,42,0.020278668,2.3425225e-07,0,-1.510845060898215e-08,2.0
138,138,122105.11,6903.8384,95051.47,95301.86,-85.84575,98.08749919218826,0.018418688,-3.410921e-07,1.3712842e-05,1.364088e-05,2.0,42,0.021759138,2.2831807e-07,0,-1.505613857431144e-08,2.0
139,139,105663.59,9335.603,112337.52,112724.766,-85.24946,98.6395004450751,0.018292608,8.8797924e-07,1.3408183e-05,1.3316218e-05,2.0,42,0.020493487,1.818011e-07,0,-1.5123304292486217e-08,2.0
140,140,91439.65,7608.0244,132558.81,132776.95,-86.715195,99.05548830484622,0.01834269,7.42481e-08,1.31303705e-05,1.3087262e-05,2.0,42,0.02175752,1.638652e-07,0,-1.5101513309118846e-08,2.0
141,141,79127.08,6943.484,154104.2,154260.55,-87.420166,99.607499557751,0.018271107,8.1422394e-07,1.3052104e-05,1.302566e-05,2.0,42,0.020341605,1.3186525e-07,0,-1.4980650763940456e-08,2.0
142,142,68475.36,7681.507,176579.05,176746.05,-87.5091,100.02349104415043,0.018248022,3.8566014e-07,1.3162749e-05,1.3137888e-05,2.0,42,0.02114516,1.1963583e-07,0,-1.492591264897526e-08,2.0
143,143,59252.523,8419.94,203118.62,203293.06,-87.62626,100.4394927706162,0.01832322,5.719111e-07,1.322402e-05,1.32013365e-05,2.0,42,0.021853246,1.0749627e-07,0,-1.4895536201822503e-08,2.0
144,144,51282.285,2046.601,237642.86,237651.67,-89.50658,100.9914931168023,0.018297918,4.7003195e-07,1.30595445e-05,1.3058575e-05,2.0,42,0.020287141,8.536502e-08,0,-1.493660962492961e-08,2.0
145,145,44369.8,14219.742,270726.7,271099.88,-86.99334,101.4074861232366,0.018297303,5.9537894e-07,1.3249563e-05,1.3213111e-05,2.0,42,0.020600524,7.598869e-08,0,-1.4899283939210189e-08,2.0
146,146,38403.727,19774.781,313926.06,314548.28,-86.3956,101.82349504964077,0.018275747,8.2949646e-07,1.3201381e-05,1.3149205e-05,2.0,42,0.02091235,6.648375e-08,0,-1.485536869400978e-08,2.0
147,147,33226.32,23817.426,361224.4,362008.75,-86.227646,102.23949517609435,0.018295776,6.6354676e-07,1.3260527e-05,1.3203128e-05,2.0,42,0.021109387,5.8311816e-08,0,-1.4806701989786595e-08,2.0
148,148,28754.086,33482.945,419293.75,420628.53,-85.4343,102.65549266253947,0.018322047,5.121246e-07,1.3200859e-05,1.3117211e-05,2.0,42,0.021226155,5.0462944e-08,0,-1.4785200801035082e-08,2.0
149,149,24884.947,41349.297,500276.25,501982.16,-85.27508,103.23750279683736,0.018244706,1.9177209e-07,1.2784199e-05,1.2697456e-05,2.0,43,0.021003954,4.1842032e-08,0,-1.4725308224337436e-08,2.0
