True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,395.44867,1996.8884,2035.6677,-78.79851,2.467497343866853,-0.033466592,8.402955e-06,1.1385895e-05,1.0956226e-05,1.0,40,0.009666766,4.7486956e-06,0,1.5551815481640258e-08,1.0
1,1,6057573.0,229.2631,2588.523,2598.656,-84.938576,3.0194977433711756,-0.033508405,-5.6864865e-05,1.015008e-05,1.0071078e-05,1.0,40,0.013698013,5.271191e-06,0,1.7932131825084243e-08,1.0
2,2,5242039.0,244.89201,2613.4133,2624.862,-84.64668,3.4355009098362643,-0.033554982,4.3994958e-05,1.1617476e-05,1.1516355e-05,1.0,40,0.01889268,7.1975896e-06,0,1.5367955269625435e-08,1.0
3,3,4536288.0,389.36636,2839.6648,2866.2349,-82.19246,4.939487434603507,-0.033506747,-5.216294e-06,1.2355275e-05,1.212727e-05,1.0,40,0.018940797,6.6082503e-06,0,3.355438954915573e-11,1.0
4,4,3925558.5,366.21338,3201.1025,3221.9822,-83.47361,5.355484814353986,-0.03362051,4.774801e-06,1.2665405e-05,1.2501784e-05,1.0,40,0.018105425,5.6193435e-06,0,-3.981909654580957e-09,1.0
5,5,3397055.0,558.4545,3725.642,3767.2644,-81.47513,5.7715015540889,-0.03347859,-3.9673476e-05,1.2575244e-05,1.2298906e-05,1.0,40,0.019196048,5.0954873e-06,0,-1.1355804855213591e-08,1.0
6,6,2939708.2,748.0249,4166.2964,4232.9146,-79.82145,6.187483707180945,-0.033631057,4.265539e-05,1.2994684e-05,1.2588879e-05,1.0,40,0.021083636,4.980879e-06,0,-9.163674873914513e-09,1.0
7,7,2543924.5,469.44833,4710.844,4734.1772,-84.30911,6.739482613425935,-0.03363907,4.6506695e-05,1.3280584e-05,1.3149996e-05,1.0,40,0.02025766,4.2790243e-06,0,-1.2281572740031758e-08,1.0
8,8,2201436.2,345.03415,5684.812,5695.273,-86.52675,7.458488087548176,-0.033523254,-1.6859425e-06,1.2717388e-05,1.2670713e-05,1.0,41,0.020185547,3.5442633e-06,0,-1.6149864502588053e-08,1.0
9,9,1905053.1,-239.09448,5689.9307,5694.9517,-92.40619,8.010500167118153,-0.03358897,2.1222284e-06,1.4682704e-05,1.4656825e-05,1.0,41,0.020181233,3.5437058e-06,0,-1.7063882154681033e-08,1.0
10,10,1648567.4,636.63727,7065.111,7093.7363,-84.85098,8.563482033408945,-0.03354531,-4.873982e-06,1.3664523e-05,1.3554463e-05,1.0,41,0.020189857,2.8461527e-06,0,-1.7893597293521346e-08,1.0
11,11,1426616.2,844.2736,8498.382,8540.216,-84.32655,9.115495046280557,-0.033429127,-1.117932e-05,1.3127341e-05,1.2999048e-05,1.0,41,0.020394137,2.388012e-06,0,-1.8357014505865107e-08,1.0
12,12,1234551.2,1105.7598,9829.75,9891.749,-83.58172,9.667481579148443,-0.03354142,-9.743579e-06,1.3115006e-05,1.2951119e-05,1.0,41,0.02031652,2.0538855e-06,0,-1.814157375607629e-08,1.0
13,13,1068345.5,1281.5996,11145.656,11219.098,-83.44057,10.219492058706237,-0.03376938,1.7909782e-05,1.33660415e-05,1.3191622e-05,1.0,41,0.020960862,1.8683198e-06,0,-1.6508848598460998e-08,1.0
14,14,924510.06,1051.983,13054.828,13097.145,-85.39295,10.771491524908924,-0.033644844,5.099853e-06,1.3186736e-05,1.3101662e-05,1.0,41,0.02018481,1.541161e-06,0,-1.5070850488693093e-08,1.0
15,15,800039.0,2171.1619,15014.16,15170.331,-81.77163,11.323497871140717,-0.033412635,-1.0888821e-05,1.3249756e-05,1.2978362e-05,1.0,41,0.020836964,1.3735339e-06,0,-1.777891563571643e-08,1.0
16,16,692334.1,1015.1441,17533.95,17563.31,-86.68651,11.875494670675835,-0.03352357,-4.6561054e-06,1.31106635e-05,1.3066864e-05,1.0,41,0.020387743,1.1608143e-06,0,-1.8636449404461865e-08,1.0
17,17,599122.25,2302.497,20120.61,20251.924,-83.47177,12.42747917692759,-0.03352316,-1.95967e-06,1.3202724e-05,1.3032066e-05,1.0,41,0.020756649,1.0249223e-06,0,-1.8505045234833675e-08,1.0
18,18,518454.94,3306.2432,21614.654,21866.059,-81.303276,12.979494403145509,-0.033691034,1.0705012e-05,1.420237e-05,1.3877665e-05,1.0,41,0.020238819,9.2558145e-07,0,-1.9030706414803766e-08,1.0
19,19,448662.03,4616.2954,26592.271,26989.98,-80.15186,13.532502642745385,-0.03372673,1.4706835e-05,1.3339678e-05,1.2949443e-05,1.0,41,0.020381767,7.551605e-07,0,-1.9006070588229955e-08,1.0
20,20,388258.97,7699.716,32955.02,33842.562,-76.849144,14.084499602293363,-0.033623938,4.1333806e-06,1.243876e-05,1.1794886e-05,1.0,41,0.021030895,6.214333e-07,0,-1.9607602482103124e-08,1.0
21,21,335983.9,7865.718,31342.516,32314.436,-75.912,14.637482935242588,-0.03368667,9.347483e-06,1.51135955e-05,1.4218125e-05,1.0,41,0.020650893,6.3906094e-07,0,-2.0845704909074274e-08,1.0
22,22,290751.2,9966.496,38440.574,39711.57,-75.46496,15.189481654757401,-0.033478815,-4.9466066e-06,1.423996e-05,1.3343028e-05,1.0,41,0.020694256,5.2111403e-07,0,-1.9630962090300525e-08,1.0
23,23,251605.19,9741.483,43165.676,44251.24,-77.28272,15.74149368100916,-0.03373098,1.412211e-05,1.4654195e-05,1.3944027e-05,1.0,41,0.020128662,4.5487226e-07,0,-2.0087790824698952e-08,1.0
24,24,217729.38,14001.6045,50634.04,52534.28,-74.54252,16.293493893899722,-0.03341793,-8.430743e-06,1.4436454e-05,1.3410967e-05,1.0,41,0.02027657,3.8596838e-07,0,-1.9725032088088154e-08,1.0
25,25,188418.58,16420.746,54910.535,57313.242,-73.350945,17.01249080800335,-0.033648923,-2.2338077e-07,1.5382988e-05,1.4120242e-05,1.0,42,0.019859187,3.465026e-07,0,-2.0249108057318388e-08,1.0
26,26,163051.14,19999.83,63783.24,66845.305,-72.5907,17.42848848112044,-0.033621367,-2.5768284e-08,1.5303463e-05,1.3933527e-05,1.0,42,0.02179315,3.2602364e-07,0,-2.0264973537931316e-08,1.0
27,27,141098.2,24673.787,73160.09,77208.77,-71.36294,17.98050450734445,-0.03346805,-1.0335737e-06,1.541787e-05,1.3843299e-05,1.0,42,0.020333912,2.6336272e-07,0,-2.0415654734614325e-08,1.0
