True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,437.59344,2342.8796,2383.3953,-79.420425,2.4664937437919434,-0.021329688,5.3241958e-05,9.704451e-06,9.3773215e-06,1.0,40,0.009739036,4.0862024e-06,0,2.5029705642250773e-08,1.0
1,1,6057573.0,847.4221,2461.552,2603.337,-71.003296,3.0184889700321946,-0.021102343,-0.00012187208,1.0673638e-05,9.542667e-06,1.0,40,0.013438298,5.1619513e-06,0,1.921269311218528e-08,1.0
2,2,5242039.0,276.9145,2766.5688,2780.3928,-84.28413,3.4344772030890454,-0.021142159,-0.00011335079,1.097434e-05,1.0865483e-05,1.0,40,0.018886728,6.792827e-06,0,1.541068262239757e-08,1.0
3,3,4536288.0,352.1114,3040.0156,3060.3394,-83.39313,5.074485761026153,-0.021143872,-7.4446936e-05,1.1541007e-05,1.1388228e-05,1.0,40,0.01991439,6.507249e-06,0,-5.467035201025144e-09,1.0
4,4,3925558.5,374.25034,3655.4126,3674.521,-84.15428,5.4904873007617425,-0.021295479,-1.44631495e-05,1.1091295e-05,1.097624e-05,1.0,40,0.018997392,5.170032e-06,0,-8.771401991017077e-09,1.0
5,5,3397055.0,507.7379,3977.1306,4009.4097,-82.724724,5.906503080535913,-0.021371925,7.043323e-05,1.17800655e-05,1.1591151e-05,1.0,40,0.02028824,5.0601566e-06,0,-2.8359273681467637e-09,1.0
6,6,2939708.2,491.66708,4816.3438,4841.374,-84.171265,6.45848230671254,-0.021191346,-4.062234e-05,1.1240831e-05,1.1124899e-05,1.0,40,0.020952158,4.3277296e-06,0,-3.5103487418710856e-09,1.0
7,7,2543924.5,848.0292,5272.7134,5340.4736,-80.86316,7.010492626257474,-0.02115751,-6.0567312e-05,1.18653825e-05,1.1566195e-05,1.0,40,0.020773467,3.8898174e-06,0,-2.1347114655024295e-08,1.0
8,8,2201436.2,452.02853,6291.689,6307.9062,-85.890625,7.729491433798103,-0.021224381,-1.3853423e-05,1.1490707e-05,1.14317e-05,1.0,41,0.01995684,3.163782e-06,0,-1.0096747447772398e-08,1.0
9,9,1905053.1,483.36542,6500.5967,6518.543,-85.74748,8.281502099969657,-0.021196973,-9.937245e-06,1.2851678e-05,1.2781011e-05,1.0,41,0.020320827,3.117388e-06,0,-1.0189573696599218e-08,1.0
10,10,1648567.4,302.50476,8004.2847,8009.999,-87.835655,8.83347900622175,-0.021303305,-3.847922e-06,1.2061211e-05,1.2044008e-05,1.0,41,0.019966356,2.492679e-06,0,-1.55561866308018e-08,1.0
11,11,1426616.2,-117.51621,9279.749,9280.493,-90.72554,9.38549921908998,-0.021405034,6.729261e-06,1.2022001e-05,1.2020073e-05,1.0,41,0.020525381,2.2116692e-06,0,-1.6744608013686798e-08,1.0
12,12,1234551.2,722.0529,11164.164,11187.489,-86.29949,9.937483351997798,-0.021073874,-2.401346e-05,1.1547415e-05,1.14993145e-05,1.0,41,0.020419614,1.8252186e-06,0,-1.6051372479772298e-08,1.0
13,13,1068345.5,-640.1748,10802.441,10821.394,-93.3915,10.489487618178828,-0.021545554,1.6034572e-05,1.3790706e-05,1.3742443e-05,1.0,41,0.021179857,1.9572208e-06,0,-1.6944432810513772e-08,1.0
14,14,924510.06,214.60207,15392.062,15393.558,-89.20121,11.041479671053821,-0.021194886,-7.98382e-06,1.1184375e-05,1.1182201e-05,1.0,41,0.02018553,1.3112973e-06,0,-1.757409630654008e-08,1.0
15,15,800039.0,284.18835,8400.892,8405.697,-88.062515,11.457490677508758,-0.021202264,-5.890726e-06,2.3680102e-05,2.3653034e-05,1.0,41,0.02186218,2.6008765e-06,0,-1.856038048772578e-08,1.0
16,16,692334.1,1879.6282,19716.074,19805.469,-84.55418,12.009492917073658,-0.021014476,-2.7814167e-05,1.1659608e-05,1.1554592e-05,1.0,41,0.021044528,1.0625615e-06,0,-1.7754070976274486e-08,1.0
17,17,599122.25,1292.4596,22231.803,22269.34,-86.67282,12.561478223273298,-0.021285139,-2.9689656e-06,1.1948957e-05,1.1908709e-05,1.0,41,0.020763865,9.32397e-07,0,-1.8554240998899316e-08,1.0
18,18,518454.94,531.6853,26223.55,26228.94,-88.83848,13.113486276153708,-0.021230174,-6.1812325e-06,1.1706245e-05,1.1701435e-05,1.0,41,0.020308254,7.74269e-07,0,-1.9090229947544637e-08,1.0
19,19,448662.03,2913.0957,32649.318,32779.02,-84.90135,13.665494569024304,-0.021303622,-4.3488435e-06,1.0864924e-05,1.0779113e-05,1.0,41,0.020346344,6.207124e-07,0,-1.86974789494942e-08,1.0
20,20,388258.97,-4389.7275,31937.1,32237.371,-97.82622,14.217492808616953,-0.02154658,1.2068131e-05,1.2835216e-05,1.2597225e-05,1.0,41,0.020496052,6.3578545e-07,0,-1.921288415347997e-08,1.0
21,21,335983.9,17103.752,36229.69,40064.06,-64.72837,14.7694828081585,-0.021071339,-2.369689e-05,1.30748585e-05,1.0691937e-05,1.0,41,0.021183006,5.2872844e-07,0,-1.9571862950852314e-08,1.0
22,22,290751.2,4346.8647,44720.867,44931.63,-84.448296,15.321503447688883,-0.021431379,8.248802e-06,1.2240197e-05,1.2125635e-05,1.0,41,0.02055674,4.5751156e-07,0,-1.980706924366703e-08,1.0
23,23,251605.19,4360.8984,53388.094,53565.902,-85.33028,16.040482655196683,-0.021187136,-2.7992342e-06,1.1848303e-05,1.1769774e-05,1.0,42,0.019957807,3.7258417e-07,0,-1.9371948467703466e-08,1.0
24,24,217729.38,2614.1885,64012.52,64065.88,-87.661415,16.59249244138482,-0.021268649,-2.0071084e-06,1.1419265e-05,1.1400252e-05,1.0,42,0.020086156,3.1352346e-07,0,-1.967017626606143e-08,1.0
25,25,188418.58,3557.0054,70283.47,70373.42,-87.10277,17.14448270763387,-0.020955674,-4.770889e-06,1.2018304e-05,1.19876e-05,1.0,42,0.020866305,2.9650832e-07,0,-1.9897602178465887e-08,1.0
26,26,163051.14,5007.925,82799.58,82950.88,-86.538826,17.69647878719843,-0.021091945,-3.7606626e-06,1.1788761e-05,1.1745795e-05,1.0,42,0.020373661,2.4561115e-07,0,-2.016076956178351e-08,1.0
27,27,141098.2,15447.453,92147.11,93432.94,-80.48348,18.248481960064964,-0.02140697,-1.111985e-06,1.2241e-05,1.1906396e-05,1.0,42,0.020274065,2.1699056e-07,0,-2.030511119537959e-08,1.0
28,28,122105.11,2155.5752,117052.46,117072.305,-88.94499,18.66450216647354,-0.021384334,-1.7700106e-06,1.1135398e-05,1.1131624e-05,1.0,42,0.022122115,1.8896112e-07,0,-2.0527558236981195e-08,1.0
29,29,105663.59,13793.667,123305.016,124074.14,-83.61707,19.216487339377636,-0.021467581,-4.7463357e-07,1.2215577e-05,1.2064601e-05,1.0,42,0.020400563,1.6442236e-07,0,-2.077497153629309e-08,1.0
30,30,91439.65,20757.55,144002.89,145491.27,-81.7975,19.632490372488974,-0.021373974,-1.6908539e-06,1.2086884e-05,1.18408525e-05,1.0,42,0.02157971,1.4832307e-07,0,-2.099623618146504e-08,1.0
31,31,79127.08,24299.64,152642.02,154564.1,-80.95477,20.184492265369045,-0.021177223,-2.7865694e-06,1.3177132e-05,1.2851442e-05,1.0,42,0.020185368,1.3059545e-07,0,-2.12398523752833e-08,1.0
32,32,68475.36,29587.988,175830.45,178302.55,-80.448006,20.6004794051114,-0.02130515,-1.1363842e-06,1.321879e-05,1.28547845e-05,1.0,42,0.021085797,1.18258534e-07,0,-2.147031097311775e-08,1.0
33,33,59252.523,38027.0,200350.45,203927.33,-79.25296,21.01649953154265,-0.021169845,-3.4434768e-06,1.3406732e-05,1.294055e-05,1.0,42,0.021774413,1.0677535e-07,0,-2.1637030085401657e-08,1.0
34,34,51282.285,35247.824,230601.14,233279.44,-81.309494,21.568482571077766,-0.02106342,-3.3494202e-06,1.3458334e-05,1.3151077e-05,1.0,42,0.020193238,8.6562444e-08,0,-2.1837992270034048e-08,1.0
35,35,44369.8,46002.254,274475.94,278304.25,-80.48564,21.984492724208394,-0.021361807,-1.4008604e-06,1.30685785e-05,1.2711513e-05,1.0,42,0.020649487,7.419753e-08,0,-2.191451118644484e-08,1.0
36,36,38403.727,81808.85,303637.1,314464.9,-74.92088,22.400481837248662,-0.021469463,-4.772411e-07,1.364872e-05,1.2724983e-05,1.0,42,0.020888284,6.6424846e-08,0,-2.205628389668599e-08,1.0
37,37,33226.32,95592.375,388602.1,400186.8,-76.18018,22.816497697058367,-0.021222815,-2.817301e-06,1.23263e-05,1.1622979e-05,1.0,42,0.021224795,5.3037216e-08,0,-2.224624526504204e-08,1.0
38,38,28754.086,122706.234,390281.03,409116.25,-72.5466,23.23249718346051,-0.021395551,-9.149315e-07,1.4182185e-05,1.2906383e-05,1.0,42,0.021229481,5.1891075e-08,0,-2.2462577096632587e-08,1.0
39,39,24884.947,159872.02,432638.66,461232.34,-69.71933,23.648489763232647,-0.021298144,-1.7206542e-06,1.4782847e-05,1.3006763e-05,1.0,42,0.021168523,4.5895572e-08,0,-2.2596516518669083e-08,1.0
40,40,21553.963,233278.89,503673.16,555072.7,-65.14854,24.232499124278547,-0.02158688,-1.2327872e-06,1.4660345e-05,1.2070967e-05,1.0,43,0.021003665,3.7839484e-08,0,-2.2818402856288088e-08,1.0
41,41,18631.234,268250.16,564219.6,624741.5,-64.57192,24.64849709070404,-0.021466555,-1.342979e-06,1.5140155e-05,1.2348834e-05,1.0,43,0.020919971,3.3485804e-08,0,-2.297370788231322e-08,1.0
42,42,16126.037,293530.84,583355.5,653042.1,-63.28953,25.06450225712615,-0.021395719,-1.4033172e-06,1.6918395e-05,1.3500298e-05,1.0,43,0.020579021,3.151255e-08,0,-2.3151905561548682e-08,1.0
43,43,13954.87,380991.0,554016.25,672375.0,-55.484116,25.48049147691927,-0.021193247,-1.5396928e-06,2.0585994e-05,1.3976349e-05,1.0,43,0.020246807,3.0112375e-08,0,-2.3340467946383658e-08,1.0
44,44,12080.609,559358.94,454386.0,720658.75,-39.088116,25.896488883328857,-0.02142115,-1.3411913e-06,2.8993878e-05,1.1526485e-05,1.0,43,0.019817173,2.7498693e-08,0,-2.3509539514278266e-08,1.0
45,45,10447.592,535846.94,691647.1,874932.94,-52.233612,26.31248954308103,-0.0212135,-1.5206043e-06,2.2025173e-05,1.376382e-05,1.0,43,0.019394428,2.2166759e-08,0,-2.3666174903287966e-08,1.0
46,46,9045.586,580674.7,759943.3,956397.9,-52.61646,26.74426873694756,-0.021299206,-1.4378255e-06,2.315273e-05,1.4617982e-05,1.0,43,0.0219509,2.295164e-08,0,-2.383191718590911e-08,1.0
47,47,7827.7437,718623.9,826338.44,1095105.2,-48.9882,27.22491627978161,-0.02137839,-1.3775617e-06,2.4605126e-05,1.400973e-05,1.0,43,0.021986602,2.007716e-08,0,-2.401464892176112e-08,1.0
48,48,6770.8345,840202.3,772681.5,1141480.0,-42.602802,27.938407006993657,-0.02135784,-1.3795171e-06,3.0421277e-05,1.3939329e-05,1.0,43,0.020041948,1.7557861e-08,0,-2.429172857876427e-08,1.0
49,49,5860.798,979508.9,808859.3,1270311.4,-39.54923,28.544959035818465,-0.02136205,-1.4109527e-06,3.357302e-05,1.3611813e-05,1.0,43,0.020102143,1.5824579e-08,0,-2.451446727941331e-08,1.0
50,50,5071.625,1090060.6,761508.94,1329709.8,-34.93789,29.225715121501707,-0.02125777,-1.4510291e-06,4.120956e-05,1.3515568e-05,1.0,43,0.020132415,1.5140458e-08,0,-2.478459537524882e-08,1.0
51,51,4388.5933,1319503.1,617672.3,1456917.1,-25.084755,29.905826033791527,-0.021378428,-1.3876739e-06,5.871333e-05,1.0553178e-05,1.0,43,0.020539623,1.4098004e-08,0,-2.5054275934461066e-08,1.0
52,52,3798.7827,1282285.1,757764.0,1489450.0,-30.580885,30.5858237460925,-0.021421878,-1.3460703e-06,5.528938e-05,1.4310599e-05,1.0,43,0.02010775,1.35001175e-08,0,-2.5315055053166842e-08,1.0
53,53,3286.0488,1354216.6,728851.75,1537897.1,-28.289543,31.26568108506035,-0.021352977,-1.4049933e-06,6.645183e-05,1.4925564e-05,1.0,43,0.02009562,1.30669475e-08,0,-2.5568347446892306e-08,1.0
54,54,2844.088,1441817.5,693558.94,1599956.8,-25.689,31.944833037312492,-0.021250222,-1.4154779e-06,8.0685175e-05,1.5161564e-05,1.0,43,0.02010971,1.2568909e-08,0,-2.5830847098526455e-08,1.0
55,55,2460.7852,1497133.2,697558.5,1651664.5,-24.982199,32.6247011229425,-0.021437975,-1.2981536e-06,9.271837e-05,1.6538015e-05,1.0,43,0.020048024,1.2138073e-08,0,-2.608416182082982e-08,1.0
56,56,2129.3164,1591650.8,610945.2,1704877.1,-20.998987,33.30484400856949,-0.02131644,-1.3503909e-06,0.0001223426,1.5710717e-05,1.0,43,0.020185195,1.1839678e-08,0,-2.6348447266396847e-08,1.0
57,57,1843.2289,1718631.6,585729.2,1815701.9,-18.819693,33.984951854188694,-0.021370286,-1.4222194e-06,0.00014741579,1.5340822e-05,1.0,43,0.020404786,1.1237961e-08,0,-2.6589624273410765e-08,1.0
