True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,327.28024,2244.325,2268.0623,-81.703285,2.4654977970931213,-0.0667402,3.4841196e-05,1.01306005e-05,9.9196595e-06,1.0,40,0.010184936,4.490589e-06,0,5.349124708194116e-09,1.0
1,1,6057573.0,451.35513,2450.4724,2491.6936,-79.56361,3.017488089943072,-0.06669524,-3.0394694e-06,1.07218975e-05,1.0370079e-05,1.0,40,0.014522679,5.828437e-06,0,8.22241191816728e-09,1.0
2,2,5242039.0,541.7764,2757.9165,2810.6272,-78.8861,3.4334876563807484,-0.06664881,-9.532745e-06,1.1008769e-05,1.0599723e-05,1.0,40,0.0201462,7.1678664e-06,0,8.73942757400275e-09,1.0
3,3,4536288.0,500.5295,3122.664,3162.5244,-80.89356,4.665501688228687,-0.066718146,6.802787e-06,1.1235547e-05,1.0954108e-05,1.0,40,0.019766066,6.2500912e-06,0,5.6092764081464944e-09,1.0
4,4,3925558.5,455.84018,3521.893,3551.2703,-82.62518,5.081484267982887,-0.066716805,1.603104e-05,1.1511781e-05,1.132211e-05,1.0,40,0.01889458,5.320513e-06,0,6.473296787870848e-09,1.0
5,5,3397055.0,640.7757,3946.0254,3997.7131,-80.77653,5.497478181059705,-0.06677512,-5.9418944e-06,1.1872924e-05,1.156789e-05,1.0,40,0.019847887,4.96481e-06,0,6.2545507483946495e-09,1.0
6,6,2939708.2,692.87177,4648.947,4700.2954,-81.523125,5.913497054163599,-0.066712275,6.467902e-06,1.1645585e-05,1.139253e-05,1.0,40,0.021671971,4.610768e-06,0,6.204827255045428e-09,1.0
7,7,2543924.5,609.19196,5462.0776,5495.945,-83.63603,6.632481461652787,-0.06695466,1.3032721e-05,1.1454023e-05,1.1313294e-05,1.0,41,0.020022199,3.6430858e-06,0,2.476878380548442e-09,1.0
8,8,2201436.2,446.95718,6171.3047,6187.4688,-85.85758,7.184487247868674,-0.06676819,1.9192485e-06,1.17148575e-05,1.165373e-05,1.0,41,0.020493474,3.3120932e-06,0,2.0033231632004975e-09,1.0
9,9,1905053.1,855.30286,7110.054,7161.3135,-83.14057,7.736486340785632,-0.066672534,-5.5741616e-06,1.1750061e-05,1.1582454e-05,1.0,41,0.020467868,2.8581164e-06,0,3.116449779417015e-09,1.0
10,10,1648567.4,826.39484,8209.773,8251.261,-84.251976,8.288488313643029,-0.06675369,-1.3246672e-06,1.1759321e-05,1.1641368e-05,1.0,41,0.019922959,2.4145352e-06,0,3.1458247466389365e-09,1.0
11,11,1426616.2,896.9397,9391.698,9434.432,-84.5446,8.84048489984707,-0.06675729,6.0795465e-08,1.18786975e-05,1.17713325e-05,1.0,41,0.02058926,2.182353e-06,0,2.7293821797924365e-09,1.0
12,12,1234551.2,1489.2644,10640.141,10743.858,-82.032265,9.392483566101873,-0.066791214,7.196761e-08,1.2116121e-05,1.188332e-05,1.0,41,0.02052471,1.9103668e-06,0,5.658117071365925e-10,1.0
13,13,1068345.5,2775.9165,12634.445,12935.8,-77.60842,9.944499005650869,-0.06658079,-1.350891e-05,1.1791044e-05,1.124807e-05,1.0,41,0.02078208,1.6065554e-06,0,-3.4220087780022375e-10,1.0
14,14,924510.06,2615.414,14226.707,14465.116,-79.58315,10.496481058507925,-0.066718906,-3.412171e-06,1.2100522e-05,1.1704936e-05,1.0,41,0.020401126,1.4103672e-06,0,3.4573159325645974e-11,1.0
15,15,800039.0,2286.8325,12684.809,12889.297,-79.78042,11.048493591399165,-0.066832,2.9266894e-06,1.5682852e-05,1.5189184e-05,1.0,41,0.020655148,1.6025039e-06,0,1.561644749746923e-09,1.0
16,16,692334.1,3698.0076,18363.912,18732.553,-78.61441,11.600502097659046,-0.066790044,1.785171e-06,1.2518122e-05,1.2030278e-05,1.0,41,0.020433584,1.0908062e-06,0,5.780440578272798e-10,1.0
17,17,599122.25,4499.4883,21229.402,21700.988,-78.03347,12.152488203864777,-0.06668259,-7.0937003e-06,1.2513158e-05,1.19752185e-05,1.0,41,0.020791326,9.58082e-07,0,-1.1868393010776085e-09,1.0
18,18,518454.94,6140.061,23542.984,24330.484,-75.382744,12.704491483425954,-0.066748515,3.325191e-06,1.3039099e-05,1.2208691e-05,1.0,41,0.020264972,8.3290456e-07,0,-2.6981286126925853e-09,1.0
19,19,448662.03,7893.572,27833.287,28930.959,-74.166565,13.256486176309409,-0.0667465,-3.1908985e-07,1.2744897e-05,1.1796133e-05,1.0,41,0.020482358,7.079737e-07,0,-2.1693491558083778e-09,1.0
20,20,388258.97,9333.752,29458.09,30901.424,-72.41927,13.808494069176959,-0.06661356,-1.0814335e-05,1.3915347e-05,1.2645798e-05,1.0,41,0.02079523,6.729538e-07,0,-2.1055925834632364e-09,1.0
21,21,335983.9,8917.416,29420.61,30742.357,-73.13789,14.360492362087825,-0.06679021,-1.0025087e-06,1.6100894e-05,1.4746161e-05,1.0,41,0.020430507,6.645719e-07,0,-1.877774995747397e-09,1.0
22,22,290751.2,14299.53,37737.8,40356.14,-69.2474,14.912493614916457,-0.06679522,2.2004383e-06,1.4505144e-05,1.2683992e-05,1.0,41,0.020657832,5.118882e-07,0,-1.970244408369126e-10,1.0
23,23,251605.19,18715.318,40773.484,44863.574,-65.34454,15.464491241174983,-0.06667667,-5.3153217e-06,1.5513962e-05,1.2814175e-05,1.0,41,0.020212159,4.5052494e-07,0,-1.203211999520843e-09,1.0
24,24,217729.38,23852.344,46045.125,51856.414,-62.61489,16.016501800710103,-0.066781774,5.617201e-07,1.5875208e-05,1.2516468e-05,1.0,41,0.020253487,3.905686e-07,0,-5.916927107721095e-10,1.0
25,25,188418.58,26168.174,50753.035,57102.047,-62.72445,16.735498581518186,-0.066543095,-4.4339613e-06,1.6643105e-05,1.314786e-05,1.0,42,0.019886686,3.4826573e-07,0,-2.4422337750124653e-09,1.0
26,26,163051.14,33960.5,55343.87,64932.73,-58.46559,17.15149734794977,-0.066754475,-2.3667592e-06,1.7637085e-05,1.2812637e-05,1.0,42,0.021831634,3.3621924e-07,0,-2.742235594562696e-09,1.0
27,27,141098.2,39416.89,57832.645,69987.9,-55.722904,17.703489507519407,-0.06666253,-2.9676057e-06,1.9504087e-05,1.33175945e-05,1.0,42,0.020384248,2.912539e-07,0,-3.378094603628294e-09,1.0
28,28,122105.11,49204.613,57598.39,75754.0,-49.49371,18.119489447242813,-0.06665733,-3.0313035e-06,2.2629552e-05,1.3082343e-05,1.0,42,0.021938255,2.8959863e-07,0,-3.6040517572786256e-09,1.0
29,29,105663.59,57524.52,66493.02,87922.65,-49.136223,18.67148758014082,-0.066754624,-2.5338265e-06,2.2652632e-05,1.2955951e-05,1.0,42,0.020438429,2.3245921e-07,0,-4.06195280133047e-09,1.0
30,30,91439.65,67907.484,66368.05,94953.375,-44.343147,19.087499759887578,-0.06680422,-1.7638645e-06,2.6225669e-05,1.2812203e-05,1.0,42,0.021685643,2.2838202e-07,0,-4.246281630288075e-09,1.0
31,31,79127.08,75570.05,63759.59,98874.25,-40.15483,19.639480666111922,-0.06664695,-3.4337922e-06,3.1546377e-05,1.3118196e-05,1.0,42,0.020498598,2.0731989e-07,0,-4.661465507061911e-09,1.0
32,32,68475.36,84505.57,65042.984,106638.555,-37.58507,20.05549767255434,-0.06671872,-2.8770874e-06,3.5734305e-05,1.3294064e-05,1.0,42,0.021141877,1.9825735e-07,0,-5.001949798695035e-09,1.0
33,33,59252.523,91988.29,60686.41,110202.93,-33.41359,20.472486892336747,-0.0667233,-2.6006908e-06,4.426106e-05,1.3422037e-05,1.0,42,0.021804819,1.9786062e-07,0,-5.2413789160104964e-09,1.0
