True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,144.00185,2300.6653,2305.1675,-86.41845,2.466494623775361,-0.02612556,3.3631884e-05,9.882516e-06,9.8439505e-06,1.0,40,0.00972335,4.218067e-06,0,-3.892139140589279e-09,1.0
1,1,6057573.0,246.3475,2467.3088,2479.5767,-84.298225,3.0184780900308397,-0.026032923,-1.8487111e-06,1.0648734e-05,1.0543625e-05,1.0,40,0.013662681,5.510086e-06,0,-4.643766108680817e-09,1.0
2,2,5242039.0,239.26424,2648.0305,2658.8179,-84.83703,3.4344972297840286,-0.026063144,8.309825e-06,1.1465603e-05,1.1372756e-05,1.0,40,0.018845618,7.0879687e-06,0,-6.0434575954483686e-09,1.0
3,3,4536288.0,479.43573,3148.1096,3184.4077,-81.340775,4.802483214734821,-0.026034506,9.500589e-06,1.1144733e-05,1.089211e-05,1.0,40,0.02135584,6.706377e-06,0,-3.724779808357602e-09,1.0
4,4,3925558.5,440.5935,3598.2756,3625.1497,-83.01913,5.218484327808255,-0.026143465,5.7372257e-05,1.1267414e-05,1.1100978e-05,1.0,40,0.019480757,5.3737804e-06,0,-2.1971571715969023e-09,1.0
5,5,3397055.0,388.86765,3795.7637,3815.631,-84.15058,5.634482214256423,-0.026069162,-6.266971e-05,1.2342934e-05,1.2214732e-05,1.0,40,0.020631516,5.4071047e-06,0,-6.7896634277404806e-09,1.0
6,6,2939708.2,313.49518,4710.724,4721.144,-86.19262,6.186486187129049,-0.02599102,-3.796175e-05,1.14928625e-05,1.1442187e-05,1.0,40,0.020649962,4.373932e-06,0,-1.0265662234903378e-08,1.0
7,7,2543924.5,453.16248,5004.296,5024.772,-84.825714,6.7384808266942855,-0.026015613,-2.3914708e-05,1.25018105e-05,1.2400128e-05,1.0,40,0.02035309,4.05055e-06,0,-9.525656209941897e-09,1.0
8,8,2201436.2,898.4725,6833.6,6892.412,-82.50979,7.457491874200059,-0.025916567,-1.962432e-05,1.05794825e-05,1.0399707e-05,1.0,41,0.020269576,2.9408538e-06,0,-1.1280299421222316e-08,1.0
9,9,1905053.1,-16.640072,7705.4375,7705.4556,-90.12373,8.009483233763603,-0.026240854,7.692009e-06,1.0842158e-05,1.0842107e-05,1.0,41,0.020639174,2.6785144e-06,0,-1.0713633398834884e-08,1.0
10,10,1648567.4,474.34982,8240.371,8254.013,-86.70545,8.562488246680005,-0.026055412,1.0533374e-06,1.1715657e-05,1.1676964e-05,1.0,41,0.019791184,2.3977652e-06,0,-1.0850266729758258e-08,1.0
11,11,1426616.2,255.37268,9730.993,9734.344,-88.49672,9.11449853956583,-0.026103761,2.8652362e-06,1.1464518e-05,1.1456627e-05,1.0,41,0.02065431,2.121798e-06,0,-9.90097137381459e-09,1.0
12,12,1234551.2,441.66452,10570.672,10579.895,-87.60745,9.666502912441501,-0.025961395,-1.5691381e-05,1.2195747e-05,1.2174493e-05,1.0,41,0.020531181,1.9405848e-06,0,-1.0302835020038654e-08,1.0
13,13,1068345.5,1702.9304,11630.15,11754.164,-81.66973,10.218495418637758,-0.02605733,-4.4009876e-06,1.28092315e-05,1.2540368e-05,1.0,41,0.021053867,1.7911838e-06,0,-1.1999429167196417e-08,1.0
14,14,924510.06,657.7509,14132.577,14147.875,-87.3353,10.770482751569944,-0.026214471,6.7162277e-06,1.2181117e-05,1.2154789e-05,1.0,41,0.020346817,1.4381535e-06,0,-1.1522499176506212e-08,1.0
15,15,800039.0,2101.2273,10670.928,10875.838,-78.86033,11.322499391069869,-0.026140371,2.5970828e-06,1.8642613e-05,1.7946744e-05,1.0,41,0.019725297,1.8136807e-06,0,-1.1943905478410165e-08,1.0
16,16,692334.1,1864.3684,18681.215,18774.016,-84.300804,11.87448280400713,-0.02607393,-4.391674e-06,1.2305501e-05,1.2184148e-05,1.0,41,0.020247387,1.0784793e-06,0,-1.3752659313722246e-08,1.0
17,17,599122.25,86.32438,21477.158,21477.332,-89.76971,12.427492030226858,-0.026349382,1.31742645e-05,1.2368809e-05,1.2368609e-05,1.0,41,0.020614605,9.598308e-07,0,-1.3368665610357767e-08,1.0
18,18,518454.94,1407.9624,25492.047,25530.898,-86.838684,12.979500403132988,-0.02601608,-6.339517e-06,1.204216e-05,1.2005537e-05,1.0,41,0.020466069,8.016196e-07,0,-1.3504580044384163e-08,1.0
19,19,448662.03,1420.2594,30204.16,30237.533,-87.30782,13.531500162702287,-0.026323,1.5971256e-05,1.1744487e-05,1.1718576e-05,1.0,41,0.020126125,6.6560074e-07,0,-1.3236757383815245e-08,1.0
20,20,388258.97,3652.8408,37749.215,37925.54,-84.47292,14.083484295551898,-0.02597878,-1.4963265e-05,1.0859022e-05,1.0758285e-05,1.0,41,0.021421663,5.6483475e-07,0,-1.3873968262228371e-08,1.0
21,21,335983.9,4242.6226,36513.723,36759.375,-83.372375,14.635484188474948,-0.026031563,-6.8981713e-06,1.29731525e-05,1.280034e-05,1.0,41,0.020220634,5.50081e-07,0,-1.3063816020222577e-08,1.0
22,22,290751.2,1842.8961,43512.996,43552.004,-87.574814,15.187502134678653,-0.02610581,-2.2334066e-06,1.2579972e-05,1.2557446e-05,1.0,41,0.020498985,4.7067837e-07,0,-1.1832150349360089e-08,1.0
23,23,251605.19,3684.0159,49491.95,49628.87,-85.74294,15.739494747569552,-0.02615593,-1.1238928e-07,1.27810345e-05,1.2710608e-05,1.0,41,0.020478982,4.1264252e-07,0,-1.3228156900673583e-08,1.0
24,24,217729.38,5857.047,57196.723,57495.83,-84.15319,16.458502115070587,-0.026299488,-8.186396e-07,1.2780032e-05,1.264741e-05,1.0,42,0.019488819,3.3896058e-07,0,-1.4054330233825457e-08,1.0
25,25,188418.58,4434.894,67207.16,67353.32,-86.22462,16.87449613478384,-0.026025992,-3.1747163e-06,1.25684255e-05,1.2513935e-05,1.0,42,0.021649294,3.2142876e-07,0,-1.4342758174884038e-08,1.0
26,26,163051.14,5568.2695,74239.0,74447.53,-85.71058,17.426495921012247,-0.026291698,-7.398554e-07,1.31481365e-05,1.3074582e-05,1.0,42,0.0206232,2.7701657e-07,0,-1.4691991198174314e-08,1.0
27,27,141098.2,6686.9272,87980.52,88234.27,-85.65361,17.978485573927173,-0.02634616,-8.646435e-07,1.282071e-05,1.2747075e-05,1.0,42,0.0203216,2.3031413e-07,0,-1.4980604384545417e-08,1.0
28,28,122105.11,9035.709,95106.055,95534.32,-84.57281,18.39448516702396,-0.02613357,-2.4602575e-06,1.3704972e-05,1.3582373e-05,1.0,42,0.021816447,2.2836241e-07,0,-1.5289150229238344e-08,1.0
29,29,105663.59,1284.8076,114822.34,114829.53,-89.35892,18.94648108657566,-0.026085557,-2.7059227e-06,1.3118021e-05,1.311638e-05,1.0,42,0.020177342,1.7571561e-07,0,-1.570756468721542e-08,1.0
30,30,91439.65,10799.872,127785.875,128241.44,-85.169106,19.362502119649434,-0.02636209,-3.5208032e-07,1.3620804e-05,1.35242035e-05,1.0,42,0.021389142,1.6678807e-07,0,-1.6090538274090842e-08,1.0
31,31,79127.08,16210.055,152529.33,153388.27,-83.93366,19.914487559202826,-0.025790002,-5.025122e-06,1.3186867e-05,1.3039595e-05,1.0,42,0.02015604,1.3140536e-07,0,-1.6476909408818162e-08,1.0
32,32,68475.36,26431.898,169419.08,171468.56,-81.13249,20.330479738971917,-0.02605653,-2.9318448e-06,1.3719033e-05,1.3393038e-05,1.0,42,0.02098761,1.2239917e-07,0,-1.674897089158403e-08,1.0
33,33,59252.523,31465.248,197473.03,199964.14,-80.946625,20.746487492026063,-0.02624158,-1.4105453e-06,1.3602085e-05,1.3265292e-05,1.0,42,0.021712298,1.08580956e-07,0,-1.7024452307981788e-08,1.0
34,34,51282.285,29515.482,227887.61,229791.05,-82.62026,21.29850370492204,-0.026027892,-3.3730744e-06,1.3618587e-05,1.3393907e-05,1.0,42,0.020208083,8.7941125e-08,0,-1.7394408022112008e-08,1.0
35,35,44369.8,54476.68,263077.78,268658.94,-78.30086,21.71450057803304,-0.02632341,-7.730079e-07,1.363479e-05,1.3074173e-05,1.0,42,0.020607922,7.6706634e-08,0,-1.766520794504246e-08,1.0
36,36,38403.727,57324.94,290361.0,295965.62,-78.83192,22.130482357781148,-0.026087886,-2.7129997e-06,1.4272777e-05,1.3737335e-05,1.0,42,0.02077341,7.018859e-08,0,-1.795555537606239e-08,1.0
37,37,33226.32,90743.74,354222.03,365660.6,-75.63112,22.5465019508556,-0.026039593,-3.0320484e-06,1.3522666e-05,1.2689869e-05,1.0,42,0.021111049,5.7734e-08,0,-1.8136615129701105e-08,1.0
38,38,28754.086,118126.21,400395.75,417457.25,-73.5627,22.96248765065684,-0.02615334,-1.6081581e-06,1.3823917e-05,1.2717039e-05,1.0,42,0.021259554,5.0926303e-08,0,-1.860434343785099e-08,1.0
39,39,24884.947,121911.914,436187.1,452903.62,-74.38461,23.378488470363664,-0.026139775,-2.844493e-06,1.4662587e-05,1.3600179e-05,1.0,42,0.021205956,4.6822226e-08,0,-1.881381815506986e-08,1.0
40,40,21553.963,200545.97,452098.94,494582.78,-66.07847,23.961494524759473,-0.026071696,-2.5464471e-06,1.6332757e-05,1.3647355e-05,1.0,43,0.020812433,4.208079e-08,0,-1.917246420370712e-08,1.0
41,41,18631.234,194822.75,552610.0,585946.9,-70.57989,24.377499504509615,-0.026139757,-2.4307617e-06,1.545823e-05,1.3749305e-05,1.0,43,0.020751223,3.5414853e-08,0,-1.9450547878406016e-08,1.0
42,42,16126.037,242407.03,609016.0,655485.8,-68.29593,24.79348861760809,-0.02596624,-2.5784414e-06,1.620555e-05,1.39892545e-05,1.0,43,0.020439586,3.1182346e-08,0,-1.9722516459894694e-08,1.0
43,43,13954.87,394363.56,685871.75,791165.4,-60.101894,25.209493197355187,-0.025921337,-2.6322057e-06,1.6628437e-05,1.2496912e-05,1.0,43,0.020515412,2.5930625e-08,0,-2.0004990643481305e-08,1.0
44,44,12080.609,410906.44,726899.44,835001.1,-60.52111,25.625487297103973,-0.025993386,-2.531102e-06,1.8124121e-05,1.3735089e-05,1.0,43,0.019976173,2.3923528e-08,0,-2.0284117226549152e-08,1.0
45,45,10447.592,498404.4,817149.9,957152.5,-58.619724,26.04150083687273,-0.026142124,-2.4748235e-06,1.8642417e-05,1.3587619e-05,1.0,43,0.0194074,2.0276184e-08,0,-2.0555243948696283e-08,1.0
46,46,9045.586,555917.6,894725.6,1053365.2,-58.14618,26.473259684076766,-0.026119746,-2.399047e-06,1.9664982e-05,1.4187809e-05,1.0,43,0.021966597,2.0853731e-08,0,-2.0864196597653584e-08,1.0
47,47,7827.7437,696458.4,864186.94,1109897.9,-51.13425,27.109927154320758,-0.026015446,-2.4870403e-06,2.3527502e-05,1.426347e-05,1.0,43,0.020125333,1.81326e-08,0,-2.1299574586473766e-08,1.0
48,48,6770.8345,747528.7,952597.9,1210884.8,-51.877785,27.648393553186907,-0.02605884,-2.4565359e-06,2.4675635e-05,1.527151e-05,1.0,43,0.019993931,1.6511837e-08,0,-2.1662494959792532e-08,1.0
49,49,5860.798,1041593.75,931357.06,1397262.9,-41.80198,28.254979395365808,-0.02614065,-2.4060118e-06,2.9157292e-05,1.2954581e-05,1.0,43,0.020346299,1.45615395e-08,0,-2.2075654298694897e-08,1.0
50,50,5071.625,1142642.8,947730.5,1484528.8,-39.67298,28.935696707725583,-0.026145756,-2.4291974e-06,3.3112206e-05,1.3495241e-05,1.0,43,0.02032857,1.3693618e-08,0,-2.2528683192619396e-08,1.0
51,51,4388.5933,1169029.4,567043.3,1299295.1,-25.875925,29.615837380028097,-0.026202695,-2.431637e-06,6.39556e-05,1.218135e-05,1.0,43,0.020069044,1.5446101e-08,0,-2.2976064465814646e-08,1.0
