True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,410.67975,2132.9346,2172.1113,-79.10152,2.4654862770985346,-0.02330107,-7.6162864e-06,1.0659662e-05,1.0278609e-05,1.0,40,0.009785188,4.5049205e-06,0,8.374781066695252e-09,1.0
1,1,6057573.0,59.302597,2137.2466,2138.069,-88.410614,3.017500329966424,-0.023173425,-4.6929592e-05,1.2293253e-05,1.2283797e-05,1.0,40,0.013744265,6.428354e-06,0,2.3777080469168748e-09,1.0
2,2,5242039.0,405.54535,2679.8718,2710.3838,-81.394714,3.4334931230696384,-0.023485562,0.00011434193,1.1329373e-05,1.1075729e-05,1.0,40,0.018927779,6.9834314e-06,0,1.9830104454664856e-09,1.0
3,3,4536288.0,268.3519,2948.7698,2960.9553,-84.80014,4.801500974717783,-0.023295704,2.0403333e-05,1.1898128e-05,1.1800398e-05,1.0,40,0.021048991,7.108851e-06,0,2.0703425769299758e-08,1.0
4,4,3925558.5,210.24892,3276.9395,3283.6772,-86.328926,5.217488807771588,-0.023400843,5.6553614e-05,1.2372295e-05,1.2321573e-05,1.0,40,0.019380152,5.9019662e-06,0,2.187125501138275e-08,1.0
5,5,3397055.0,305.02512,3854.031,3866.0828,-85.47479,5.633494800858898,-0.023301518,-8.3419745e-06,1.2156326e-05,1.2080654e-05,1.0,40,0.02058009,5.323241e-06,0,2.024735375169308e-08,1.0
6,6,2939708.2,450.85623,4257.7754,4281.5796,-83.95547,6.185492693766719,-0.023124572,-0.00012723044,1.2715492e-05,1.2574496e-05,1.0,40,0.020360027,4.7552603e-06,0,1.0433369603409422e-08,1.0
7,7,2543924.5,409.19565,4953.05,4969.924,-85.277245,6.737482026655925,-0.023182368,-0.00012747229,1.263116e-05,1.25455335e-05,1.0,40,0.020256665,4.07585e-06,0,8.245166224140929e-09,1.0
8,8,2201436.2,346.7537,5709.8228,5720.3423,-86.524734,7.456496834143763,-0.023271987,-7.032258e-06,1.26616815e-05,1.2615155e-05,1.0,41,0.020011345,3.4982775e-06,0,6.892059694722421e-09,1.0
9,9,1905053.1,639.72345,6526.606,6557.8833,-84.40188,8.008485393685987,-0.023449808,8.624962e-06,1.2800462e-05,1.2678652e-05,1.0,41,0.020509876,3.1275147e-06,0,6.709052746359529e-09,1.0
10,10,1648567.4,259.3971,7867.318,7871.5933,-88.11156,8.56050355322077,-0.023257248,-4.0974533e-06,1.2271192e-05,1.2257866e-05,1.0,41,0.020158932,2.5609722e-06,0,7.640738229052128e-09,1.0
11,11,1426616.2,540.06165,9056.196,9072.285,-86.587234,9.112490086146863,-0.023430096,7.083076e-06,1.2318765e-05,1.2275111e-05,1.0,41,0.02034284,2.242306e-06,0,7.4045463705374455e-09,1.0
12,12,1234551.2,276.76236,10467.114,10470.772,-88.48539,9.66448373903404,-0.023240946,-4.8665274e-06,1.2316407e-05,1.23078025e-05,1.0,41,0.020813059,1.987729e-06,0,7.318804450717506e-09,1.0
13,13,1068345.5,-586.94086,9246.806,9265.415,-93.63197,10.216494511900237,-0.023259392,-5.1309617e-06,1.6110786e-05,1.6046133e-05,1.0,41,0.019763747,2.1330666e-06,0,8.377437087776545e-09,1.0
14,14,924510.06,781.05786,14204.956,14226.413,-86.85277,10.768483044783352,-0.023585483,2.1511238e-05,1.21190515e-05,1.2082521e-05,1.0,41,0.020477647,1.4394104e-06,0,1.0087358552614963e-08,1.0
15,15,800039.0,4965.975,10296.503,11431.486,-64.25211,11.320498510991456,-0.023372523,5.187377e-06,1.9320538e-05,1.5674486e-05,1.0,41,0.019672636,1.7209167e-06,0,8.96580271228389e-09,1.0
16,16,692334.1,1177.7352,17678.525,17717.713,-86.188614,11.872478937235428,-0.023244448,-3.7045293e-06,1.3003443e-05,1.2945986e-05,1.0,41,0.02018303,1.1391443e-06,0,8.998576655163582e-09,1.0
17,17,599122.25,-416.64798,21790.164,21794.146,-91.09541,12.424488003453007,-0.023305934,4.2749093e-06,1.2191137e-05,1.21866815e-05,1.0,41,0.0207818,9.5354966e-07,0,8.536452375033656e-09,1.0
18,18,518454.94,1085.4894,25191.844,25215.219,-87.532715,12.976496749644866,-0.023293842,1.4369497e-06,1.2185662e-05,1.2163081e-05,1.0,41,0.020375121,8.080486e-07,0,9.344822645558458e-09,1.0
19,19,448662.03,2846.161,28368.041,28510.46,-84.2707,13.52850208253949,-0.023212906,-6.3972443e-06,1.2504648e-05,1.2380029e-05,1.0,41,0.020103518,7.051278e-07,0,9.918888236215809e-09,1.0
20,20,388258.97,3633.2312,33897.152,34091.31,-83.88217,14.080479095428018,-0.023032196,-1.7317063e-05,1.2093038e-05,1.1955686e-05,1.0,41,0.02039009,5.981023e-07,0,1.0937714060793505e-08,1.0
21,21,335983.9,-6904.3,24470.814,25426.17,-105.75611,15.239492377120769,-0.023306139,1.9415995e-06,1.9357676e-05,1.7930326e-05,1.0,41,0.019368947,7.6177207e-07,0,1.759892126564861e-08,1.0
22,22,290751.2,3151.5935,43940.082,44052.96,-85.8975,15.791496136720525,-0.023222743,-3.8311573e-06,1.2457697e-05,1.2393937e-05,1.0,41,0.020785099,4.718207e-07,0,1.7279558787331932e-08,1.0
23,23,251605.19,1345.8092,49630.93,49649.17,-88.44673,16.343495442910353,-0.02347742,1.48595345e-05,1.2745244e-05,1.2735879e-05,1.0,41,0.020279545,4.0845688e-07,0,1.834902818397429e-08,1.0
