True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,226.80632,1883.0878,1896.6973,-83.13216,82.48848007796914,-0.005449439,7.6033546e-05,1.2073979e-05,1.1901329e-05,2.0,40,0.010219919,5.388271e-06,0,-4.1829710332960495e-09,2.0
111,111,6057573.0,306.08475,2403.9563,2423.3643,-82.743835,83.0405066908279,-0.005134041,-9.828047e-05,1.0929365e-05,1.0755006e-05,2.0,40,0.014545427,6.0021625e-06,0,-3.8653664716644785e-09,2.0
112,112,5242039.0,456.42258,2384.437,2427.7275,-79.16367,83.45648455058108,-0.005308583,1.2068124e-05,1.2733097e-05,1.228304e-05,2.0,40,0.020073785,8.268549e-06,0,-3.736288969670746e-09,2.0
113,113,4536288.0,327.86356,2791.7751,2810.9612,-83.30192,84.68849154244526,-0.005288032,-2.4640316e-05,1.2567216e-05,1.2396248e-05,2.0,40,0.019418892,6.9082744e-06,0,-1.8857077690188628e-09,2.0
114,114,3925558.5,412.2379,3113.2703,3140.4446,-82.45717,85.10450564222992,-0.005336549,-2.7859045e-05,1.3022724e-05,1.2798328e-05,2.0,40,0.018787727,5.9825056e-06,0,-2.4943345161894857e-09,2.0
115,115,3397055.0,432.73264,3524.4675,3550.9336,-83.00028,85.5205021953152,-0.0052244603,-7.076309e-05,1.3293032e-05,1.3095617e-05,2.0,40,0.019887174,5.600548e-06,0,-3.7504251011096904e-09,2.0
116,116,2939708.2,367.5322,3970.5696,3987.5435,-84.71154,85.93649629506399,-0.0052941246,-4.8213344e-05,1.3635249e-05,1.3519413e-05,2.0,40,0.021813676,5.4704547e-06,0,-3.297320484567903e-10,2.0
117,117,2543924.5,509.66257,4566.8403,4595.192,-83.6321,86.48849533460452,-0.005373887,-4.685515e-05,1.3699354e-05,1.353083e-05,2.0,40,0.02064436,4.4926e-06,0,3.084255067737734e-09,2.0
118,118,2201436.2,597.1989,5126.408,5161.076,-83.3553,87.04050528086373,-0.0053130356,-2.9552146e-05,1.4102654e-05,1.3913829e-05,2.0,40,0.020743884,4.0192945e-06,0,5.19131520852799e-09,2.0
119,119,1905053.1,613.99426,6177.2144,6207.654,-84.32364,87.7584951549361,-0.0053457343,-2.9969208e-06,1.3524474e-05,1.3392163e-05,2.0,41,0.019876515,3.2019368e-06,0,6.982970084908767e-10,2.0
