True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,327.92926,2074.3975,2100.1577,-81.016785,2.466480037110159,-0.033735573,2.795724e-05,1.0960465e-05,1.0693235e-05,1.0,40,0.009731483,4.6336913e-06,0,1.2866609124169296e-08,1.0
1,1,6057573.0,192.53386,2246.558,2254.7932,-85.10162,3.018483956664568,-0.033673864,1.6942739e-05,1.1695098e-05,1.1609826e-05,1.0,40,0.013692125,6.072453e-06,0,7.96064912659252e-09,1.0
2,2,5242039.0,273.65878,2334.6033,2350.5874,-83.314384,3.4344886697654147,-0.033688936,7.713116e-05,1.3004894e-05,1.28286265e-05,1.0,40,0.01865927,7.938131e-06,0,8.101067868873694e-09,1.0
3,3,4536288.0,282.58804,2910.768,2924.4531,-84.454895,4.938491914566839,-0.033643775,-3.148709e-05,1.2053465e-05,1.194092e-05,1.0,40,0.018041242,6.1690994e-06,0,2.6205127630621266e-09,1.0
4,4,3925558.5,376.98575,3334.6824,3355.9238,-83.550095,5.490495434118202,-0.033587337,-2.2909997e-05,1.2158057e-05,1.2004635e-05,1.0,40,0.019759856,5.888053e-06,0,-3.360500766525042e-09,1.0
5,5,3397055.0,446.99738,3728.4714,3755.1707,-83.163574,5.9064944138226565,-0.033628814,2.2617374e-05,1.2565702e-05,1.23876525e-05,1.0,40,0.020926788,5.572793e-06,0,-3.0944878677448488e-09,1.0
6,6,2939708.2,616.5013,4128.36,4174.138,-81.5066,6.458481640060199,-0.0336916,-3.9282742e-05,1.3114096e-05,1.2828025e-05,1.0,40,0.02087312,5.000582e-06,0,-8.689988908874588e-09,1.0
7,7,2543924.5,511.67633,4702.923,4730.6763,-83.790665,7.010480466269655,-0.033699855,4.620901e-05,1.33029525e-05,1.31473225e-05,1.0,40,0.020693297,4.374279e-06,0,-9.976524888922236e-09,1.0
8,8,2201436.2,368.2368,5640.6113,5652.618,-86.264854,7.72947754044435,-0.03361661,-1.4158821e-05,1.2817043e-05,1.2762651e-05,1.0,41,0.019923657,3.5246778e-06,0,-1.4412487776616622e-08,1.0
9,9,1905053.1,294.28745,6744.007,6750.425,-87.50137,8.281489620014327,-0.03359794,-1.1732388e-05,1.23878235e-05,1.236428e-05,1.0,41,0.020686787,3.0645162e-06,0,-1.55427649178345e-08,1.0
10,10,1648567.4,619.8168,7783.6587,7808.298,-85.44711,8.833500819542678,-0.033729665,5.9881136e-06,1.2403083e-05,1.2324931e-05,1.0,41,0.02000446,2.561949e-06,0,-1.7603800257121962e-08,1.0
11,11,1426616.2,682.8168,8426.847,8454.465,-85.367516,9.38550087242038,-0.03368102,-5.1030293e-06,1.3238778e-05,1.3152425e-05,1.0,41,0.020183146,2.3872767e-06,0,-1.6429681507923356e-08,1.0
12,12,1234551.2,912.9332,10139.174,10180.191,-84.85495,9.937503405293683,-0.033914883,1.3122125e-05,1.2714768e-05,1.2612514e-05,1.0,41,0.02095542,2.0584505e-06,0,-1.6947898673360367e-08,1.0
13,13,1068345.5,744.5124,11712.501,11736.14,-86.362854,10.489485804835567,-0.033806596,7.582138e-06,1.2719171e-05,1.2667984e-05,1.0,41,0.020715715,1.7651217e-06,0,-1.6808560239395672e-08,1.0
14,14,924510.06,1256.144,13535.491,13593.653,-84.69792,11.041502417734591,-0.03365145,-5.7420954e-07,1.27184585e-05,1.2609857e-05,1.0,41,0.02024744,1.4894775e-06,0,-1.6729537077668037e-08,1.0
15,15,800039.0,3876.2969,11774.287,12395.947,-71.77757,11.593480497278506,-0.033614524,-3.5052763e-06,1.6895629e-05,1.524348e-05,1.0,41,0.02136573,1.7236061e-06,0,-1.6682163205940824e-08,1.0
16,16,692334.1,1825.7463,17326.613,17422.54,-83.9848,12.145486470166361,-0.033617094,-7.380475e-06,1.326755e-05,1.3121854e-05,1.0,41,0.020173527,1.1578983e-06,0,-1.6401151961976742e-08,1.0
17,17,599122.25,2545.15,19925.572,20087.465,-82.72086,12.697499403060647,-0.03371096,8.429139e-07,1.3331957e-05,1.3117928e-05,1.0,41,0.020717494,1.0313643e-06,0,-1.283256052025826e-08,1.0
18,18,518454.94,2404.537,23462.465,23585.357,-84.148506,13.249503349274164,-0.033794057,3.8968874e-06,1.3083847e-05,1.2947855e-05,1.0,41,0.02035657,8.63102e-07,0,-1.2241013578195256e-08,1.0
19,19,448662.03,5713.982,26650.992,27256.65,-77.898964,13.80149833552423,-0.0335789,-9.674681e-06,1.3310287e-05,1.2725335e-05,1.0,41,0.020092394,7.371557e-07,0,-1.2473052409662147e-08,1.0
