True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,312.77722,1887.2681,1913.0109,-80.5899,2.4684748372237664,-0.018333955,5.400478e-05,1.2047234e-05,1.1725184e-05,1.0,40,0.00959996,5.0182466e-06,0,1.6691908496903175e-08,1.0
1,1,6057573.0,300.51962,2148.4985,2169.4143,-82.03746,3.020478756778175,-0.018417388,6.686097e-05,1.2228873e-05,1.1994208e-05,1.0,40,0.013638145,6.286556e-06,0,1.9749105976491895e-08,1.0
2,2,5242039.0,654.6686,2481.5447,2566.448,-75.22124,3.4365025365550537,-0.01815958,-3.4277895e-05,1.2234826e-05,1.143871e-05,1.0,40,0.018744372,7.3036244e-06,0,1.8161596798866714e-08,1.0
3,3,4536288.0,319.68616,2912.3303,2929.8237,-83.735725,4.80449758816394,-0.018257806,-1.2007226e-05,1.2046999e-05,1.19035685e-05,1.0,40,0.021961221,7.4957484e-06,0,2.0659332321317928e-08,1.0
4,4,3925558.5,458.71567,3277.6577,3309.6013,-82.03307,5.220488087943522,-0.01825136,2.39333e-06,1.2369583e-05,1.2131958e-05,1.0,40,0.019612085,5.925815e-06,0,2.2057091217523824e-08,1.0
5,5,3397055.0,509.49033,3763.2656,3797.5977,-82.28988,5.636477387713967,-0.018255869,-5.2418138e-05,1.2449523e-05,1.22254405e-05,1.0,40,0.020875024,5.4969023e-06,0,1.8434676994735987e-08,1.0
6,6,2939708.2,307.74942,4111.18,4122.6826,-85.71901,6.1884804005676415,-0.01825982,4.5887605e-06,1.3168897e-05,1.3095516e-05,1.0,40,0.02104576,5.10487e-06,0,1.1034507184522763e-08,1.0
7,7,2543924.5,519.4164,4975.6367,5002.675,-84.04037,6.740480026783189,-0.018323576,-1.2533208e-06,1.2573821e-05,1.2438271e-05,1.0,40,0.020308783,4.059585e-06,0,1.2961608543820248e-08,1.0
8,8,2201436.2,532.8463,5718.0444,5742.818,-84.67616,7.459490274282871,-0.018318584,-1.9131267e-06,1.2643476e-05,1.2534628e-05,1.0,41,0.020302542,3.5352925e-06,0,1.2136555389029506e-08,1.0
9,9,1905053.1,859.09045,6404.3687,6461.7314,-82.35988,8.011481820518384,-0.01833673,1.0921041e-07,1.3044779e-05,1.2814202e-05,1.0,41,0.020718321,3.206311e-06,0,1.4300044360668253e-08,1.0
10,10,1648567.4,591.20966,7368.2065,7391.887,-85.41254,8.563502113363938,-0.018288754,-3.320925e-06,1.31024235e-05,1.3018609e-05,1.0,41,0.02032978,2.7502829e-06,0,1.3329692420220517e-08,1.0
11,11,1426616.2,898.21484,8694.476,8740.749,-84.10177,9.115481632907176,-0.018388843,6.3959315e-06,1.2831269e-05,1.269577e-05,1.0,41,0.020548137,2.350844e-06,0,1.3453405995715823e-08,1.0
12,12,1234551.2,1236.4061,9625.465,9704.549,-82.68035,9.66749643246294,-0.018345153,5.5427233e-07,1.3393353e-05,1.31759525e-05,1.0,41,0.0203721,2.099232e-06,0,1.44381231690084e-08,1.0
13,13,1068345.5,2819.7363,10296.785,10675.894,-74.68522,10.219481712061679,-0.018403936,1.0604455e-05,1.44679425e-05,1.34586535e-05,1.0,41,0.020736761,1.9423912e-06,0,1.4988061565228842e-08,1.0
14,14,924510.06,2049.4783,13283.01,13440.19,-81.22882,10.771489018254215,-0.018342245,-1.5686138e-06,1.2960209e-05,1.2658847e-05,1.0,41,0.020248737,1.5065812e-06,0,1.6091191338777517e-08,1.0
