True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,326.11835,1859.2847,1887.6686,-80.05152,82.61349560393137,-0.009111171,3.634825e-05,1.2228553e-05,1.1863569e-05,2.0,40,0.010164186,5.3845183e-06,0,-4.191521763301578e-08,2.0
111,111,6057573.0,404.82822,1987.4026,2028.2147,-78.48653,83.16549536344246,-0.009007541,1.7296225e-05,1.3220128e-05,1.2693445e-05,2.0,40,0.014387994,7.0939204e-06,0,-4.7952737810907626e-08,2.0
112,112,5242039.0,449.3882,2331.2744,2374.1926,-79.0892,83.5814816498605,-0.009024664,-1.2416573e-05,1.3023463e-05,1.25568695e-05,2.0,40,0.019946992,8.40159e-06,0,-5.014553804670828e-08,2.0
113,113,4536288.0,421.86288,2679.798,2712.8005,-81.05373,84.81349560173112,-0.009190858,7.143791e-05,1.3092345e-05,1.2775734e-05,2.0,40,0.020012408,7.3770293e-06,0,-5.793266633624899e-08,2.0
114,114,3925558.5,508.28668,3034.2888,3076.567,-80.49043,85.22948314147652,-0.008996064,-3.4408153e-05,1.33617e-05,1.2996992e-05,2.0,40,0.019143922,6.222495e-06,0,-5.609800037694907e-08,2.0
115,115,3397055.0,583.1876,3388.4734,3438.2932,-80.23454,85.64548166791792,-0.0090026595,-8.508924e-05,1.3826539e-05,1.3428757e-05,2.0,40,0.020187188,5.8712817e-06,0,-6.277822729514426e-08,2.0
116,116,2939708.2,697.45184,3919.8254,3981.3906,-79.91099,86.19749260079698,-0.009254468,8.5819884e-05,1.3811764e-05,1.33879175e-05,2.0,40,0.02028904,5.095968e-06,0,-6.47183267781411e-08,2.0
117,117,2543924.5,699.2772,4434.957,4489.7476,-81.03972,86.74949598699459,-0.009146534,5.6864724e-06,1.4106735e-05,1.3764533e-05,2.0,40,0.020685924,4.607369e-06,0,-7.356086649877646e-08,2.0
118,118,2201436.2,1070.9756,4997.8237,5111.2847,-77.9051,87.30148155990173,-0.00920064,2.4608153e-05,1.4465489e-05,1.3830402e-05,2.0,40,0.02106045,4.120383e-06,0,-7.234796730007571e-08,2.0
119,119,1905053.1,620.95386,6002.5996,6034.6323,-84.0939,88.02049746070406,-0.009212993,2.0942805e-06,1.3917898e-05,1.3770534e-05,2.0,41,0.019513864,3.2336459e-06,0,-8.198676025822257e-08,2.0
120,120,1648567.4,804.19666,6693.1387,6741.279,-83.14862,88.57248436691589,-0.009234513,1.0109113e-05,1.4423931e-05,1.4218661e-05,2.0,41,0.020139283,2.9874573e-06,0,-8.183309386451161e-08,2.0
121,121,1426616.2,1045.8291,7780.8804,7850.8506,-82.34475,89.12450495318626,-0.009144242,3.1278007e-06,1.43378575e-05,1.4083425e-05,2.0,41,0.020576503,2.6209266e-06,0,-8.222418231452109e-08,2.0
122,122,1234551.2,1167.3871,9085.688,9160.378,-82.67839,89.67649940602132,-0.00905997,-4.492235e-06,1.4189045e-05,1.3958606e-05,2.0,41,0.020643575,2.2535723e-06,0,-8.313330197962938e-08,2.0
123,123,1068345.5,1080.867,10094.978,10152.677,-83.88863,90.22850108557031,-0.009187989,5.5635346e-06,1.475717e-05,1.4589911e-05,2.0,41,0.02053291,2.0224134e-06,0,-8.381529493638162e-08,2.0
124,124,924510.06,1782.683,11646.387,11782.032,-81.297424,90.78050260516466,-0.009156427,2.9620705e-06,1.4781459e-05,1.4443062e-05,2.0,41,0.020351462,1.7273304e-06,0,-8.305784831341335e-08,2.0
125,125,800039.0,3079.6187,14360.036,14686.548,-77.89583,91.33250751133892,-0.009115512,-1.6207526e-06,1.3853306e-05,1.3244179e-05,2.0,41,0.021436498,1.4596009e-06,0,-8.275011207757367e-08,2.0
126,126,692334.1,3097.9924,14932.294,15250.277,-78.27917,91.8844912709028,-0.009056281,-1.9466356e-06,1.5394935e-05,1.4759629e-05,2.0,41,0.020179525,1.3232235e-06,0,-8.351924025196311e-08,2.0
127,127,599122.25,3270.9983,17612.484,17913.654,-79.478874,92.43650172380148,-0.008936759,-1.6395288e-05,1.5082873e-05,1.457998e-05,2.0,41,0.020763678,1.1590979e-06,0,-8.3200932750722e-08,2.0
128,128,518454.94,4744.677,20650.455,21188.518,-77.06023,92.98848865667242,-0.009069044,-2.9298649e-06,1.4865499e-05,1.4120094e-05,2.0,41,0.020440292,9.646872e-07,0,-8.397321753653723e-08,2.0
129,129,448662.03,4842.0747,22572.201,23085.709,-77.892685,93.54050150958938,-0.00899012,-6.7678193e-06,1.5715452e-05,1.5024094e-05,2.0,41,0.01997865,8.65412e-07,0,-8.395252988646677e-08,2.0
