True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,391.253,2209.5703,2243.9429,-79.95861,2.4654907037329394,-0.009520492,3.2869033e-05,1.0289947e-05,9.97712e-06,1.0,40,0.010185912,4.539292e-06,0,5.449355612619734e-09,1.0
1,1,6057573.0,607.8598,2316.9363,2395.347,-75.29947,3.0174825699359644,-0.009499381,-9.984139e-08,1.1339852e-05,1.0609593e-05,1.0,40,0.014440802,6.028689e-06,0,-1.215412849609897e-09,1.0
2,2,5242039.0,619.8918,2622.163,2694.4397,-76.699196,3.433501549734501,-0.00930971,-7.42423e-05,1.157871e-05,1.0965859e-05,1.0,40,0.020045815,7.439697e-06,0,-2.388014799578286e-09,1.0
3,3,4536288.0,524.6822,2977.7869,3023.6577,-80.007126,4.665493794920621,-0.009545811,2.3361592e-05,1.1782186e-05,1.1427412e-05,1.0,40,0.02092983,6.9220237e-06,0,-1.6953912913272184e-09,1.0
4,4,3925558.5,614.5877,3401.5532,3456.6287,-79.75837,5.0824913613905665,-0.0095711695,2.72315e-05,1.1919044e-05,1.154225e-05,1.0,40,0.019399654,5.612305e-06,0,-4.685599116236795e-09,1.0
5,5,3397055.0,846.087,3862.3928,3953.978,-77.64409,5.498483114497503,-0.009578641,1.1844834e-05,1.2130009e-05,1.1574587e-05,1.0,40,0.020230372,5.11646e-06,0,-6.391374028453356e-09,1.0
6,6,2939708.2,803.28107,4416.448,4488.906,-79.691505,6.051495834050002,-0.009565654,2.1538255e-05,1.22586525e-05,1.1866102e-05,1.0,40,0.02018331,4.496265e-06,0,-1.1810688657337525e-08,1.0
7,7,2543924.5,691.03015,4897.6543,4946.164,-81.96892,6.603502820275025,-0.009487718,-4.439924e-05,1.2774025e-05,1.2524691e-05,1.0,40,0.020174513,4.07882e-06,0,-1.7493679270387473e-08,1.0
8,8,2201436.2,678.5409,6028.0166,6066.0864,-83.57756,7.322503574454458,-0.009574411,3.401065e-07,1.1993324e-05,1.184326e-05,1.0,41,0.01997742,3.2932965e-06,0,-2.3850624972032126e-08,1.0
9,9,1905053.1,861.71045,6573.883,6630.119,-82.532196,7.874477653967915,-0.009400894,-1.627052e-05,1.2708406e-05,1.2493736e-05,1.0,41,0.020635745,3.1124243e-06,0,-2.4146014219563008e-08,1.0
10,10,1648567.4,738.84607,7636.861,7672.518,-84.47398,8.426483200193616,-0.009716292,1.40029315e-05,1.2641498e-05,1.2524271e-05,1.0,41,0.01971186,2.5691513e-06,0,-2.4513598845031324e-08,1.0
11,11,1426616.2,1146.1995,9214.428,9285.443,-82.909294,8.97848266645451,-0.009585627,3.5129113e-07,1.2107224e-05,1.192274e-05,1.0,41,0.020686738,2.2278675e-06,0,-2.3986018881856807e-08,1.0
12,12,1234551.2,1115.4093,10006.224,10068.2,-83.63941,9.530489999306155,-0.009359439,-1.373982e-05,1.28837055e-05,1.2725578e-05,1.0,41,0.020376962,2.023893e-06,0,-2.4014226514335096e-08,1.0
13,13,1068345.5,1717.2994,11838.544,11962.451,-81.74625,10.082499252195703,-0.009624456,7.948984e-06,1.2583752e-05,1.2324416e-05,1.0,41,0.020664359,1.7274351e-06,0,-2.4580736266194158e-08,1.0
14,14,924510.06,1281.7244,13611.096,13671.311,-84.62046,10.634483891743002,-0.009552146,-4.360019e-06,1.2647813e-05,1.2536644e-05,1.0,41,0.0202001,1.4775541e-06,0,-2.5300638760156523e-08,1.0
15,15,800039.0,2383.374,14057.477,14258.09,-80.3773,11.186484157951782,-0.009374307,-1.7683915e-05,1.4151471e-05,1.3756046e-05,1.0,41,0.02016416,1.414226e-06,0,-2.4042442537157802e-08,1.0
16,16,692334.1,2060.9768,18014.414,18131.926,-83.473335,11.738489970826777,-0.009687133,1.42934305e-05,1.2760987e-05,1.2596117e-05,1.0,41,0.02004258,1.1053751e-06,0,-2.4198725140150163e-08,1.0
17,17,599122.25,3035.9995,21059.693,21277.406,-81.79667,12.290503063733922,-0.009365699,-1.5099211e-05,1.2613995e-05,1.235718e-05,1.0,41,0.020784255,9.768228e-07,0,-2.4166554616688608e-08,1.0
18,18,518454.94,4257.6978,23986.965,24361.906,-79.93481,12.842492716648849,-0.009478365,-8.877667e-06,1.27977555e-05,1.240686e-05,1.0,41,0.020475075,8.4045456e-07,0,-2.435824674652546e-08,1.0
19,19,448662.03,5360.953,27027.463,27554.012,-78.78088,13.394503169489326,-0.009462081,-5.462433e-06,1.3124885e-05,1.2628053e-05,1.0,41,0.020388594,7.399501e-07,0,-2.4215867647834936e-08,1.0
20,20,388258.97,6412.584,28911.95,29614.559,-77.49441,13.946478315716377,-0.009515051,-3.3674803e-06,1.4178205e-05,1.3513427e-05,1.0,41,0.020651504,6.9734295e-07,0,-2.463019220408253e-08,1.0
21,21,335983.9,2565.685,28228.83,28345.186,-84.806725,14.498487381933955,-0.009426736,-9.22031e-06,1.678065e-05,1.6643164e-05,1.0,41,0.020244932,7.1422824e-07,0,-2.3393419996098587e-08,1.0
22,22,290751.2,10750.573,38721.023,40185.727,-74.48312,15.050501141493442,-0.009504766,-3.3376825e-06,1.4136822e-05,1.3125075e-05,1.0,41,0.020493273,5.0996397e-07,0,-2.3770833039707086e-08,1.0
23,23,251605.19,13873.145,44833.695,46931.06,-72.80607,15.602484261064092,-0.009469161,-8.2892175e-06,1.4108993e-05,1.2876101e-05,1.0,41,0.020224143,4.3093303e-07,0,-2.3348982393269718e-08,1.0
24,24,217729.38,18709.727,48146.3,51653.848,-68.763794,16.154486473911675,-0.009690226,1.2006675e-05,1.5182392e-05,1.3190483e-05,1.0,41,0.02022827,3.9161208e-07,0,-2.450399950950239e-08,1.0
25,25,188418.58,19645.398,55887.09,59239.418,-70.63243,16.87349232143606,-0.009564462,-1.8426842e-07,1.5114191e-05,1.3451983e-05,1.0,42,0.019900663,3.3593616e-07,0,-2.453355003885408e-08,1.0
26,26,163051.14,24105.086,61301.69,65870.73,-68.534225,17.289481114508817,-0.0095988,-2.2300826e-07,1.5922962e-05,1.3790622e-05,1.0,42,0.021734228,3.2995277e-07,0,-2.456327444382013e-08,1.0
