True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,279.0623,2140.142,2158.2595,-82.57088,2.4674860638624523,-0.0164588,1.422643e-05,1.0623763e-05,1.044615e-05,1.0,40,0.01019379,4.7231533e-06,0,1.099546820538914e-08,1.0
1,1,6057573.0,585.68774,2346.4482,2418.4395,-75.985,3.0194935034087393,-0.016441155,-4.1050298e-05,1.1197228e-05,1.054052e-05,1.0,40,0.014447405,5.9738545e-06,0,7.79588005761885e-09,1.0
2,2,5242039.0,368.88892,2769.9692,2794.4246,-82.41431,3.435491283162264,-0.016376987,-8.7210254e-05,1.0960868e-05,1.076986e-05,1.0,40,0.02008,7.185737e-06,0,-6.750239084706461e-09,1.0
3,3,4536288.0,446.11847,3087.0513,3119.1196,-81.776955,4.667493821674725,-0.016534686,4.8069534e-05,1.1365163e-05,1.1132669e-05,1.0,40,0.019942977,6.3937837e-06,0,1.175243947727722e-09,1.0
4,4,3925558.5,532.012,3480.4414,3520.8677,-81.30917,5.083494588063331,-0.016517658,-8.081523e-06,1.1648884e-05,1.1382917e-05,1.0,40,0.018971104,5.38819e-06,0,2.2399284370193426e-09,1.0
5,5,3397055.0,641.9024,3936.4446,3988.4375,-80.738495,5.499477967823623,-0.01651911,-1.9789704e-06,1.19018205e-05,1.1593541e-05,1.0,40,0.019871825,4.9823584e-06,0,4.342972754342453e-09,1.0
6,6,2939708.2,810.1581,4409.755,4483.558,-79.58974,5.915501214301912,-0.01663895,3.8134265e-05,1.227726e-05,1.1876398e-05,1.0,40,0.021734105,4.847513e-06,0,-5.668622762742517e-10,1.0
7,7,2543924.5,746.1161,5021.7144,5076.84,-81.548935,6.467499880498508,-0.016530998,-2.7896253e-05,1.2458447e-05,1.2189363e-05,1.0,40,0.020615036,4.0606037e-06,0,-2.517787238022922e-09,1.0
8,8,2201436.2,402.18652,6189.228,6202.2817,-86.28205,7.186484074656619,-0.016509889,-2.6747612e-06,1.1680932e-05,1.1631816e-05,1.0,41,0.019977588,3.2210062e-06,0,-4.536628861165089e-09,1.0
9,9,1905053.1,696.52167,6835.5244,6870.9194,-84.18179,7.738503060856601,-0.016462712,-9.523846e-06,1.2221969e-05,1.2096372e-05,1.0,41,0.020002771,2.9112218e-06,0,-4.395723844083932e-09,1.0
10,10,1648567.4,588.58575,8191.0747,8212.194,-85.88996,8.290478900395101,-0.016499566,-3.6188735e-06,1.17861655e-05,1.1725622e-05,1.0,41,0.020020807,2.4379365e-06,0,-4.321643361492988e-09,1.0
11,11,1426616.2,906.18726,9256.292,9300.544,-84.408585,8.842495139950188,-0.016542979,3.1594577e-06,1.2052466e-05,1.1938048e-05,1.0,41,0.020527745,2.2071554e-06,0,-2.565732486115419e-09,1.0
12,12,1234551.2,1161.4824,11000.186,11061.335,-83.97261,9.39447956616641,-0.016539717,-2.0062237e-06,1.1719551e-05,1.1590333e-05,1.0,41,0.02060683,1.8629606e-06,0,-1.709651689494428e-09,1.0
13,13,1068345.5,1003.86316,11602.652,11645.999,-85.05508,9.946498872392112,-0.01657305,5.3270373e-06,1.28395895e-05,1.2744189e-05,1.0,41,0.02029316,1.7425006e-06,0,-1.134467064010399e-09,1.0
14,14,924510.06,2478.2822,13906.118,14125.226,-79.8951,10.498500685294857,-0.016639378,5.3922145e-06,1.2379485e-05,1.1998408e-05,1.0,41,0.020383108,1.4430289e-06,0,-7.800753503456942e-10,1.0
15,15,800039.0,-606.1883,15724.993,15736.673,-92.20762,11.050483618193539,-0.016490288,-2.3488662e-06,1.2650814e-05,1.2632043e-05,1.0,41,0.020849803,1.3249181e-06,0,-1.5531542853245304e-09,1.0
16,16,692334.1,3160.9844,18017.623,18292.8,-80.04938,11.60248033775133,-0.016512515,-1.1589328e-06,1.2758714e-05,1.2377744e-05,1.0,41,0.020567495,1.1243492e-06,0,-1.0977565315160279e-09,1.0
17,17,599122.25,3028.0007,21823.863,22032.926,-82.1008,12.154490497283405,-0.016314404,-1.3588984e-05,1.21723115e-05,1.194241e-05,1.0,41,0.020655569,9.3748645e-07,0,-4.5890239743881817e-10,1.0
18,18,518454.94,4361.82,24573.564,24957.676,-79.93481,12.706501083477633,-0.016727526,1.3993619e-05,1.2492258e-05,1.2110693e-05,1.0,41,0.020440284,8.189979e-07,0,-1.3300350615313365e-09,1.0
19,19,448662.03,5540.718,26953.084,27516.691,-78.38359,13.2585026830493,-0.016744982,1.647218e-05,1.3161105e-05,1.26274845e-05,1.0,41,0.020328157,7.387573e-07,0,-8.956786840788784e-10,1.0
20,20,388258.97,6029.742,32853.355,33402.105,-79.59996,13.810482922621304,-0.016452596,-1.1060143e-05,1.2477251e-05,1.2070651e-05,1.0,41,0.020987183,6.283192e-07,0,-2.017194786938761e-10,1.0
21,21,335983.9,4501.794,36226.957,36505.598,-82.916374,14.363484095520107,-0.016512645,-2.4475642e-06,1.3075845e-05,1.2876996e-05,1.0,41,0.020086402,5.50228e-07,0,-8.942430542775683e-10,1.0
22,22,290751.2,10115.345,39917.457,41179.164,-75.780205,14.915493455104297,-0.016547747,5.807477e-06,1.3713104e-05,1.2885654e-05,1.0,41,0.020528354,4.9851315e-07,0,-7.252192216608617e-10,1.0
23,23,251605.19,13796.396,44590.527,46676.07,-72.80783,15.467478574631969,-0.016391186,-1.295398e-05,1.4185935e-05,1.2946566e-05,1.0,41,0.0204048,4.3715764e-07,0,-6.214678535280251e-10,1.0
24,24,217729.38,15095.586,50453.383,52663.273,-73.34289,16.186485648766393,-0.016531892,-5.7688555e-07,1.4488146e-05,1.3297736e-05,1.0,42,0.01950616,3.70394e-07,0,-8.615094757452467e-10,1.0
25,25,188418.58,18868.9,58713.098,61670.6,-72.183914,16.602487268537516,-0.016506739,-4.290025e-07,1.4386707e-05,1.3039923e-05,1.0,42,0.021685595,3.5163586e-07,0,-8.560559124944294e-10,1.0
26,26,163051.14,23240.535,65315.254,69326.8,-70.413376,17.15449657474528,-0.016618194,5.3857235e-07,1.494451e-05,1.3265043e-05,1.0,42,0.020822294,3.0034985e-07,0,-1.018096839904676e-09,1.0
27,27,141098.2,31604.238,70865.94,77593.875,-65.964455,17.70648252099636,-0.016573552,1.3831853e-07,1.5916996e-05,1.3276429e-05,1.0,42,0.020280326,2.6136505e-07,0,-1.0697172480885877e-09,1.0
28,28,122105.11,37184.86,78739.836,87078.56,-64.72099,18.12250248741475,-0.016509106,-5.06855e-07,1.6553575e-05,1.3535002e-05,1.0,42,0.021838091,2.507861e-07,0,-9.675570956273717e-10,1.0
29,29,105663.59,44857.938,84126.7,95339.06,-61.932625,18.674492326943437,-0.016472643,-2.3828129e-07,1.7904445e-05,1.3940774e-05,1.0,42,0.020623844,2.1632103e-07,0,-9.986697179815708e-10,1.0
30,30,91439.65,46704.344,108111.93,117768.78,-66.63566,19.090489386726404,-0.016336165,-1.7104103e-06,1.6099484e-05,1.3567469e-05,1.0,42,0.021941883,1.8631324e-07,0,-9.892354473493014e-10,1.0
31,31,79127.08,67944.78,97844.6,119122.03,-55.223297,19.642494772939244,-0.016580706,-1.869091e-08,2.0556923e-05,1.3869081e-05,1.0,42,0.020003807,1.6792701e-07,0,-1.018127134258467e-09,1.0
32,32,68475.36,78559.37,105301.914,131377.58,-53.275616,20.05849183272221,-0.01657195,3.2140346e-07,2.20724e-05,1.4180109e-05,1.0,42,0.020776829,1.5814592e-07,0,-1.018858338288532e-09,1.0
33,33,59252.523,92713.23,115023.13,147736.47,-51.129803,20.474481799144996,-0.016386472,-1.3794422e-06,2.3352213e-05,1.4155429e-05,1.0,42,0.021532627,1.4575025e-07,0,-1.0548457621924158e-09,1.0
34,34,51282.285,107227.45,116049.555,158003.88,-47.262688,21.02649777199258,-0.016458074,-7.3072897e-07,2.6742948e-05,1.4426493e-05,1.0,42,0.020181835,1.2773e-07,0,-1.2108218918051644e-09,1.0
35,35,44369.8,131427.53,112682.586,173120.08,-40.608936,21.442495551746106,-0.016768571,1.629073e-06,3.1832875e-05,1.3486354e-05,1.0,42,0.02064145,1.1923198e-07,0,-1.206673367260041e-09,1.0
36,36,38403.727,146501.28,101914.62,178463.48,-34.82467,21.85849031820544,-0.016703062,7.134626e-07,4.0664017e-05,1.3261251e-05,1.0,42,0.020926634,1.17260036e-07,0,-1.2085427304030382e-09,1.0
37,37,33226.32,158899.02,105649.086,190815.69,-33.619217,22.27450052459608,-0.016631255,5.0542e-07,4.533902e-05,1.3898742e-05,1.0,42,0.021070326,1.104224e-07,0,-1.3099965397058216e-09,1.0
38,38,28754.086,173349.16,99279.22,199765.6,-29.800303,22.690484651044244,-0.016425095,-1.3362314e-06,5.5752225e-05,1.3770114e-05,1.0,42,0.021174451,1.05996484e-07,0,-1.3145991701974205e-09,1.0
39,39,24884.947,183461.94,96300.31,207200.47,-27.69526,23.106489470781526,-0.016610406,3.1022878e-07,6.64134e-05,1.4345961e-05,1.0,42,0.021288196,1.0274203e-07,0,-1.3224523483391279e-09,1.0
40,40,21553.963,191856.19,88565.93,211311.9,-24.779306,23.523498370632296,-0.01652377,-6.6162954e-07,8.337317e-05,1.4645754e-05,1.0,42,0.02114358,1.0005863e-07,0,-1.336603312567735e-09,1.0
41,41,18631.234,200863.92,77193.43,215186.3,-21.022121,23.939484683709452,-0.016397893,-1.232117e-06,0.00011066191,1.4240643e-05,1.0,42,0.021046182,9.7804474e-08,0,-1.5252720379507817e-09,1.0
42,42,16126.037,205295.62,66133.65,215684.84,-17.855755,24.355487770139007,-0.016501633,2.8244456e-08,0.00014923475,1.4030582e-05,1.0,42,0.020758979,9.6246815e-08,0,-1.5674476561044296e-09,1.0
43,43,13954.87,181886.22,41406.695,186539.84,-12.824907,24.77149720324087,-0.016740493,1.0261788e-06,0.00027543795,1.3571308e-05,1.0,42,0.020141985,1.0797685e-07,0,-1.4727940418920818e-09,1.0
44,44,12080.609,219533.5,53203.832,225888.48,-13.62295,25.18749244962237,-0.01642694,-1.1227872e-06,0.0002476215,1.3736813e-05,1.0,42,0.020250484,8.964815e-08,0,-1.5694860040122746e-09,1.0
45,45,10447.592,225795.73,47906.36,230821.86,-11.978632,25.60348646939383,-0.016649216,9.183389e-07,0.00031798804,1.36975605e-05,1.0,42,0.019779487,8.569157e-08,0,-1.5530297424495546e-09,1.0
46,46,9045.586,225095.56,40828.137,228768.33,-10.280617,26.176243323279778,-0.016520396,5.4320104e-08,0.000430947,1.3726227e-05,1.0,42,0.020257335,8.854956e-08,0,-1.6464150823269662e-09,1.0
