True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,371.56726,2085.118,2117.9658,-79.89597,2.4674942238198128,-0.025438663,-1.913302e-05,1.0904113e-05,1.05685085e-05,1.0,40,0.010247583,4.838408e-06,0,7.954888948631833e-09,1.0
1,1,6057573.0,255.26068,2260.2822,2274.6501,-83.55671,3.019493636704283,-0.025291732,-6.3227926e-05,1.1624086e-05,1.1477702e-05,1.0,40,0.014517645,6.382364e-06,0,5.228798239272692e-09,1.0
2,2,5242039.0,435.7554,2695.6956,2730.688,-80.81765,3.4354923498176504,-0.025387928,-1.9691284e-05,1.12628695e-05,1.0976062e-05,1.0,40,0.02013315,7.3729225e-06,0,3.7928567480270835e-09,1.0
3,3,4536288.0,461.34674,3067.0576,3101.5615,-81.4457,4.668481315049576,-0.025387798,-5.0687857e-05,1.1439251e-05,1.118615e-05,1.0,40,0.020091549,6.477882e-06,0,-3.3595275487433203e-09,1.0
4,4,3925558.5,489.32053,3413.2688,3448.1646,-81.84176,5.084480081481161,-0.02537045,-6.423259e-05,1.1878134e-05,1.1638934e-05,1.0,40,0.019091122,5.536604e-06,0,-4.1995924829052454e-10,1.0
5,5,3397055.0,533.5706,3964.308,4000.0544,-82.33442,5.500491887883982,-0.025412187,-4.646445e-05,1.1818168e-05,1.1607886e-05,1.0,40,0.020084227,5.0209883e-06,0,-5.585328412454121e-09,1.0
6,6,2939708.2,669.4594,4579.9824,4628.6514,-81.68393,5.916483134351438,-0.025474584,4.5329393e-06,1.1820942e-05,1.1573661e-05,1.0,40,0.021886624,4.7285102e-06,0,-6.950091914328975e-09,1.0
7,7,2543924.5,758.90717,5196.879,5251.9985,-81.69175,6.635490608488908,-0.025502289,-3.6114357e-06,1.2038526e-05,1.1787164e-05,1.0,41,0.019968787,3.802131e-06,0,-7.863026063451055e-09,1.0
8,8,2201436.2,588.97235,5871.566,5901.0317,-84.271866,7.187480208027409,-0.025522318,4.904319e-06,1.2312892e-05,1.2190234e-05,1.0,41,0.020716058,3.5105825e-06,0,-6.8579641419780225e-09,1.0
9,9,1905053.1,829.5564,6695.658,6746.851,-82.93735,7.7394867942493875,-0.025330188,-9.009886e-06,1.2477275e-05,1.2288647e-05,1.0,41,0.020885974,3.0956626e-06,0,-6.94118728443982e-09,1.0
