True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,323.1196,2300.614,2323.194,-82.00514,2.4674996905087028,-0.029605808,5.660952e-05,9.882736e-06,9.691561e-06,1.0,40,0.009785386,4.2120396e-06,0,1.4517307107805917e-08,1.0
1,1,6057573.0,950.3507,2292.9756,2482.1167,-67.48786,3.0194788633671124,-0.029483585,-1.9263349e-05,1.145835e-05,9.778597e-06,1.0,40,0.013433742,5.412212e-06,0,1.692556784960036e-08,1.0
2,2,5242039.0,382.91907,2672.8884,2700.1777,-81.84726,3.435497603175463,-0.02959733,2.1575477e-05,1.1358972e-05,1.1130534e-05,1.0,40,0.018893793,6.9972407e-06,0,1.6801026363193865e-08,1.0
3,3,4536288.0,206.94482,2955.2705,2962.5073,-85.99436,4.803491428116104,-0.029490143,-1.9523808e-05,1.1871956e-05,1.1814025e-05,1.0,40,0.019884223,6.7119577e-06,0,1.4565131484245184e-08,1.0
4,4,3925558.5,400.3389,3295.403,3319.6313,-83.07342,5.219487047899747,-0.029600872,-6.965203e-06,1.2302975e-05,1.2124044e-05,1.0,40,0.018846914,5.677412e-06,0,1.4491553139742387e-08,1.0
5,5,3397055.0,526.9144,3701.6924,3739.0059,-81.898705,5.635483414313057,-0.029501153,-1.3123559e-05,1.2656605e-05,1.2405252e-05,1.0,40,0.020157339,5.391096e-06,0,1.739411676160469e-08,1.0
6,6,2939708.2,338.8325,4313.045,4326.334,-85.50807,6.187502747197868,-0.029337438,-0.00012622574,1.2552549e-05,1.24755525e-05,1.0,40,0.020894252,4.829551e-06,0,-2.959933892851849e-10,1.0
7,7,2543924.5,360.67633,5078.618,5091.409,-85.93775,6.739491146727232,-0.029473355,-0.000102503865,1.2318855e-05,1.2257036e-05,1.0,40,0.020774025,4.0802115e-06,0,3.4302784030539138e-09,1.0
8,8,2201436.2,283.21295,5574.4106,5581.6006,-87.09154,7.458486220886698,-0.0296604,3.922945e-06,1.2969255e-05,1.2935865e-05,1.0,41,0.019960698,3.5761602e-06,0,-1.7196941106476516e-09,1.0
9,9,1905053.1,-447.053,7263.0083,7276.754,-93.52223,8.010492113797227,-0.029576724,-3.7138443e-06,1.1502612e-05,1.1459198e-05,1.0,41,0.020505875,2.8179977e-06,0,-2.8032577581850798e-09,1.0
10,10,1648567.4,233.75119,7262.5635,7266.324,-88.156525,8.562479126645485,-0.029644767,7.172461e-06,1.3293015e-05,1.3279259e-05,1.0,41,0.019638013,2.7026063e-06,0,-3.763886352880756e-09,1.0
11,11,1426616.2,328.90192,8393.437,8399.878,-87.75598,9.114486646227306,-0.029547473,-3.9428915e-06,1.3291475e-05,1.32710975e-05,1.0,41,0.020208636,2.405825e-06,0,-4.93654797164014e-09,1.0
12,12,1234551.2,388.47388,10277.861,10285.2,-87.83541,9.666494672448607,-0.029541027,-3.0639403e-06,1.2543197e-05,1.2525304e-05,1.0,41,0.020640206,2.0067869e-06,0,-5.643788701048733e-09,1.0
13,13,1068345.5,1762.7065,12008.85,12137.528,-81.64953,10.218493338645203,-0.02961667,6.6752555e-06,1.2405292e-05,1.2143652e-05,1.0,41,0.020750772,1.7096373e-06,0,-4.8692017399661025e-09,1.0
14,14,924510.06,481.25537,14036.428,14044.676,-88.036316,10.770504298183369,-0.029590214,2.1687829e-06,1.2264558e-05,1.2250157e-05,1.0,41,0.020325394,1.4471957e-06,0,-6.611982362474894e-09,1.0
15,15,800039.0,3892.0364,13227.202,13787.923,-73.60375,11.322500751091866,-0.029650003,7.3456413e-06,1.5039762e-05,1.3841376e-05,1.0,41,0.021415645,1.5532177e-06,0,-7.018437036006415e-09,1.0
16,16,692334.1,16.162777,18347.752,18347.76,-89.949524,11.874478697340237,-0.029635191,6.842852e-06,1.2529149e-05,1.2529137e-05,1.0,41,0.020290626,1.1058912e-06,0,-8.479765268011382e-09,1.0
17,17,599122.25,677.62555,19975.404,19986.895,-88.0571,12.426486110227415,-0.029705545,1.39545145e-05,1.3298697e-05,1.3283412e-05,1.0,41,0.020639118,1.0326326e-06,0,-8.922259086328192e-09,1.0
18,18,518454.94,532.8115,23892.17,23898.11,-88.72248,12.978499469725648,-0.029603126,2.1631993e-06,1.2848533e-05,1.2842146e-05,1.0,41,0.020337917,8.510262e-07,0,-8.932463645670907e-09,1.0
19,19,448662.03,-548.4852,29229.977,29235.123,-91.075,13.530480535962852,-0.029627496,5.9247973e-06,1.213591e-05,1.2131637e-05,1.0,41,0.020355187,6.96258e-07,0,-9.10007312919308e-09,1.0
20,20,388258.97,2475.7947,32844.918,32938.098,-85.68929,14.08249410885037,-0.029538771,-5.492222e-06,1.24804565e-05,1.2409943e-05,1.0,41,0.020800324,6.314974e-07,0,-9.193351485909792e-09,1.0
