True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,THD_I,NSD_I,NSR_I,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
42,42,7000018.5,40.26434,955.5014,956.34937,-87.58701,46.17047963294317,-0.19406727,-2.6510332e-05,2.3795214e-05,2.3753037e-05,2.0,40,0.012307905,1.2869674e-05,0,-3.262889685014055e-08,7.1767907,0.092371255,4.919696,0.00029636844,5.6190314e-05,0.0003989851,0.0007277739,7.917923e-06,1.4339563e-05,33.339867,0.9303254,25.67371,1.1184328e-06,2.8087794e-07,7.5723307e-07,4.060741e-06,3.5909444e-08,1.0200681e-07,2.0
43,43,4765894.0,103.64782,1438.8915,1442.6196,-85.87992,47.476485268300166,-0.19404964,-7.515569e-06,2.3208535e-05,2.3088733e-05,2.0,40,0.021354675,1.4802707e-05,0,-2.7000250306726443e-08,3.3900774,0.11142123,1.6785643,0.00071410794,8.226926e-05,2.8044883e-06,1.826722e-05,7.464921e-05,3.6933197e-05,15.514908,0.22248118,12.350071,2.2374606e-06,2.989894e-07,5.8335043e-08,6.4181854e-08,3.5936452e-07,1.8856687e-07,2.0
44,44,3244822.5,127.718895,2163.6484,2167.4148,-86.62178,48.290484106953954,-0.19409086,-1.078554e-06,2.2669528e-05,2.259081e-05,2.0,40,0.020456575,9.438238e-06,0,-2.884638390297208e-08,4.0584073,0.0799219,1.6844362,0.00079903344,0.00022363584,2.0475143e-05,4.3925e-06,1.0968503e-05,1.3506602e-05,20.635023,0.38650906,13.428374,1.9239933e-06,2.492552e-07,1.0960915e-07,8.716388e-08,4.7802608e-08,6.4716495e-08,2.0
45,45,2209211.8,162.97812,3135.56,3139.7927,-87.0246,49.104483345668996,-0.19409832,-2.0273508e-06,2.2975642e-05,2.2913739e-05,2.0,40,0.021828191,6.952112e-06,0,-2.71652703671355e-08,2.4303067,0.044629898,1.5478035,0.0004146849,0.00030819656,0.00011372453,3.2550877e-05,1.7870201e-05,1.109244e-05,8.018021,0.2920492,12.52499,2.9465448e-07,2.6835943e-07,3.7388003e-07,7.669343e-08,4.1803325e-08,4.5195577e-08,2.0
46,46,1504119.6,177.39035,4570.147,4573.5884,-87.777176,49.918489970994415,-0.19408809,-4.7993713e-06,2.3153018e-05,2.3118188e-05,2.0,40,0.020956833,4.5821425e-06,0,-3.299774138375936e-08,1.3063216,0.06497654,1.5702226,0.00019865681,0.00013468102,0.00011906089,3.6671918e-05,4.1099796e-05,5.9567474e-06,3.7832158,0.21202959,7.8451138,1.273639e-07,1.5897832e-07,9.837774e-08,1.1969975e-07,1.0090969e-07,6.728587e-08,2.0
47,47,1024068.44,216.31654,6932.853,6936.227,-88.21285,50.89849401751417,-0.1941039,1.3929424e-06,2.2417085e-05,2.2395281e-05,2.0,41,0.019867957,2.8643751e-06,0,-3.3151833204135074e-08,0.8551921,0.062518485,1.6297603,0.00012725916,7.300188e-05,6.3337626e-05,3.0284751e-05,4.8292743e-05,4.499154e-06,3.3896701,0.19139408,7.906759,4.8251756e-08,4.7566697e-08,4.9491668e-08,8.348642e-09,5.1012663e-08,2.7831396e-08,2.0
48,48,697233.1,329.6222,10086.783,10092.168,-88.12832,51.71249642953626,-0.19410151,1.6579584e-07,2.2630255e-05,2.2606111e-05,2.0,41,0.021181606,2.0988161e-06,0,-3.375360935236789e-08,0.5549011,0.059251565,1.5283023,9.16924e-05,4.8017217e-05,4.2987365e-05,2.0692753e-05,2.6904352e-05,8.360228e-06,2.560657,0.4266255,7.9377074,1.8533767e-08,1.32375515e-08,2.5632003e-08,1.811225e-08,2.6722724e-08,2.2077137e-08,2.0
49,49,474706.8,495.81235,14718.345,14726.693,-88.070625,52.526498628169065,-0.19409798,-3.518817e-07,2.2779055e-05,2.2753236e-05,2.0,41,0.02136915,1.4510488e-06,0,-3.349429277230066e-08,0.42004317,0.05463267,1.5543932,7.426713e-05,3.357859e-05,2.9433755e-05,1.4469898e-05,1.792706e-05,2.153919e-06,2.808459,0.18196021,7.901809,5.3030806e-09,5.903279e-09,6.777502e-09,1.26169e-08,1.7563998e-08,3.2029263e-08,2.0
50,50,323198.12,750.1943,21413.52,21426.656,-87.99354,53.34049784016679,-0.1940994,-1.5821774e-07,2.2996579e-05,2.296839e-05,2.0,41,0.021457868,1.0014567e-06,0,-3.273790135063869e-08,0.32834536,0.043970555,1.5240592,5.7385063e-05,2.8481527e-05,2.1426642e-05,1.4846733e-05,1.0587836e-05,2.9581904e-06,1.1170233,0.19470075,6.267262,4.4446624e-09,2.324275e-09,7.503927e-09,4.431326e-09,5.846423e-09,6.5955326e-09,2.0
51,51,220049.0,1092.6766,31267.512,31286.598,-87.99855,54.15449235882261,-0.1940967,-1.1041905e-06,2.3131694e-05,2.310348e-05,2.0,41,0.021151522,6.7605697e-07,0,-3.353381028467142e-08,0.24959894,0.08118356,1.5313746,3.907798e-05,1.8554278e-05,2.392077e-05,7.729246e-06,1.3402638e-05,7.0271426e-06,1.9115297,0.18791072,5.7241025,2.3450109e-09,2.712384e-09,8.953247e-09,4.4185167e-09,9.936888e-09,9.03728e-09,2.0
