True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,1000018.56,1870.7238,2264.6267,2937.3699,-50.44116,2.3444802179874387,0.14285085,-3.862858e-05,7.027736e-05,4.1772593e-05,1.0,40,0.009763835,3.324006e-06,0,-1.0342176905497682e-08,1.0
1,1,865962.75,2111.6514,2380.3909,3182.0327,-48.423683,2.6284835647966247,0.14284497,-4.6883437e-05,7.7209836e-05,4.3207576e-05,1.0,40,0.01021038,3.2087603e-06,0,-1.5648960531469434e-08,1.0
2,2,749897.94,2373.5566,2490.7822,3440.6057,-46.3805,2.9125003249791916,0.14284901,-5.1299703e-05,8.520837e-05,4.4656423e-05,1.0,40,0.010769166,3.1300203e-06,0,-1.9459901845051617e-08,1.0
3,3,649383.94,2650.0654,2586.1965,3702.8718,-44.301174,3.331498451560037,0.14284495,-5.7281242e-05,9.476698e-05,4.6227753e-05,1.0,40,0.010188614,2.751544e-06,0,-2.3325462458198367e-08,1.0
4,4,562342.25,2932.0269,2658.046,3957.5232,-42.19406,3.6154981716827024,0.14285333,-5.661041e-05,0.00010647728,4.8032474e-05,1.0,40,0.010977949,2.7739443e-06,0,-2.9596900336767047e-08,1.0
5,5,486963.72,3238.074,2728.6292,4234.447,-40.119846,4.035489205009071,0.1428392,-5.9219186e-05,0.00011977854,4.9736438e-05,1.0,40,0.010196856,2.4080728e-06,0,-4.041364575732587e-08,1.0
6,6,421698.72,3532.1865,2769.4807,4488.47,-38.098923,4.454497678234475,0.14284573,-5.6181838e-05,0.00013627604,5.1882333e-05,1.0,40,0.01010702,2.2517738e-06,0,-4.8373174892251174e-08,1.0
7,7,365174.06,3849.1843,2807.5037,4764.273,-36.10612,4.87349367144634,0.14284435,-5.9890015e-05,0.00015523867,5.3907264e-05,1.0,40,0.010128467,2.125921e-06,0,-5.269855379498899e-08,1.0
8,8,316229.97,4149.8945,2803.527,5008.1323,-34.04162,5.29248774467851,0.14284292,-6.0728547e-05,0.00017951979,5.6256184e-05,1.0,40,0.010153283,2.0273592e-06,0,-6.061555466059569e-08,1.0
9,9,273845.75,4563.2925,2801.0664,5354.401,-31.542675,6.012476312200306,0.14285359,-6.890614e-06,0.00020748691,5.6782665e-05,1.0,41,0.009808597,1.8318758e-06,0,-6.511339776431176e-08,1.0
10,10,237140.0,4874.824,2772.447,5608.0635,-29.628084,6.296476859046379,0.14284523,-6.610888e-06,0.00024207617,5.9163343e-05,1.0,41,0.010792588,1.9244767e-06,0,-6.506320003698028e-08,1.0
11,11,205351.84,5180.8433,2733.962,5857.959,-27.820879,6.715486158936983,0.14284456,-6.9129937e-06,0.00028348435,6.174778e-05,1.0,41,0.010198539,1.7409714e-06,0,-6.697507591059725e-08,1.0
12,12,177831.8,5486.5767,2665.5234,6099.7983,-25.911703,7.134480365522904,0.14284468,-6.519506e-06,0.00033575943,6.411539e-05,1.0,41,0.010139033,1.6621915e-06,0,-6.790195682457857e-08,1.0
13,13,153995.31,5771.3315,2586.851,6324.5605,-24.143082,7.553502172086155,0.14284262,-6.758203e-06,0.00039952248,6.683799e-05,1.0,41,0.0101192435,1.5999916e-06,0,-6.848369856953379e-08,1.0
14,14,133350.66,6049.3843,2489.097,6541.4565,-22.365345,7.972498245333554,0.14284255,-6.5567983e-06,0.00047949396,6.942532e-05,1.0,41,0.010119327,1.5469533e-06,0,-6.865258503009702e-08,1.0
15,15,115480.25,6317.2007,2385.9192,6752.75,-20.690855,8.39149189190357,0.1428382,-6.498987e-06,0.00057763926,7.211188e-05,1.0,41,0.010121856,1.4989236e-06,0,-7.04989880771652e-08,1.0
16,16,100003.71,6563.159,2256.0142,6940.076,-18.969847,8.810491458425531,0.14283735,-6.769388e-06,0.0007054434,7.45448e-05,1.0,41,0.01011349,1.4572591e-06,0,-7.13904405175059e-08,1.0
17,17,86596.27,6786.371,2128.496,7112.3364,-17.413654,9.229476785025327,0.1428369,-7.2598436e-06,0.00086347165,7.7333774e-05,1.0,41,0.010141641,1.4259225e-06,0,-7.149050044775625e-08,1.0
18,18,74988.87,6981.9985,1990.5065,7260.1943,-15.912386,9.64949368496309,0.1428389,-7.1889767e-06,0.0010662518,8.014758e-05,1.0,41,0.010136684,1.3962001e-06,0,-7.106485151653411e-08,1.0
19,19,64940.242,7173.6475,1838.2288,7405.424,-14.372641,10.068482744885841,0.14283332,-7.2411913e-06,0.001333235,8.2149694e-05,1.0,41,0.010127864,1.3676279e-06,0,-7.329706924015353e-08,1.0
