True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,THD_I,NSD_I,NSR_I,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
0,0,7000018.5,178.9264,668.7403,692.2631,-75.02095,2.6124761507089715,-0.17104939,-5.135566e-05,3.3998793e-05,3.1727515e-05,1.0,40,0.011581145,1.6729398e-05,0,-1.5864565779035426e-08,6.4182944,0.14890604,5.2511673,0.00023251478,4.5087796e-05,0.0002638326,0.00065314973,5.676129e-06,7.1906634e-06,22.230257,0.6377701,20.230854,9.549253e-07,2.0465384e-07,6.868962e-07,3.5209712e-06,4.1468045e-08,6.9067625e-08,1.0
1,1,4765894.0,332.11008,903.0004,962.1366,-69.80723,4.0534917391778436,-0.17099315,-6.3896296e-05,3.698178e-05,3.2575434e-05,1.0,40,0.021562554,2.2411115e-05,0,-4.842530758874217e-08,3.1156197,0.10296699,1.6216725,0.00066063524,8.373005e-05,8.1491535e-06,1.7566628e-05,7.8735255e-05,3.555714e-05,10.395909,0.10325895,8.29291,2.2332283e-06,4.362069e-07,4.162072e-08,1.0903768e-07,4.148583e-07,2.2924776e-07,1.0
2,2,3244822.5,505.34314,1225.9395,1326.0088,-67.59811,4.86747567114071,-0.17105882,-6.2983236e-05,4.0009225e-05,3.419837e-05,1.0,40,0.020800991,1.5686917e-05,0,-6.162635076824093e-08,3.90246,0.084244855,1.6221266,0.0007930848,0.0001721677,6.8925606e-06,1.1507327e-05,7.4196373e-06,4.1292915e-06,13.599449,0.27279827,8.158073,2.0984908e-06,3.3293196e-07,1.0562329e-07,8.40892e-08,8.378521e-08,8.4125865e-08,1.0
3,3,2209211.8,764.3833,1587.0133,1761.503,-64.28226,5.681484723143512,-0.17106505,-5.8660124e-05,4.5394394e-05,3.6846526e-05,1.0,40,0.02121797,1.2045378e-05,0,-7.307313316406945e-08,2.1155875,0.061864793,1.5575033,0.00038938862,0.00021157003,6.7910834e-05,1.674039e-05,1.1883897e-05,6.0523716e-06,5.0663624,0.20255525,7.4113216,4.169143e-07,3.5153556e-07,2.4962085e-07,2.4758004e-08,6.7941016e-08,3.9485755e-08,1.0
4,4,1504119.6,1127.8809,2020.9028,2314.3386,-60.83379,6.495482628495665,-0.17107196,-6.188381e-05,5.2359122e-05,3.9923572e-05,1.0,40,0.020909686,9.034843e-06,0,-8.303831828701252e-08,1.1661241,0.07043512,1.5666684,0.00019684948,0.00010153891,9.346825e-05,2.3697206e-05,3.0990668e-05,6.5857084e-06,2.8000932,0.18095659,6.1159134,1.4292878e-07,1.6929991e-07,1.0004279e-07,1.0157911e-07,4.7280892e-08,7.9932725e-08,1.0
5,5,1024068.44,1612.1392,2514.2314,2986.6958,-57.331783,7.309493120497791,-0.17106539,-6.3374515e-05,6.1813866e-05,4.3804062e-05,1.0,40,0.021265525,7.120084e-06,0,-9.001492026120812e-08,0.73743,0.05545957,1.5294924,0.0001268148,5.2228752e-05,6.410521e-05,2.1520867e-05,3.0900123e-05,1.4958568e-05,2.47797,0.1388893,5.5341663,9.5622084e-08,4.7641382e-08,9.1011174e-08,2.519162e-08,1.191489e-07,4.575685e-08,1.0
6,6,697233.1,2243.191,3055.4246,3790.452,-53.715126,8.123489639168838,-0.17106736,-6.589012e-05,7.470859e-05,4.8543567e-05,1.0,40,0.02135273,5.633294e-06,0,-1.0392240248789777e-07,0.45812246,0.096405186,1.5214859,8.2549195e-05,3.4099885e-05,3.4092558e-05,1.2340895e-05,1.5124894e-05,6.3739385e-06,1.8865776,0.16092074,5.767472,5.7345694e-08,3.3677715e-08,4.7823313e-08,3.7853738e-08,3.0935436e-08,3.954204e-08,1.0
7,7,474706.8,3058.706,3654.5876,4765.6787,-50.07236,8.937490691168932,-0.1710819,-6.512613e-05,9.173949e-05,5.3949017e-05,1.0,40,0.021403203,4.491113e-06,0,-1.1151123440269355e-07,0.34432158,0.041893087,1.4973981,5.8553935e-05,2.4270345e-05,2.449578e-05,1.4609394e-05,2.0676653e-05,8.571812e-06,1.4916974,0.15493117,5.7108917,2.7420409e-08,1.3726737e-08,1.5957331e-08,1.991763e-08,2.4775959e-08,4.1334182e-08,1.0
8,8,323198.12,4187.679,4255.016,5970.077,-45.456966,10.052483517414657,-0.1710858,-8.460802e-06,0.0001157311,5.8788533e-05,1.0,41,0.019676184,3.2958008e-06,0,-1.1685414323337935e-07,0.25305587,0.06810713,1.6058606,4.190568e-05,1.4796823e-05,1.6456677e-05,5.214071e-06,1.1496429e-05,6.425089e-06,0.67681664,0.059518125,2.552291,1.063411e-08,9.451177e-09,4.5533817e-09,6.0008856e-09,8.453269e-09,6.004415e-09,1.0
9,9,220049.0,5542.334,4750.534,7299.66,-40.60107,10.86650086278678,-0.17107905,-8.498098e-06,0.00015225034,6.448191e-05,1.0,41,0.020616928,2.8243683e-06,0,-1.1877895084125435e-07,0.19053392,0.06262343,1.551614,3.352235e-05,1.15167195e-05,1.3095644e-05,7.455411e-06,4.724843e-06,4.9202854e-06,0.5030038,0.0822603,2.16265,3.9698835e-09,7.311072e-09,3.8721364e-09,4.0911594e-09,4.3043005e-09,5.62015e-09,1.0
