True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,677.2241,1925.1957,2040.8358,-70.61971,2.466492410429055,0.03756195,7.147522e-05,1.1809896e-05,1.0509443e-05,1.0,40,0.010147758,4.972354e-06,0,1.4328357317241272e-08,1.0
1,1,6057573.0,1032.7382,2084.0447,2325.8955,-63.639507,3.0184834233659785,0.03764633,-2.594271e-05,1.2607079e-05,1.01215755e-05,1.0,40,0.014140009,6.0793827e-06,0,7.968824601536856e-09,1.0
2,2,5242039.0,611.17535,2451.365,2526.4058,-76.00041,3.43447960310732,0.03773569,1.7538117e-05,1.2385454e-05,1.1660621e-05,1.0,40,0.019896824,7.875546e-06,0,6.745124804748709e-09,1.0
3,3,4536288.0,683.2437,2638.1543,2725.1936,-75.48024,4.666500194958644,0.0377519,-5.3720527e-05,1.3299011e-05,1.2463069e-05,1.0,40,0.021314332,7.821218e-06,0,4.228066830847234e-08,1.0
4,4,3925558.5,698.79144,3114.0132,3191.4553,-77.35222,5.082494321366539,0.037656467,2.5049696e-06,1.3019618e-05,1.239543e-05,1.0,40,0.019706205,6.1746764e-06,0,4.2553026510966497e-08,1.0
5,5,3397055.0,857.2201,3159.1938,3273.4282,-74.81882,5.498477994493442,0.037543595,4.8664922e-05,1.4830003e-05,1.3813005e-05,1.0,40,0.020498453,6.2620747e-06,0,4.213413558257647e-08,1.0
6,6,2939708.2,821.6995,3665.475,3756.4475,-77.36474,6.050494980678195,0.037570573,-1.4393879e-06,1.4770174e-05,1.4063438e-05,1.0,40,0.019920753,5.303083e-06,0,4.047723253350218e-08,1.0
7,7,2543924.5,1041.4624,4226.981,4353.3906,-76.15889,6.602495726925554,0.037626117,-2.4305395e-05,1.4800814e-05,1.395375e-05,1.0,40,0.02068311,4.751035e-06,0,3.095159900456363e-08,1.0
8,8,2201436.2,1039.1663,4761.563,4873.638,-77.688774,7.3214818677224685,0.0376892,-1.43040725e-05,1.518324e-05,1.4492956e-05,1.0,41,0.019733265,4.0489804e-06,0,7.034427755520925e-08,1.0
9,9,1905053.1,1486.6721,6782.5874,6943.6074,-77.63688,7.873502400616417,0.037756238,-1.8166218e-05,1.231736e-05,1.1752712e-05,1.0,41,0.020559415,2.9609128e-06,0,6.957135068525093e-08,1.0
10,10,1648567.4,979.127,7365.88,7430.6714,-82.428215,8.425481973477872,0.037553694,5.8018954e-06,1.3106563e-05,1.2878994e-05,1.0,41,0.020409504,2.7466567e-06,0,7.02536280066397e-08,1.0
11,11,1426616.2,1859.3519,7012.0117,7254.3433,-75.14885,8.977487786352867,0.03755498,5.6544644e-07,1.5910005e-05,1.4864811e-05,1.0,41,0.020252092,2.7917195e-06,0,6.798678890542141e-08,1.0
12,12,1234551.2,2051.4172,8501.1045,8745.118,-76.43322,9.529483172605978,0.037508793,1.0418239e-05,1.5164763e-05,1.43302905e-05,1.0,41,0.020573419,2.3525604e-06,0,6.874330031839627e-08,1.0
13,13,1068345.5,1459.2141,9354.97,9468.092,-81.134285,10.081485972128576,0.03765069,-7.749185e-06,1.5924508e-05,1.5546259e-05,1.0,41,0.020598331,2.1755525e-06,0,6.925482526184367e-08,1.0
14,14,924510.06,2436.1023,10562.058,10839.356,-77.012054,10.633487091719871,0.037495043,8.133345e-06,1.6298964e-05,1.547569e-05,1.0,41,0.020280158,1.8709744e-06,0,6.853936181357629e-08,1.0
15,15,800039.0,-6086.5713,14336.23,15574.782,-113.004074,11.18549882460502,0.037450064,7.7478735e-06,1.3876309e-05,1.17570935e-05,1.0,41,0.020700388,1.3290964e-06,0,6.845640131153492e-08,1.0
16,16,692334.1,2530.898,13707.148,13938.844,-79.53869,11.737479250790784,0.037529975,6.1612973e-06,1.6770935e-05,1.6218028e-05,1.0,41,0.020332672,1.4587058e-06,0,6.894234891204753e-08,1.0
17,17,599122.25,3764.7285,15646.063,16092.622,-76.47078,12.289497863705037,0.037546616,1.0038355e-05,1.697851e-05,1.6049302e-05,1.0,41,0.020445202,1.2704705e-06,0,6.85886798051679e-08,1.0
18,18,518454.94,5093.599,16910.568,17661.033,-73.237274,12.841498449881328,0.037528858,2.2823785e-06,1.8153105e-05,1.6643133e-05,1.0,41,0.020505147,1.1610389e-06,0,6.638270617522835e-08,1.0
19,19,448662.03,6077.7417,19921.922,20828.393,-73.0342,13.393481969455024,0.037462473,8.937806e-06,1.7806131e-05,1.628998e-05,1.0,41,0.020315628,9.753815e-07,0,6.590317562917886e-08,1.0
20,20,388258.97,9727.623,22413.842,24433.727,-66.53912,13.945486368989805,0.037406635,1.279438e-05,1.828868e-05,1.538989e-05,1.0,41,0.020941833,8.570871e-07,0,6.649250891313782e-08,1.0
21,21,335983.9,8498.025,21478.725,23098.746,-68.41385,14.497488235210767,0.037401903,1.1712452e-05,2.2054293e-05,1.9069237e-05,1.0,41,0.020020777,8.6674737e-07,0,6.662964831499943e-08,1.0
22,22,290751.2,11104.564,28577.312,30658.998,-68.764885,15.049498581473017,0.03754544,3.729291e-06,1.9154782e-05,1.6641945e-05,1.0,41,0.02075638,6.770078e-07,0,6.672238943287528e-08,1.0
23,23,251605.19,12194.185,30839.084,33162.438,-68.4255,15.601489567692624,0.0376236,-1.2134615e-05,2.0511578e-05,1.7738183e-05,1.0,41,0.020319544,6.127277e-07,0,6.663418136243651e-08,1.0
24,24,217729.38,14597.652,34511.73,37472.004,-67.07278,16.153498073894298,0.03737455,1.6317623e-05,2.1180509e-05,1.7966191e-05,1.0,41,0.020067919,5.355443e-07,0,6.695669881989729e-08,1.0
25,25,188418.58,18138.723,38806.004,42835.957,-64.94765,16.70648199346033,0.037813105,-1.7840337e-05,2.1766946e-05,1.7863986e-05,1.0,41,0.020727117,4.8387193e-07,0,6.739874195924047e-08,1.0
26,26,163051.14,20660.451,43320.5,47995.0,-64.50255,17.25849716636003,0.037690226,-6.4456594e-06,2.253216e-05,1.8356834e-05,1.0,41,0.02032571,4.234964e-07,0,6.798128487625575e-08,1.0
27,27,141098.2,24050.61,47429.293,53178.656,-63.111187,17.977487200550968,0.037508663,9.844579e-07,2.3782199e-05,1.8917797e-05,1.0,42,0.01897252,3.5676945e-07,0,6.757324478076794e-08,1.0
28,28,122105.11,27691.07,54151.926,60821.266,-62.916664,18.39347903363523,0.037804198,-9.931567e-07,2.4069797e-05,1.908048e-05,1.0,42,0.020565689,3.381332e-07,0,6.759274521009415e-08,1.0
29,29,105663.59,35052.29,55588.125,65716.836,-57.765636,18.809491400053957,0.03763299,-3.2472833e-08,2.709647e-05,1.9387575e-05,1.0,42,0.021862214,3.3267295e-07,0,6.777958136798685e-08,1.0
30,30,91439.65,41750.066,60436.582,73455.08,-55.36298,19.361504279571818,0.037605565,3.5604702e-07,2.879955e-05,1.9495834e-05,1.0,42,0.02044047,2.7827173e-07,0,6.797292841627308e-08,1.0
31,31,79127.08,48237.934,63641.934,79857.336,-52.83939,19.777487179351738,0.037497893,1.995243e-06,3.1604697e-05,2.0072835e-05,1.0,42,0.021392366,2.6788229e-07,0,6.813648188798283e-08,1.0
32,32,68475.36,57556.645,68704.89,89627.73,-50.045837,20.329498298902763,0.0377268,-5.7744387e-07,3.38297e-05,1.9878733e-05,1.0,42,0.02020517,2.2543436e-07,0,6.814623701149201e-08,1.0
33,33,59252.523,67409.98,71366.336,98169.54,-46.632996,20.746485278737964,0.037633102,4.0298204e-07,3.7637423e-05,1.9890842e-05,1.0,42,0.02091678,2.1306793e-07,0,6.838257483289765e-08,1.0
34,34,51282.285,76459.3,73104.95,105784.49,-43.715218,21.1624951918202,0.03755418,1.0159348e-06,4.2452764e-05,2.0274752e-05,1.0,42,0.021396445,2.0226447e-07,0,6.847053942469116e-08,1.0
35,35,44369.8,85934.99,69841.81,110737.086,-39.10174,21.57848022491089,0.03777664,-6.616293e-07,5.1359068e-05,2.04297e-05,1.0,42,0.021776251,1.9664823e-07,0,6.860944699557533e-08,1.0
36,36,38403.727,96986.305,67417.81,118116.484,-34.80421,22.13049761109869,0.037512276,1.488454e-06,6.1471255e-05,2.0026286e-05,1.0,42,0.020195074,1.7097592e-07,0,6.903785593784977e-08,1.0
37,37,33226.32,103025.68,64897.45,121761.94,-32.207455,22.546480217512,0.03761952,7.279905e-07,7.380916e-05,2.0967296e-05,1.0,42,0.02031338,1.6682866e-07,0,6.907560395159429e-08,1.0
38,38,28754.086,113727.56,60148.42,128653.766,-27.87354,22.96249943730072,0.037643686,5.138017e-07,9.2022994e-05,2.0114063e-05,1.0,42,0.020544007,1.5968446e-07,0,6.922961690335623e-08,1.0
39,39,24884.947,121152.63,56379.547,133628.64,-24.955368,23.37850063040969,0.03756467,1.4102286e-06,0.00011343885,2.0193234e-05,1.0,42,0.020582434,1.540271e-07,0,6.932618369288867e-08,1.0
40,40,21553.963,125960.56,51747.758,136175.97,-22.334087,23.79549265021342,0.03766614,4.4488868e-07,0.0001426926,2.060552e-05,1.0,42,0.02052151,1.5069847e-07,0,6.943683730753038e-08,1.0
41,41,18631.234,128090.79,47466.652,136602.83,-20.333214,24.21149400327704,0.03768093,-1.0753153e-07,0.00017996576,2.17294e-05,1.0,42,0.020328753,1.4881648e-07,0,6.948132574752582e-08,1.0
42,42,16126.037,136492.12,44025.93,143416.81,-17.877256,24.62748002304579,0.037513208,1.9321049e-06,0.00022417333,2.1125203e-05,1.0,42,0.020279225,1.414006e-07,0,6.955991167979154e-08,1.0
43,43,13954.87,137723.5,33403.0,141716.34,-13.633079,25.04348788279458,0.037522934,1.3068599e-06,0.00034143566,1.8968803e-05,1.0,42,0.019998472,1.411162e-07,0,6.959829974559225e-08,1.0
