True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,489.4148,2632.615,2677.7207,-79.46868,2.468481823889306,0.022592485,1.4245058e-05,8.636417e-06,8.34791e-06,1.0,40,0.010176966,3.8006076e-06,0,-3.2681498421077826e-09,1.0
1,1,6057573.0,899.7101,2222.7297,2397.917,-67.96303,3.020494676748058,0.022496197,4.439916e-06,1.18204725e-05,1.0156402e-05,1.0,40,0.014369105,5.9923277e-06,0,-5.773878751913091e-09,1.0
2,2,5242039.0,754.04767,3114.0793,3204.072,-76.38831,3.4364882698573638,0.022625146,-4.4380613e-05,9.749677e-06,9.209691e-06,1.0,40,0.020020299,6.2483923e-06,0,-7.33578825595613e-09,1.0
3,3,4536288.0,604.86847,3480.6987,3532.8643,-80.14171,4.668493635050254,0.022550695,2.1649917e-05,1.0079827e-05,9.784351e-06,1.0,40,0.020835416,5.897599e-06,0,-6.347647056044378e-09,1.0
4,4,3925558.5,787.5473,3700.8997,3783.7666,-77.98672,5.084490161476424,0.022402834,1.7556718e-05,1.0954975e-05,1.0480387e-05,1.0,40,0.019357344,5.1158927e-06,0,-9.395352998410545e-09,1.0
5,5,3397055.0,1520.5499,4700.7773,4940.585,-72.07528,5.500493647909025,0.022590343,-0.000110932095,9.9666195e-06,9.022575e-06,1.0,40,0.020298976,4.108618e-06,0,-1.615844120880815e-08,1.0
6,6,2939708.2,1053.228,4757.879,4873.0586,-77.518005,6.052495594107313,0.022515947,-3.839472e-06,1.1378958e-05,1.0847409e-05,1.0,40,0.01994465,4.09284e-06,0,-1.8613914823226374e-08,1.0
7,7,2543924.5,592.824,6408.59,6435.9507,-84.71492,6.7714987215877045,0.022651175,-1.815133e-05,9.76233e-06,9.679501e-06,1.0,41,0.019537816,3.0357312e-06,0,-1.9578502393351807e-08,1.0
8,8,2201436.2,974.05524,6191.038,6267.1953,-81.05877,7.187479994696332,0.022580488,-8.30039e-06,1.1677517e-05,1.1395438e-05,1.0,41,0.021996573,3.5097953e-06,0,-1.948597216676578e-08,1.0
9,9,1905053.1,1071.4624,7389.96,7467.231,-81.75024,7.739484714256832,0.02246866,-7.660116e-07,1.130501e-05,1.1072252e-05,1.0,41,0.020828404,2.7893075e-06,0,-1.9863181893534767e-08,1.0
10,10,1648567.4,1334.0511,8490.186,8594.355,-81.070206,8.29149730046629,0.0224354,-6.240973e-09,1.1370937e-05,1.10969595e-05,1.0,41,0.019990418,2.3259938e-06,0,-1.946368908710541e-08,1.0
11,11,1426616.2,458.2422,10698.975,10708.783,-87.54749,8.84348972668522,0.022423664,8.639858e-06,1.0427275e-05,1.0408182e-05,1.0,41,0.020949503,1.9562917e-06,0,-1.951198872827654e-08,1.0
12,12,1234551.2,879.32715,10222.15,10259.901,-85.08342,9.395479566213908,0.022633122,-1.7104774e-05,1.2611558e-05,1.2518921e-05,1.0,41,0.02019282,1.9681302e-06,0,-1.958794227968181e-08,1.0
13,13,1068345.5,1685.2961,12365.524,12479.841,-82.23898,9.947483059106162,0.022404753,4.7162443e-06,1.2047471e-05,1.182777e-05,1.0,41,0.020484079,1.6413734e-06,0,-2.10231894762924e-08,1.0
14,14,924510.06,915.46106,15911.259,15937.572,-86.70709,10.499491218681214,0.022511214,-1.0615076e-05,1.081942e-05,1.0783722e-05,1.0,41,0.020295434,1.2734332e-06,0,-2.34814001620407e-08,1.0
