True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
220,220,7000018.5,591.9986,1689.3326,1790.0579,-70.687836,163.5644825688505,0.034603417,5.381876e-05,1.34587835e-05,1.19867655e-05,3.0,40,0.01016618,5.679247e-06,0,5.4802318880279876e-08,3.0
221,221,6057573.0,890.6127,1790.6838,1999.9349,-63.556133,164.4195086361433,0.03479305,-4.793916e-06,1.4672448e-05,1.1762745e-05,3.0,41,0.013732792,6.8666195e-06,0,5.41633192864036e-08,3.0
222,222,5242039.0,388.41418,2495.5989,2525.6443,-81.15348,165.81848899592296,0.034628138,5.0562827e-05,1.2165924e-05,1.1878191e-05,3.0,40,0.018266262,7.2323182e-06,0,5.17937104931665e-08,3.0
223,223,4536288.0,666.9648,2849.4333,2926.4504,-76.826,166.37050574211753,0.034727298,-6.356273e-05,1.2312918e-05,1.16733545e-05,3.0,40,0.02005948,6.854543e-06,0,5.4405478567317664e-08,3.0
224,224,3925558.5,786.1305,3063.8071,3163.0547,-75.609146,166.78649138860055,0.03466177,-8.728462e-05,1.3232968e-05,1.241557e-05,3.0,40,0.018900879,5.9755143e-06,0,5.042454194096773e-08,3.0
225,225,3397055.0,937.62494,3873.1768,3985.052,-76.39155,167.2024864749692,0.034491774,7.30008e-05,1.2096236e-05,1.1426597e-05,3.0,40,0.019963391,5.0095687e-06,0,5.330550006559795e-08,3.0
226,226,2939708.2,893.7808,4156.275,4251.29,-77.86372,167.61849156141398,0.034570158,-1.7644645e-05,1.3026017e-05,1.2450268e-05,3.0,40,0.021877676,5.1461266e-06,0,5.046360529753654e-08,3.0
227,227,2543924.5,1260.9827,4401.624,4578.6865,-74.013985,168.1704941476637,0.034405302,-3.058013e-06,1.4213563e-05,1.3135513e-05,3.0,40,0.02062269,4.5040624e-06,0,3.96404295976234e-08,3.0
228,228,2201436.2,1509.4832,4942.9414,5168.2886,-73.018295,168.72250374717987,0.034440834,3.4283e-05,1.4626101e-05,1.3378455e-05,3.0,40,0.020800043,4.0245513e-06,0,3.6761143866112176e-08,3.0
229,229,1905053.1,921.55774,4796.6655,4884.39,-79.12459,169.27450228008092,0.034472715,1.0709971e-05,1.7417009e-05,1.6797003e-05,3.0,40,0.019877471,4.0695913e-06,0,2.47138157026521e-08,3.0
230,230,1648567.4,978.86395,6651.8784,6723.5156,-81.62866,169.99348644757993,0.0344549,2.63432e-06,1.45134e-05,1.4205774e-05,3.0,41,0.01883662,2.8016027e-06,0,2.8464633407109276e-08,3.0
231,231,1426616.2,1915.1884,8385.82,8601.74,-77.1352,170.40950932065607,0.03438103,8.911741e-06,1.33035455e-05,1.2644041e-05,3.0,41,0.021896912,2.5456375e-06,0,2.8192866900943395e-08,3.0
232,232,1234551.2,1979.1901,8666.953,8890.065,-77.13648,170.9615028668486,0.03458376,-8.542466e-06,1.4874575e-05,1.4137334e-05,3.0,41,0.020970508,2.35887e-06,0,2.9238764378787055e-08,3.0
233,233,1068345.5,3840.1096,9279.857,10043.018,-67.51968,171.51350601311424,0.034804545,-6.7882957e-06,1.6053404e-05,1.3706333e-05,3.0,41,0.020058384,1.9972467e-06,0,2.8801281437115814e-08,3.0
234,234,924510.06,3703.4546,11745.539,12315.57,-72.49956,172.0654891592858,0.03461463,2.6715784e-06,1.4656677e-05,1.3331297e-05,3.0,41,0.020442773,1.6599128e-06,0,3.128124927383919e-08,3.0
235,235,800039.0,3332.5515,13173.468,13588.457,-75.80347,172.61750211883918,0.034793105,-1.988314e-05,1.5101108e-05,1.4192823e-05,3.0,41,0.020600138,1.5160027e-06,0,2.929468754250269e-08,3.0
236,236,692334.1,3044.3296,14545.716,14860.881,-78.17897,173.1694947851065,0.03442904,-9.4104837e-07,1.5804082e-05,1.5140855e-05,3.0,41,0.020103559,1.3527838e-06,0,2.905369931605427e-08,3.0
237,237,599122.25,5245.185,17148.955,17933.172,-72.99321,173.72150078465347,0.034556072,9.457359e-06,1.5490557e-05,1.4165377e-05,3.0,41,0.020623973,1.150046e-06,0,3.2012107533256104e-08,3.0
238,238,518454.94,6613.5176,18266.844,19427.203,-70.09719,174.27350097082672,0.034811586,-2.2922215e-05,1.6805274e-05,1.4857716e-05,3.0,41,0.020521702,1.0563385e-06,0,3.165332851675334e-08,3.0
239,239,448662.03,7263.138,20797.941,22029.697,-70.74958,174.8254984903906,0.034598235,-2.7361914e-06,1.7056129e-05,1.52021175e-05,3.0,41,0.020064725,9.1080346e-07,0,3.020709399427604e-08,3.0
240,240,388258.97,7238.7754,19047.838,20376.947,-69.19164,175.24149189682794,0.034853846,-1.2780785e-05,2.152053e-05,1.8804685e-05,3.0,41,0.022422446,1.100383e-06,0,2.864643551162713e-08,3.0
241,241,335983.9,2802.0688,19860.035,20056.734,-81.9691,175.79350728305872,0.034563933,3.8000605e-06,2.3851826e-05,2.3386283e-05,3.0,41,0.021001965,1.0471279e-06,0,2.9114082277157394e-08,3.0
242,242,290751.2,16357.51,27711.44,32179.06,-59.447495,176.34548741593608,0.03468187,-1.3302448e-06,1.9753295e-05,1.4649101e-05,3.0,41,0.020872436,6.486341e-07,0,3.2294897956690014e-08,3.0
243,243,251605.19,19868.541,28555.996,34787.984,-55.170776,176.8984892022272,0.034417953,1.8256156e-05,2.2151504e-05,1.49258585e-05,3.0,41,0.020499945,5.8928237e-07,0,3.096463306644755e-08,3.0
244,244,217729.38,23338.361,30154.537,38131.027,-52.261616,177.4514977617946,0.034716472,-1.3313369e-05,2.4240993e-05,1.5159984e-05,3.0,41,0.020397656,5.349359e-07,0,3.043714184057893e-08,3.0
245,245,188418.58,28244.828,31927.137,42627.6,-48.501926,178.00349186800304,0.034365952,2.0034537e-05,2.6456746e-05,1.484139e-05,3.0,41,0.020738073,4.86494e-07,0,3.753661042273827e-08,3.0
246,246,163051.14,31506.506,34823.04,46960.664,-47.862453,178.55550264092744,0.034653123,1.9862957e-06,2.8030423e-05,1.541326e-05,3.0,41,0.020448372,4.3543616e-07,0,3.88583907677275e-08,3.0
247,247,141098.2,36695.195,35815.52,51276.594,-44.30494,179.1075036537659,0.034693237,-6.6709763e-06,3.1493968e-05,1.5364963e-05,3.0,41,0.020298129,3.9585564e-07,0,3.850867921906303e-08,3.0
248,248,122105.11,37213.707,37635.332,52927.1,-45.322746,179.5234890068823,0.034345627,1.9650928e-05,3.4633034e-05,1.75116e-05,3.0,41,0.021910973,4.13984e-07,0,3.846594705384021e-08,3.0
