True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,256.21732,2030.9276,2047.0258,-82.80968,82.76149321094272,0.0070892237,-0.00013236539,1.1195062e-05,1.1019675e-05,2.0,40,0.010171628,4.968979e-06,0,-2.0989628559213715e-08,2.0
111,111,6057573.0,615.15576,2161.458,2247.291,-74.113525,83.31349337045685,0.0066814125,7.566138e-05,1.2155553e-05,1.1244746e-05,2.0,40,0.014617075,6.504309e-06,0,-2.3912642471763946e-08,2.0
112,112,5242039.0,804.5487,2550.09,2673.9966,-72.48961,83.72948197691585,0.0068704872,1.035646e-05,1.1905959e-05,1.08281365e-05,2.0,40,0.020014144,7.4847308e-06,0,-2.7241854938639656e-08,2.0
113,113,4536288.0,720.97546,2623.8323,2721.0847,-74.63549,84.9615043020749,0.0068621966,3.688775e-05,1.3371603e-05,1.2432872e-05,2.0,40,0.02039332,7.494555e-06,0,-2.800911909162017e-08,2.0
114,114,3925558.5,1115.1876,3297.089,3480.5803,-71.31271,85.37748965519131,0.006708764,2.3212797e-05,1.2296683e-05,1.1034332e-05,2.0,40,0.019363403,5.5632686e-06,0,-3.8665765168328255e-08,2.0
115,115,3397055.0,906.34784,3428.9836,3546.7444,-75.1942,85.79350535492995,0.0067884335,3.6813333e-05,1.3663192e-05,1.2770949e-05,2.0,40,0.02034546,5.7363764e-06,0,-4.26819713434641e-08,2.0
116,116,2939708.2,1188.756,3848.8965,4028.293,-72.836365,86.34548378115869,0.006898491,-0.00013590048,1.4066292e-05,1.284133e-05,2.0,40,0.020049758,4.9772343e-06,0,-5.00347355538848e-08,2.0
117,117,2543924.5,1286.24,4390.4526,4574.985,-73.67137,86.89750284739421,0.006986526,-0.00012001148,1.4249729e-05,1.31233855e-05,2.0,40,0.020415843,4.462494e-06,0,-5.390445235713612e-08,2.0
118,118,2201436.2,851.6457,5081.353,5152.2275,-80.485535,87.61649328152998,0.0070582395,-2.7627957e-05,1.4227699e-05,1.3838956e-05,2.0,41,0.019999906,3.881798e-06,0,-5.856838593825763e-08,2.0
119,119,1905053.1,1081.3478,4874.668,4993.1655,-77.49261,88.16850256107864,0.0070687477,-1.6588943e-05,1.713831e-05,1.6334512e-05,2.0,41,0.020121042,4.0297164e-06,0,-5.828535805645095e-08,2.0
