True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
220,220,7000018.5,274.55624,1951.977,1971.1914,-81.99356,163.85550458266516,0.014428263,2.4310595e-05,1.1647863e-05,1.1421893e-05,3.0,40,0.010110124,5.1289408e-06,0,2.5238029524262017e-08,3.0
221,221,6057573.0,500.46643,2044.5848,2104.945,-76.24578,164.4075096489105,0.014493604,-2.3138502e-06,1.2850392e-05,1.2123976e-05,3.0,40,0.01427924,6.783664e-06,0,3.005643498742157e-08,3.0
222,222,5242039.0,560.92017,2455.1633,2518.4238,-77.13077,164.82349630867247,0.014605991,-2.7338085e-05,1.2366292e-05,1.1752835e-05,3.0,40,0.019874852,7.891782e-06,0,2.5308271674017982e-08,3.0
223,223,4536288.0,465.46298,2993.557,3029.5278,-81.16195,166.05550444716937,0.014628833,-4.545973e-05,1.1720119e-05,1.1443454e-05,3.0,40,0.020720512,6.8395184e-06,0,9.541458939146116e-09,3.0
224,224,3925558.5,633.6444,3120.8977,3184.5735,-78.52309,166.4714964669256,0.0144586135,1.191928e-05,1.2990898e-05,1.2476583e-05,3.0,40,0.019447017,6.1066316e-06,0,8.154743232865001e-09,3.0
225,225,3397055.0,762.66516,3625.2146,3704.57,-78.119484,166.88751003335346,0.014559039,-4.0640938e-05,1.292361e-05,1.2375867e-05,3.0,40,0.02066758,5.578942e-06,0,5.72015109062206e-09,3.0
226,226,2939708.2,1137.6329,3929.0752,4090.4573,-73.85204,167.43950973960455,0.014609978,-0.00010391785,1.3779249e-05,1.27134235e-05,3.0,40,0.020447467,4.9988216e-06,0,9.040190189728867e-09,3.0
227,227,2543924.5,1246.8568,4721.08,4882.955,-75.20574,167.99150736580486,0.014413897,5.046965e-05,1.3251791e-05,1.2387733e-05,3.0,40,0.020551877,4.2089014e-06,0,1.002504333907793e-08,3.0
228,228,2201436.2,1457.3695,5615.963,5801.9795,-75.45236,168.71050931993523,0.014212879,1.9593184e-05,1.2873296e-05,1.2061071e-05,3.0,41,0.020076029,3.4602033e-06,0,2.489743118688992e-09,3.0
229,229,1905053.1,1668.2374,6438.279,6650.8984,-75.473434,169.26249958618428,0.01458285,-1.0333886e-05,1.2976072e-05,1.2159681e-05,3.0,41,0.020564437,3.091979e-06,0,2.1407043086869333e-09,3.0
230,230,1648567.4,1863.0593,6416.796,6681.7856,-73.809814,169.81450459905318,0.014657078,-1.7976272e-05,1.5045104e-05,1.3875435e-05,3.0,41,0.019646069,2.9402424e-06,0,1.3984360893493333e-09,3.0
231,231,1426616.2,2413.2053,9169.08,9481.328,-75.254745,170.36650502527482,0.014459731,2.571017e-06,1.2167104e-05,1.1378903e-05,3.0,41,0.020734655,2.1868934e-06,0,1.1145788162219992e-09,3.0
232,232,1234551.2,3129.8657,9309.604,9821.648,-71.41748,170.91850851816707,0.014520434,-1.225752e-05,1.3847769e-05,1.2441519e-05,3.0,41,0.020480506,2.0852412e-06,0,7.489746622362977e-10,3.0
233,233,1068345.5,4323.579,9258.753,10218.505,-64.96874,171.47050022435724,0.014387272,7.3903375e-06,1.6089994e-05,1.3209495e-05,3.0,41,0.020345554,1.9910499e-06,0,1.5203112493787548e-09,3.0
234,234,924510.06,5742.281,11987.9375,13292.27,-64.40535,172.02250225059106,0.0145268245,-1.1082482e-05,1.4360317e-05,1.16803185e-05,3.0,41,0.020356916,1.5314853e-06,0,1.9639614117913003e-09,3.0
235,235,800039.0,2003.6388,9936.073,10136.08,-78.59903,172.43849560371018,0.014427051,3.9080605e-06,2.0021387e-05,1.9239053e-05,3.0,41,0.022398204,2.2097502e-06,0,2.731912956565176e-09,3.0
236,236,692334.1,7721.9575,14400.6455,16340.355,-61.798767,172.99050226990948,0.014339836,6.369861e-06,1.5963291e-05,1.2398335e-05,3.0,41,0.021065904,1.289195e-06,0,2.3364109602395345e-09,3.0
