True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
243,243,100003.71,57414.168,56248.25,80375.695,-44.412296,188.33850726558012,0.027830293,-2.2416442e-08,2.829404e-05,1.3856818e-05,4.0,42,0.019440226,2.4186699e-07,0,1.9544481096325918e-08,4.0
244,244,86596.27,64428.28,57302.098,86223.74,-41.64969,188.75448877867893,0.02782556,6.791547e-08,3.20738e-05,1.4165689e-05,4.0,42,0.020439016,2.3704625e-07,0,1.9586924167041688e-08,4.0
245,245,74988.87,71411.234,56743.86,91210.91,-38.470898,189.170505945076,0.027839944,-2.3161217e-08,3.740283e-05,1.4476003e-05,4.0,42,0.02132496,2.3379836e-07,0,1.963074920317936e-08,4.0
246,246,64940.242,78183.15,55882.03,96101.02,-35.55559,189.7225098646304,0.027839404,1.6346236e-07,4.3856508e-05,1.4829359e-05,4.0,42,0.020241065,2.1062279e-07,0,1.9646592645786796e-08,4.0
247,247,56237.01,84203.1,54570.332,100339.836,-32.94646,190.13850161773735,0.027816562,1.5359113e-07,5.186105e-05,1.5339378e-05,4.0,42,0.020796647,2.0726212e-07,0,1.963934571762661e-08,4.0
248,248,48712.14,93169.93,52197.97,106795.43,-29.259502,190.55551099751028,0.027822075,2.44668e-07,6.259351e-05,1.4953098e-05,4.0,42,0.021280475,1.9926391e-07,0,1.9644784248745693e-08,4.0
249,249,42170.8,97449.95,48969.4,109061.89,-26.679903,190.97151171063888,0.027814176,2.1319168e-07,7.7069664e-05,1.553771e-05,4.0,42,0.021586271,1.979268e-07,0,1.971887590455533e-08,4.0
250,250,36520.19,102352.7,45867.344,112160.1,-24.138596,191.38750213038293,0.027829045,1.0963618e-07,9.50131e-05,1.5889635e-05,4.0,42,0.021865569,1.9494962e-07,0,1.9776425256226422e-08,4.0
251,251,31621.143,106669.195,43199.14,115084.68,-22.04708,191.93951287659002,0.027826156,1.0628365e-07,0.00011651114,1.641658e-05,4.0,42,0.0202665,1.7610076e-07,0,1.98592726757443e-08,4.0
252,252,27380.861,110817.664,40733.773,118066.91,-20.182152,192.35550772302668,0.027811028,2.2287693e-07,0.00014269816,1.6985225e-05,4.0,42,0.020361474,1.7245708e-07,0,1.991428470200902e-08,4.0
253,253,23715.854,113918.47,37959.28,120076.33,-18.428818,192.7714978228032,0.027827442,9.4922626e-08,0.00017679231,1.7667884e-05,4.0,42,0.02039199,1.6982523e-07,0,1.99521201579522e-08,4.0
254,254,20533.33,116234.4,35529.223,121543.25,-16.996756,193.1874935758824,0.027828578,1.0740169e-07,0.00021815997,1.8641667e-05,4.0,42,0.020343551,1.6737705e-07,0,1.9919528556297687e-08,4.0
255,255,17786.89,119508.164,33028.383,123988.2,-15.4491625,193.6034877022903,0.0278185,2.3572882e-07,0.00027091484,1.922413e-05,4.0,42,0.020259937,1.6340213e-07,0,2.0000081407529673e-08,4.0
256,256,15402.317,121612.734,30889.648,125474.41,-14.251748,194.0194950287405,0.027817717,3.5548848e-07,0.00033451922,2.0273872e-05,4.0,42,0.020089742,1.6011028e-07,0,1.9944188951465178e-08,4.0
257,257,13333.209,123365.66,29399.682,126820.45,-13.404323,194.43550664847135,0.027807841,2.7651816e-07,0.0004060157,2.1819735e-05,4.0,42,0.019814545,1.5624093e-07,0,1.9898797084929833e-08,4.0
258,258,11551.737,125192.75,27235.78,128121.086,-12.273499,194.85149685494252,0.027814679,3.4785253e-07,0.00050586317,2.2859747e-05,4.0,42,0.019417275,1.5155409e-07,0,1.988368333185021e-08,4.0
259,259,10002.226,127556.76,26459.545,130272.16,-11.718868,195.26749100800953,0.027816916,3.6368402e-07,0.00060136913,2.4808623e-05,4.0,42,0.01895834,1.4552872e-07,0,1.9934112237590403e-08,4.0
260,260,8663.699,128951.41,25283.45,131406.69,-11.093236,195.71339156254544,0.02777995,8.375073e-07,0.000726575,2.6897886e-05,4.0,42,0.02178931,1.6581585e-07,0,1.9963206372744403e-08,4.0
261,261,7498.54,131283.4,24275.697,133508.95,-10.476267,196.20971009281493,0.027834782,3.4915695e-07,0.0008743226,2.8906425e-05,4.0,42,0.021886045,1.6392943e-07,0,1.9885733002183473e-08,4.0
262,262,6491.4526,133159.72,23595.834,135234.14,-10.048477,196.7669623325928,0.027813058,3.249443e-07,0.0010390654,3.1633037e-05,4.0,42,0.021946138,1.6228252e-07,0,1.9979274575916565e-08,4.0
263,263,5622.588,134983.75,22920.643,136915.92,-9.6370735,197.39543297575437,0.027814213,2.1337999e-07,0.0012349719,3.4610093e-05,4.0,42,0.021997897,1.606672e-07,0,1.9968468469618886e-08,4.0
264,264,4868.4404,137025.12,21896.424,138763.61,-9.079025,198.29685528526898,0.027818555,3.5809688e-07,0.0014929906,3.7175112e-05,4.0,42,0.020179436,1.4542312e-07,0,1.9773555886121545e-08,4.0
265,265,4216.3506,138835.69,20808.516,140386.4,-8.52397,198.9767170509076,0.027814195,2.880665e-07,0.001814021,3.985423e-05,4.0,42,0.020196445,1.4386325e-07,0,1.9845216247541765e-08,4.0
266,266,3651.1719,140815.7,20464.824,142295.02,-8.268936,199.65670772321027,0.027803613,5.236742e-07,0.002130001,4.405716e-05,4.0,42,0.020230953,1.4217612e-07,0,1.988731933433277e-08,4.0
267,267,3163.0398,142809.02,19634.408,144152.44,-7.828356,200.33658100877074,0.027827032,4.17325e-07,0.0025626994,4.75433e-05,4.0,42,0.020263411,1.4056933e-07,0,1.987642967697361e-08,4.0
268,268,2739.124,144486.75,18528.244,145669.89,-7.3074374,201.0158489344176,0.027811829,3.9441616e-07,0.0031359864,5.0734467e-05,4.0,42,0.020273732,1.3917585e-07,0,1.991390029776606e-08,4.0
269,269,2370.7598,145611.3,18175.09,146741.22,-7.1148176,201.69571539339086,0.027816487,4.0521857e-07,0.0036936523,5.66637e-05,4.0,42,0.020233277,1.3788407e-07,0,1.996918320604271e-08,4.0
270,270,2053.0298,147606.1,16519.26,148527.6,-6.385656,202.37596014566952,0.027808549,3.6908597e-07,0.004692824,5.804986e-05,4.0,42,0.02029122,1.3661582e-07,0,2.0112877345390343e-08,4.0
271,271,1778.2897,149157.39,15384.08,149948.64,-5.88866,203.05596935132053,0.027811363,4.5960388e-07,0.0058176303,6.1235616e-05,4.0,42,0.020311765,1.3545815e-07,0,2.0171490960452922e-08,4.0
272,272,1539.506,150125.66,14483.33,150822.67,-5.5105405,203.73582205027924,0.027813654,2.3107377e-07,0.0071378984,6.582243e-05,4.0,42,0.020315105,1.346953e-07,0,2.0155096586938863e-08,4.0
273,273,1333.721,151288.11,13604.869,151898.6,-5.1386094,204.41596901591402,0.027801767,4.6779888e-07,0.008771236,7.036263e-05,4.0,42,0.020311942,1.337204e-07,0,2.034575713387543e-08,4.0
274,274,1154.6313,152582.12,12485.031,153092.06,-4.677806,205.09581088820414,0.027805476,3.7206578e-07,0.01104046,7.3427895e-05,4.0,42,0.020329062,1.3278978e-07,0,2.0313447932661925e-08,4.0
275,275,999.68164,152970.23,11946.915,153436.05,-4.465713,205.77582262716896,0.02784041,3.1674907e-07,0.013326086,8.079033e-05,4.0,42,0.020323176,1.3245372e-07,0,2.0266032540236523e-08,4.0
276,276,865.832,153381.77,11776.038,153833.16,-4.390328,206.4555544994364,0.027847601,3.2308176e-07,0.01560944,9.1471506e-05,4.0,42,0.020308662,1.3201746e-07,0,2.0465396825458203e-08,4.0
277,277,749.7594,154260.17,11025.74,154653.7,-4.0882616,207.13483909172646,0.027814418,3.8957344e-07,0.019252647,9.785551e-05,4.0,42,0.020318203,1.313787e-07,0,2.0546372854857117e-08,4.0
278,278,649.37695,154824.02,10305.309,155166.61,-3.808072,207.8149615773582,0.027837839,2.68324e-07,0.02378276,0.00010490295,4.0,42,0.020320373,1.3095841e-07,0,2.0497555174711696e-08,4.0
279,279,562.3393,154834.92,10372.988,155182.0,-3.832738,208.49193515616935,0.027811512,3.957198e-07,0.027284615,0.000121911,4.0,42,0.02031006,1.3087896e-07,0,2.0579056940968755e-08,4.0
280,280,487.02582,155733.75,10469.598,156085.28,-3.8460672,209.16891516165924,0.027828317,5.6949193e-07,0.031213189,0.00014043464,4.0,42,0.020327337,1.3023225e-07,0,2.0597319854157803e-08,4.0
281,281,421.75427,156303.12,9904.57,156616.62,-3.6258543,209.84591559381806,0.027811885,4.7711154e-07,0.038100004,0.0001523774,4.0,42,0.020337919,1.2985798e-07,0,2.0727247234515862e-08,4.0
