True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,784.7379,2528.4575,2647.4348,-72.75763,81.51549747175886,-0.019783253,3.1027073e-05,8.992186e-06,8.202119e-06,2.0,40,0.010121394,3.8230946e-06,0,3.957008752456526e-09,2.0
111,111,6057573.0,867.4488,2739.2595,2873.3274,-72.42843,82.06749768464942,-0.019718472,-2.7710248e-05,9.591539e-06,8.717349e-06,2.0,40,0.014402521,5.0124886e-06,0,2.4715031213694685e-09,2.0
112,112,5242039.0,923.26746,3149.4,3281.942,-73.66115,82.48349623774993,-0.019736227,1.0337779e-05,9.640335e-06,8.877403e-06,2.0,40,0.020061191,6.112598e-06,0,2.440790295347211e-09,2.0
113,113,4536288.0,772.11743,3568.2253,3650.8079,-77.790184,83.71548632290796,-0.019709062,-3.2026677e-05,9.8325745e-06,9.392773e-06,2.0,40,0.021810906,5.9742683e-06,0,-6.387805295867811e-10,2.0
114,114,3925558.5,956.16003,4037.8506,4149.5156,-76.677795,84.13148650267976,-0.019749362,-3.6938512e-05,1.0040802e-05,9.50767e-06,2.0,40,0.01966934,4.7401536e-06,0,-1.2014821911989523e-09,2.0
115,115,3397055.0,1098.5244,4518.936,4650.542,-76.33679,84.54749622909003,-0.01977202,2.0397817e-06,1.0367675e-05,9.789187e-06,2.0,40,0.020573337,4.4238577e-06,0,-4.33504362967812e-09,2.0
116,116,2939708.2,1045.3508,5369.1377,5469.954,-78.98256,85.26648162325728,-0.019743698,-6.5089953e-06,1.00835005e-05,9.71523e-06,2.0,41,0.01947875,3.5610444e-06,0,-7.729899484272545e-09,2.0
117,117,2543924.5,1120.0961,6198.757,6299.143,-79.757355,85.68249841631041,-0.019804569,4.369483e-07,1.0092792e-05,9.773667e-06,2.0,41,0.021744184,3.4519273e-06,0,-8.157456607971205e-09,2.0
118,118,2201436.2,1201.4742,7081.9673,7183.161,-80.3713,86.23449918921688,-0.019806208,3.84807e-07,1.0208457e-05,9.922856e-06,2.0,41,0.020858238,2.9037685e-06,0,-7.078399187091966e-09,2.0
119,119,1905053.1,1267.4719,8217.738,8314.909,-81.23201,86.78650526879937,-0.019713683,-6.1849623e-06,1.0166248e-05,9.930024e-06,2.0,41,0.02062302,2.4802462e-06,0,-6.514259271487447e-09,2.0
120,120,1648567.4,1700.6404,9406.866,9559.357,-79.75235,87.33848265497363,-0.019773677,-2.7529659e-06,1.0262862e-05,9.938046e-06,2.0,41,0.019994233,2.0915875e-06,0,-6.075084605057309e-09,2.0
121,121,1426616.2,1818.971,10609.766,10764.562,-80.271614,87.8904966545233,-0.019800879,6.9206703e-07,1.0514949e-05,1.02147105e-05,2.0,41,0.020577516,1.9115982e-06,0,-5.653045974626335e-09,2.0
122,122,1234551.2,2293.574,11988.32,12205.749,-79.1692,88.44250124078826,-0.01975866,-3.866549e-06,1.075357e-05,1.0373862e-05,2.0,41,0.020295687,1.6627973e-06,0,-6.474000249697687e-09,2.0
123,123,1068345.5,2664.7617,13773.443,14028.853,-79.05021,88.99450212033116,-0.019763708,-4.497828e-06,1.081598e-05,1.0425734e-05,2.0,41,0.02053375,1.46368e-06,0,-6.4096084835125005e-09,2.0
124,124,924510.06,3679.5813,16051.802,16468.14,-77.08905,89.54648539985646,-0.01972652,-6.667267e-06,1.0724689e-05,1.0189272e-05,2.0,41,0.02039674,1.2385575e-06,0,-6.99233218885251e-09,2.0
125,125,800039.0,3487.7332,16602.297,16964.686,-78.136086,90.09848798610619,-0.019838348,4.895006e-06,1.1982316e-05,1.1475867e-05,2.0,41,0.020587334,1.2135406e-06,0,-6.688685753817412e-09,2.0
126,126,692334.1,5616.7866,20666.117,21415.805,-74.79502,90.65049651896697,-0.019838925,3.6231372e-06,1.1123604e-05,1.0358443e-05,2.0,41,0.0204054,9.528197e-07,0,-7.098386506857235e-09,2.0
127,127,599122.25,6810.5464,23475.104,24443.078,-73.82162,91.20250611854135,-0.019813493,4.131512e-06,1.131611e-05,1.0437595e-05,2.0,41,0.020785812,8.5037624e-07,0,-8.229307515103745e-09,2.0
128,128,518454.94,8143.7954,26001.164,27246.688,-72.60898,91.75450707806158,-0.019826032,3.1929735e-06,1.1806368e-05,1.0751634e-05,2.0,41,0.020418767,7.494036e-07,0,-8.019442222999798e-09,2.0
129,129,448662.03,10168.425,29853.818,31538.03,-71.19079,92.30650705096195,-0.019736636,-4.0769746e-06,1.1882311e-05,1.0647106e-05,2.0,41,0.020140044,6.385955e-07,0,-7.59236679904592e-09,2.0
130,130,388258.97,12729.611,33272.617,35624.57,-69.06389,92.85849849050283,-0.019773882,-3.972692e-06,1.2320028e-05,1.0746978e-05,2.0,41,0.020884058,5.8622624e-07,0,-7.813325156387218e-09,2.0
131,131,335983.9,13395.958,34700.332,37196.3,-68.89107,93.41048446341301,-0.01980794,2.2227782e-06,1.3651112e-05,1.1880528e-05,2.0,41,0.020141656,5.414962e-07,0,-7.744851342506416e-09,2.0
132,132,290751.2,19936.78,40574.547,45208.062,-63.832264,93.96248907627887,-0.019831808,5.8689257e-06,1.3491025e-05,1.0867271e-05,2.0,41,0.02061024,4.558974e-07,0,-7.457192130622964e-09,2.0
