True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,725.6982,2755.966,2849.91,-75.2478,2.4684805439028423,-0.066817984,1.1007678e-05,8.24987e-06,7.71494e-06,1.0,40,0.01013825,3.5573933e-06,0,4.0615003349052534e-10,1.0
1,1,6057573.0,749.7597,3038.019,3129.1692,-76.13686,3.0204922234115656,-0.06677392,-1.2714304e-05,8.648305e-06,8.151807e-06,1.0,40,0.014436175,4.613421e-06,0,7.813098917116197e-11,1.0
2,2,5242039.0,672.86176,3611.8545,3673.9946,-79.44719,3.4364997898519505,-0.06681424,5.5134325e-07,8.406005e-06,8.12406e-06,1.0,40,0.020052299,5.457901e-06,0,-6.664493897308906e-10,1.0
3,3,4536288.0,536.7388,4050.2544,4085.6638,-82.451164,4.668495448393514,-0.066821545,-7.467572e-06,8.6623795e-06,8.512881e-06,1.0,40,0.019906294,4.87223e-06,0,-3.8331154845410415e-09,1.0
4,4,3925558.5,820.82904,4650.2827,4722.17,-79.98974,5.084495841496391,-0.06678352,-4.3952747e-05,8.718451e-06,8.455023e-06,1.0,40,0.018969057,4.017021e-06,0,-6.26244570358065e-09,1.0
5,5,3397055.0,963.59717,5172.8496,5261.8335,-79.4479,5.500495861255331,-0.066822976,-2.467756e-05,9.057069e-06,8.753328e-06,1.0,40,0.020022742,3.8052788e-06,0,-6.740285287157298e-09,1.0
6,6,2939708.2,739.3229,6062.404,6107.3184,-83.04699,6.0824828755285125,-0.066886306,3.6989638e-07,8.930402e-06,8.799533e-06,1.0,41,0.021045014,3.4458683e-06,0,-4.916361599577436e-09,1.0
7,7,2543924.5,706.61414,7091.899,7127.014,-84.31001,6.634494181751506,-0.06681819,-5.5425107e-06,8.821722e-06,8.735006e-06,1.0,41,0.020202102,2.8345814e-06,0,-5.464438976727277e-09,1.0
8,8,2201436.2,791.12585,7988.1226,8027.2026,-84.344,7.186493434623117,-0.066916324,4.2208962e-06,9.050432e-06,8.962523e-06,1.0,41,0.021034246,2.6203707e-06,0,-5.566179251759864e-09,1.0
9,9,1905053.1,796.40765,9101.15,9135.93,-84.999,7.738488500850508,-0.06683138,-3.8479275e-06,9.179452e-06,9.1096945e-06,1.0,41,0.02042,2.235131e-06,0,-4.977497112073416e-09,1.0
