True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,255.21873,1469.8915,1491.8839,-80.14988,2.4664979037770536,0.06837854,2.723914e-07,1.5468055e-05,1.5015375e-05,1.0,40,0.01002979,6.7229025e-06,0,1.1814287605110016e-08,1.0
1,1,6057573.0,294.46048,1798.3895,1822.3369,-80.70115,3.0184957166493405,0.06832173,2.8961784e-05,1.4609581e-05,1.4228133e-05,1.0,40,0.014251041,7.820201e-06,0,1.1318447574031627e-08,1.0
2,2,5242039.0,259.2216,2029.0138,2045.5055,-82.719475,3.4344818164536264,0.068346195,3.7887169e-06,1.4963559e-05,1.4723247e-05,1.0,40,0.019736737,9.648831e-06,0,8.425802167089892e-09,1.0
3,3,4536288.0,195.79323,2350.5364,2358.6768,-85.23841,4.666497474972857,0.0682543,6.399575e-05,1.4926313e-05,1.4823462e-05,1.0,40,0.020793188,8.815616e-06,0,6.5215732480731324e-09,1.0
4,4,3925558.5,273.1891,2664.005,2677.9758,-84.14488,5.082494748028694,0.068270214,8.08656e-06,1.5218914e-05,1.5060535e-05,1.0,40,0.01964994,7.337609e-06,0,5.342199171764151e-09,1.0
5,5,3397055.0,251.42944,3014.3508,3024.8186,-85.23195,5.498498367815046,0.06848694,-8.551715e-05,1.5542604e-05,1.5435215e-05,1.0,40,0.020827785,6.885631e-06,0,2.385680908021628e-09,1.0
6,6,2939708.2,308.56638,3462.6555,3476.377,-84.90768,6.050481060665334,0.06838789,-0.00011232751,1.5635314e-05,1.551213e-05,1.0,40,0.020841442,5.9951617e-06,0,-4.919114173427867e-09,1.0
7,7,2543924.5,392.33554,4104.5244,4123.233,-84.53991,6.602481540263398,0.06829121,-2.2580348e-06,1.524239e-05,1.5104384e-05,1.0,40,0.020561563,4.9867576e-06,0,-8.590078141651247e-09,1.0
8,8,2201436.2,239.64427,4441.817,4448.277,-86.91178,7.155491539830109,0.068436705,-4.940409e-05,1.6276214e-05,1.6228973e-05,1.0,40,0.020742012,4.662932e-06,0,-1.4577201009166806e-08,1.0
9,9,1905053.1,182.3779,5461.5234,5464.568,-88.08742,7.875487574056024,0.068305,-1.756708e-06,1.5296751e-05,1.5279713e-05,1.0,41,0.019467324,3.5624635e-06,0,-9.685591636513083e-09,1.0
10,10,1648567.4,303.96225,6507.196,6514.291,-87.32556,8.427500000252621,0.06835167,-1.0147675e-05,1.4836093e-05,1.4803793e-05,1.0,41,0.019926619,3.0589083e-06,0,-1.0602661857512254e-08,1.0
11,11,1426616.2,279.37155,7121.176,7126.654,-87.75337,8.979484453127952,0.068247184,2.310306e-06,1.5666114e-05,1.564204e-05,1.0,41,0.020220477,2.837303e-06,0,-1.0186308001114715e-08,1.0
12,12,1234551.2,254.07634,7752.0146,7756.1772,-88.12277,9.531487066036789,0.06834828,-2.2687932e-06,1.663016e-05,1.6612314e-05,1.0,41,0.020709297,2.670039e-06,0,-1.1736890517517572e-08,1.0
13,13,1068345.5,153.8429,9683.278,9684.5,-89.08979,10.083503838890465,0.06837673,-9.17748e-06,1.5384594e-05,1.5380712e-05,1.0,41,0.020726193,2.1401406e-06,0,-1.1087862919238331e-08,1.0
14,14,924510.06,515.08606,11007.91,11019.955,-87.32095,10.635499091789825,0.06819919,5.4983575e-06,1.5638807e-05,1.5604639e-05,1.0,41,0.020210532,1.8339941e-06,0,-1.1181490661685858e-08,1.0
15,15,800039.0,-2115.932,10966.206,11168.476,-100.92102,11.323497524455888,0.06836837,-1.1080627e-05,1.8140638e-05,1.7489507e-05,1.0,41,0.01928441,1.7266824e-06,0,-1.366749346770588e-08,1.0
16,16,692334.1,443.34128,14887.711,14894.311,-88.2943,11.875500084046507,0.06830727,4.9620494e-06,1.5441037e-05,1.5427357e-05,1.0,41,0.02008386,1.3484249e-06,0,-1.3982961475818456e-08,1.0
17,17,599122.25,552.0451,17033.236,17042.18,-88.1437,12.427501203579595,0.06834178,-1.108655e-06,1.5595795e-05,1.5579431e-05,1.0,41,0.02072282,1.2159724e-06,0,-1.4612216743526259e-08,1.0
18,18,518454.94,761.16943,19047.424,19062.627,-87.71158,12.979479656467447,0.068404846,-1.5106658e-05,1.6116579e-05,1.6090882e-05,1.0,41,0.020461632,1.07339e-06,0,-1.518098747555996e-08,1.0
19,19,448662.03,1004.78723,22493.53,22515.96,-87.44229,13.531480269361055,0.068169266,1.3606286e-05,1.5770418e-05,1.5739011e-05,1.0,41,0.02023648,8.987615e-07,0,-1.5462302244966647e-08,1.0
20,20,388258.97,976.7321,26484.838,26502.842,-87.887955,14.083486108895158,0.06823863,4.4853323e-06,1.5477519e-05,1.5456497e-05,1.0,41,0.020901361,7.8864605e-07,0,-1.5594991915331016e-08,1.0
21,21,335983.9,-4120.922,20676.268,21082.932,-101.27174,14.63548898845329,0.06823951,1.6473707e-06,2.2910232e-05,2.2034936e-05,1.0,41,0.020006623,9.489488e-07,0,-1.5424665862898083e-08,1.0
22,22,290751.2,1576.8439,34547.605,34583.574,-87.38668,15.187501734675607,0.06806888,1.5956355e-05,1.5844578e-05,1.5811636e-05,1.0,41,0.020611718,5.9599734e-07,0,-1.5199839240254833e-08,1.0
23,23,251605.19,1385.2107,40590.492,40614.12,-88.045456,15.739488667546539,0.06833661,-1.482954e-06,1.5583902e-05,1.5565774e-05,1.0,41,0.020291325,4.9961255e-07,0,-1.437546037329993e-08,1.0
24,24,217729.38,2779.3062,46497.48,46580.47,-86.579315,16.29150432042661,0.06825317,2.3252035e-06,1.5720765e-05,1.5664798e-05,1.0,41,0.02030401,4.3589105e-07,0,-1.3947397668819879e-08,1.0
25,25,188418.58,2661.2454,52343.082,52410.69,-87.089455,17.009485794551438,0.06828253,2.2436673e-07,1.6137532e-05,1.6095924e-05,1.0,42,0.019869396,3.791096e-07,0,-1.4622459364167728e-08,1.0
26,26,163051.14,1732.5997,60709.867,60734.586,-88.36528,17.425483360973885,0.068315245,-3.4854173e-07,1.6078186e-05,1.60651e-05,1.0,42,0.021793129,3.5882567e-07,0,-1.46827568045482e-08,1.0
27,27,141098.2,3712.1672,70347.125,70445.0,-86.97935,17.97748485385091,0.06822259,5.7302896e-07,1.6034384e-05,1.598986e-05,1.0,42,0.02060535,2.9250265e-07,0,-1.4585252656467004e-08,1.0
28,28,122105.11,-1728.4996,79692.41,79711.15,-91.24253,18.52948677339009,0.06847587,-6.076172e-07,1.6355709e-05,1.6348018e-05,1.0,42,0.020316025,2.5487057e-07,0,-1.4611782621028209e-08,1.0
29,29,105663.59,2832.8245,92511.65,92555.01,-88.24608,18.94548676648992,0.06848845,-7.227204e-07,1.6281647e-05,1.6266396e-05,1.0,42,0.021714352,2.3461023e-07,0,-1.4611104131816334e-08,1.0
30,30,91439.65,139.17503,108354.89,108354.98,-89.92641,19.49748108602944,0.06849025,-1.8359434e-06,1.6063384e-05,1.6063359e-05,1.0,42,0.020387575,1.8815541e-07,0,-1.4329647731046218e-08,1.0
31,31,79127.08,3250.3738,124724.85,124767.195,-88.50719,19.914485745859565,0.06825339,-4.2285606e-07,1.612657e-05,1.6115626e-05,1.0,42,0.02141396,1.7163133e-07,0,-1.4316625856733545e-08,1.0
32,32,68475.36,5339.0845,144129.55,144228.4,-87.878525,20.46648739874945,0.068346955,-5.901096e-07,1.6126229e-05,1.6104128e-05,1.0,42,0.020214269,1.4015455e-07,0,-1.434057005453631e-08,1.0
33,33,59252.523,4946.983,162066.58,162142.06,-88.251625,20.882487738475902,0.06841634,-1.5042302e-06,1.6573713e-05,1.6558284e-05,1.0,42,0.020897089,1.2888135e-07,0,-1.4476509542493392e-08,1.0
34,34,51282.285,1533.2307,183800.52,183806.9,-89.52206,21.29850026490749,0.068385355,-4.956802e-07,1.6885193e-05,1.688402e-05,1.0,42,0.02141958,1.1653305e-07,0,-1.4559856169027342e-08,1.0
35,35,44369.8,2961.6194,208872.7,208893.7,-89.18765,21.714504791336367,0.06826084,3.260599e-07,1.717319e-05,1.7169736e-05,1.0,42,0.02175924,1.0416417e-07,0,-1.4564042329799242e-08,1.0
36,36,38403.727,13214.478,252184.55,252530.53,-87.00044,22.266489617555635,0.068276994,-2.4837329e-08,1.6433432e-05,1.6388434e-05,1.0,42,0.020210596,8.003229e-08,0,-1.4581323952370539e-08,1.0
37,37,33226.32,18395.738,290707.5,291288.94,-86.379196,22.682490117353154,0.068289794,-1.771908e-07,1.6477134e-05,1.6411419e-05,1.0,42,0.020413125,7.007861e-08,0,-1.4659118115571919e-08,1.0
38,38,28754.086,13896.113,338581.28,338866.3,-87.64977,23.098490750446217,0.06825708,3.4691996e-07,1.6347736e-05,1.6320246e-05,1.0,42,0.02055369,6.065427e-08,0,-1.4617116476266192e-08,1.0
39,39,24884.947,17668.646,393041.62,393438.56,-87.42608,23.51448575683753,0.06834724,-1.9078708e-07,1.6272148e-05,1.623933e-05,1.0,42,0.02060068,5.2360605e-08,0,-1.4624364794942717e-08,1.0
40,40,21553.963,22354.69,450425.47,450979.88,-87.15873,23.931499909987906,0.06850678,-1.9193842e-06,1.6393438e-05,1.6353157e-05,1.0,42,0.020509278,4.5477147e-08,0,-1.4669111779172874e-08,1.0
41,41,18631.234,39231.164,524525.3,525990.4,-85.7226,24.513488897617208,0.068261534,-8.658448e-08,1.628591e-05,1.6195314e-05,1.0,43,0.020152412,3.8313274e-08,0,-1.4656764778532702e-08,1.0
42,42,16126.037,35960.99,597649.44,598730.4,-86.556625,24.929486490698764,0.068324335,-7.122059e-08,1.6513759e-05,1.6454185e-05,1.0,43,0.0198711,3.318873e-08,0,-1.4662695082637672e-08,1.0
43,43,13954.87,-6967.162,706588.44,706622.8,-90.56493,25.345500563824316,0.06838914,-1.132525e-07,1.6140903e-05,1.6139333e-05,1.0,43,0.01970211,2.7882075e-08,0,-1.4662400428448524e-08,1.0
44,44,12080.609,57215.734,818898.9,820895.25,-86.00329,25.761483650217997,0.06828946,-8.3325475e-08,1.608796e-05,1.6009806e-05,1.0,43,0.019333605,2.3551854e-08,0,-1.4666053581785102e-08,1.0
45,45,10447.592,90539.34,927448.6,931857.44,-84.42434,26.177499456651276,0.06822198,-4.6135536e-08,1.6425329e-05,1.6270273e-05,1.0,43,0.018820453,2.0196708e-08,0,-1.4679867019645495e-08,1.0
