True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,121.436485,1260.5203,1266.3562,-84.4972,82.69349035437335,-0.022113115,7.752197e-05,1.8037283e-05,1.7871418e-05,2.0,40,0.009979835,7.880749e-06,0,-1.1661332536644883e-08,2.0
111,111,6057573.0,205.00977,1510.6794,1524.5266,-82.271774,83.2454960338946,-0.021927636,1.4151896e-05,1.7391985e-05,1.707748e-05,2.0,40,0.014093879,9.244757e-06,0,-1.874270771090162e-08,2.0
112,112,5242039.0,200.38112,1755.9733,1767.3694,-83.489914,83.66149354699883,-0.02185745,-6.6675107e-06,1.7290278e-05,1.706802e-05,2.0,40,0.019567896,1.1071764e-05,0,-2.5595608131078663e-08,2.0
113,113,4536288.0,161.70174,2036.1133,2042.5242,-85.45928,85.0294880119909,-0.021894025,-6.281858e-05,1.7231281e-05,1.7123284e-05,2.0,40,0.018902004,9.254238e-06,0,-3.680667929047843e-08,2.0
114,114,3925558.5,223.8453,2359.5396,2370.1338,-84.58067,85.44550597839407,-0.022002833,-2.3263521e-05,1.71827e-05,1.7029433e-05,2.0,40,0.018422693,7.772849e-06,0,-3.9540857052499864e-08,2.0
115,115,3397055.0,267.1616,2684.6309,2697.8914,-84.31691,85.86149738481618,-0.021823876,-6.9739785e-05,1.7451508e-05,1.7280378e-05,2.0,40,0.019254874,7.1370087e-06,0,-4.292662194121277e-08,2.0
116,116,2939708.2,239.71754,3033.4868,3042.9438,-85.48166,86.27748289794545,-0.021923909,-1.0090898e-05,1.7847351e-05,1.7736591e-05,2.0,40,0.021001399,6.9016714e-06,0,-4.336600653911423e-08,2.0
117,117,2543924.5,301.11755,3458.6108,3471.6943,-85.02419,86.82949372412986,-0.022003133,7.0022946e-07,1.8088986e-05,1.7952902e-05,2.0,40,0.020838981,6.002539e-06,0,-5.1748032399079273e-08,2.0
118,118,2201436.2,627.6992,3922.4673,3972.374,-80.90823,87.38149793705088,-0.022100873,2.9538578e-05,1.8431247e-05,1.7971035e-05,2.0,40,0.020675479,5.2048167e-06,0,-5.726969159928233e-08,2.0
119,119,1905053.1,345.48975,4607.6514,4620.586,-85.71188,87.9334818032512,-0.022187643,5.4116295e-05,1.8131486e-05,1.8030118e-05,2.0,40,0.020443428,4.4244234e-06,0,-5.86483000173601e-08,2.0
