True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,154.92834,1417.8416,1426.281,-83.764,2.4664753171091434,-0.024322765,-8.565169e-06,1.6035898e-05,1.5846686e-05,1.0,40,0.009984552,7.00041e-06,0,-2.7533727702259763e-09,1.0
1,1,6057573.0,383.8147,1823.5596,1863.5137,-78.11413,3.01849286336801,-0.024366846,3.0816948e-06,1.4407928e-05,1.3796734e-05,1.0,40,0.014228053,7.635068e-06,0,-4.870814968987879e-09,1.0
2,2,5242039.0,259.45004,2028.6685,2045.1919,-82.71191,3.4344911764201242,-0.024286265,9.835465e-06,1.49661055e-05,1.4725256e-05,1.0,40,0.019712701,9.638558e-06,0,-3.976123089147323e-09,1.0
3,3,4536288.0,216.00835,2300.4578,2310.577,-84.63577,4.666499394952552,-0.024297128,-5.0501807e-05,1.5251244e-05,1.511795e-05,1.0,40,0.020624753,8.926235e-06,0,-1.4331773527434027e-08,1.0
4,4,3925558.5,311.9418,2738.2808,2755.9915,-83.500946,5.082492694695247,-0.024478693,4.7399742e-05,1.4806101e-05,1.4616417e-05,1.0,40,0.019545224,7.0919027e-06,0,-1.2598276302690516e-08,1.0
5,5,3397055.0,365.25705,3037.7866,3059.6667,-83.14379,5.498491541162366,-0.02432977,-8.3805455e-05,1.5422696e-05,1.5202904e-05,1.0,40,0.020649066,6.748796e-06,0,-1.3652301975702761e-08,1.0
6,6,2939708.2,324.42795,3474.9995,3490.111,-84.6663,6.050497140706284,-0.0244331,1.7947425e-05,1.5579773e-05,1.544515e-05,1.0,40,0.021141203,6.0574584e-06,0,-1.4126231353657204e-08,1.0
7,7,2543924.5,283.87292,4042.485,4052.44,-85.98315,6.602498420252232,-0.024530824,6.5949316e-05,1.5476313e-05,1.540037e-05,1.0,40,0.020410366,5.0365625e-06,0,-2.1983867093284616e-08,1.0
8,8,2201436.2,321.62347,4327.7354,4339.67,-85.74977,7.154500819771783,-0.024249932,-0.00010133173,1.6705262e-05,1.6613507e-05,1.0,40,0.02060087,4.7471053e-06,0,-1.9065900809235043e-08,1.0
9,9,1905053.1,233.98265,5514.846,5519.8076,-87.570526,7.873482720606262,-0.024348438,-6.3562916e-06,1.5148848e-05,1.5121628e-05,1.0,41,0.0194753,3.5282571e-06,0,-2.2888781729556168e-08,1.0
10,10,1648567.4,288.25327,6645.7056,6651.954,-87.51639,8.425487200176576,-0.024252057,-1.5581516e-05,1.452688e-05,1.4499601e-05,1.0,41,0.020117056,3.0242325e-06,0,-2.4141425088520327e-08,1.0
