True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,179.31476,1626.9956,1636.8472,-83.710686,2.46647918378585,0.03280126,2.888748e-05,1.3974446e-05,1.3806738e-05,1.0,40,0.010029543,6.1273545e-06,0,9.609318354970735e-09,1.0
1,1,6057573.0,308.85596,1956.957,1981.1797,-81.031296,3.0184889700321946,0.032903433,2.1142102e-06,1.3425801e-05,1.309951e-05,1.0,40,0.014255521,7.195471e-06,0,8.116827522611755e-09,1.0
2,2,5242039.0,289.79913,2234.5408,2253.2546,-82.61052,3.4344830431218725,0.033022735,-5.1971638e-05,1.3587251e-05,1.3362497e-05,1.0,40,0.019786794,8.781428e-06,0,5.961793802776406e-09,1.0
3,3,4536288.0,210.3723,2597.5366,2606.0417,-85.36977,5.074483040982159,0.03307986,-8.990804e-05,1.3506967e-05,1.3418948e-05,1.0,40,0.01818666,6.978653e-06,0,2.278613350111098e-09,1.0
4,4,3925558.5,274.14438,2950.2356,2962.9453,-84.691154,5.6265016005781945,0.032758478,4.6078756e-05,1.3742381e-05,1.3624736e-05,1.0,40,0.020255692,6.836337e-06,0,4.032732952130876e-09,1.0
5,5,3397055.0,337.22357,3371.2073,3388.0317,-84.287674,6.0424863403022755,0.032943733,-5.037158e-05,1.3897353e-05,1.3759672e-05,1.0,40,0.021037968,6.2094955e-06,0,1.3619334034602718e-09,1.0
6,6,2939708.2,344.4279,3813.8044,3829.3257,-84.83957,6.594495513214497,0.032906566,-2.0230847e-05,1.4195722e-05,1.4080877e-05,1.0,40,0.02036624,5.3184926e-06,0,9.353277321691975e-09,1.0
7,7,2543924.5,456.31552,4486.0317,4509.18,-84.191895,7.146503326104721,0.032905877,-5.7627676e-05,1.3946126e-05,1.3803305e-05,1.0,40,0.020699726,4.590574e-06,0,4.2658404717915094e-10,1.0
8,8,2201436.2,207.13893,5326.981,5331.007,-87.773186,7.698479485610733,0.032716148,4.1594856e-05,1.3571657e-05,1.3551166e-05,1.0,40,0.020733256,3.889182e-06,0,7.065399673946458e-10,1.0
9,9,1905053.1,278.67148,6017.716,6024.165,-87.34861,8.41747834646958,0.032783035,7.1440365e-07,1.3882937e-05,1.3853228e-05,1.0,41,0.019571058,3.2487587e-06,0,9.995534669368707e-10,1.0
10,10,1648567.4,434.9191,6757.267,6771.249,-86.317345,8.969494212680729,0.03297241,-5.905631e-06,1.4287042e-05,1.42281015e-05,1.0,41,0.019887187,2.9370042e-06,0,-1.3494414632388738e-09,1.0
11,11,1426616.2,321.76758,7933.053,7939.576,-87.67734,9.52147917219554,0.032943603,-2.6766113e-06,1.4062826e-05,1.4039729e-05,1.0,41,0.020301502,2.5570007e-06,0,-4.0971161156417363e-10,1.0
12,12,1234551.2,267.1814,9577.534,9581.26,-88.402054,10.073492291761795,0.032854266,3.0197962e-06,1.3460378e-05,1.3449913e-05,1.0,41,0.020716779,2.1622186e-06,0,-1.0992993931008893e-09,1.0
13,13,1068345.5,381.19458,10460.0625,10467.006,-87.9129,10.625500024674693,0.03282986,4.241385e-06,1.4242104e-05,1.4223215e-05,1.0,41,0.020541996,1.9625475e-06,0,-8.468969547881973e-10,1.0
14,14,924510.06,791.3728,11975.674,12001.793,-86.21929,11.177504237537505,0.032936823,3.9598433e-07,1.4375022e-05,1.4312523e-05,1.0,41,0.020124543,1.6767948e-06,0,-1.2034405658849007e-09,1.0
15,15,800039.0,12437.969,19016.414,22722.832,-56.81271,11.729496610438218,0.032972857,-1.4724912e-05,1.0461172e-05,7.326772e-06,1.0,41,0.021167824,9.3156626e-07,0,-1.1799785663192274e-09,1.0
16,16,692334.1,1188.2915,17469.52,17509.887,-86.10869,12.28147839664598,0.032850686,1.1907977e-05,1.3159018e-05,1.3098414e-05,1.0,41,0.020458242,1.1683824e-06,0,-1.7989656291822106e-09,1.0
17,17,599122.25,612.0079,18927.697,18937.59,-88.14804,12.833488689531805,0.032847278,-2.9860786e-07,1.4034821e-05,1.4020163e-05,1.0,41,0.020720186,1.0941301e-06,0,-6.883541003317204e-10,1.0
18,18,518454.94,190.38449,21914.63,21915.457,-89.50225,13.385487142397324,0.032814506,-2.3715647e-07,1.4007961e-05,1.4006906e-05,1.0,41,0.02046406,9.33773e-07,0,4.288049854039855e-11,1.0
19,19,448662.03,423.53204,25307.37,25310.912,-89.041214,13.937493675301084,0.03284143,-2.723166e-06,1.40169595e-05,1.4013035e-05,1.0,41,0.020137591,7.956091e-07,0,-7.365743259081607e-10,1.0
20,20,388258.97,1455.925,29029.047,29065.535,-87.12879,14.489491488173371,0.032835726,4.7888666e-06,1.4121014e-05,1.4085581e-05,1.0,41,0.020864895,7.178569e-07,0,1.0907759940121449e-10,1.0
21,21,335983.9,1455.2649,25126.846,25168.953,-86.68532,15.041490607749438,0.032916848,9.99331e-07,1.885227e-05,1.8789244e-05,1.0,41,0.019708399,7.83044e-07,0,4.975457216068612e-10,1.0
22,22,290751.2,3063.5894,38301.29,38423.617,-85.42684,15.5935012739792,0.032714527,7.878222e-06,1.4291743e-05,1.42008885e-05,1.0,41,0.020583436,5.356975e-07,0,3.210022024183622e-10,1.0
23,23,251605.19,3543.4424,43418.06,43562.414,-85.334305,16.145503486826783,0.032803047,4.042132e-06,1.4569014e-05,1.4472617e-05,1.0,41,0.020311786,4.662686e-07,0,-3.9617344393308135e-11,1.0
24,24,217729.38,3562.1729,51056.957,51181.07,-86.00902,16.697501166403526,0.032815773,-2.2222396e-06,1.4316873e-05,1.4247521e-05,1.0,41,0.020366352,3.9792744e-07,0,-2.6308214454928704e-10,1.0
25,25,188418.58,192.5791,59069.312,59069.625,-89.8132,17.416499307233607,0.032922048,-4.1279858e-07,1.4299949e-05,1.4299798e-05,1.0,42,0.019836813,3.3582089e-07,0,-5.208136452624264e-10,1.0
26,26,163051.14,2238.705,68101.09,68137.88,-88.11718,17.832491860288428,0.03275101,1.4243828e-06,1.4333169e-05,1.4317696e-05,1.0,42,0.021798834,3.1992238e-07,0,-5.248277075280169e-10,1.0
27,27,141098.2,2207.7053,76258.23,76290.18,-88.34173,18.384498659841483,0.032923948,1.6882886e-08,1.4791491e-05,1.47791025e-05,1.0,42,0.020325676,2.6642584e-07,0,-5.209656712652747e-10,1.0
28,28,122105.11,-854.8696,91272.6,91276.6,-90.53662,18.800496812938945,0.032869115,-3.923108e-07,1.428058e-05,1.427933e-05,1.0,42,0.02204851,2.415571e-07,0,-5.496975057689547e-10,1.0
29,29,105663.59,4698.9214,102249.12,102357.03,-87.36879,19.352491452504182,0.0327838,4.635132e-07,1.47311e-05,1.4700055e-05,1.0,42,0.020376556,1.9907334e-07,0,-3.4776245323166045e-10,1.0
30,30,91439.65,1151.6063,117076.58,117082.24,-89.43644,19.76848851228715,0.03282891,-5.3795924e-07,1.4866733e-05,1.4865295e-05,1.0,42,0.021574052,1.8426408e-07,0,-4.4670423912861344e-10,1.0
31,31,79127.08,-17.078213,133844.25,133844.25,-90.00731,20.320480991824297,0.03285356,-3.96036e-07,1.5027796e-05,1.5027796e-05,1.0,42,0.020298852,1.5166025e-07,0,-3.749380764469142e-10,1.0
32,32,68475.36,6607.2075,155231.12,155371.67,-87.56275,20.736487971589668,0.032835912,1.7966085e-09,1.4972937e-05,1.4945861e-05,1.0,42,0.021145396,1.3609557e-07,0,-3.458792719861492e-10,1.0
33,33,59252.523,4493.03,178080.36,178137.03,-88.55471,21.152484871301567,0.032965217,-1.6465262e-06,1.5083331e-05,1.5073735e-05,1.0,42,0.02182289,1.225062e-07,0,-2.8404797823795073e-10,1.0
34,34,51282.285,8317.738,204521.47,204690.53,-87.671104,21.70448871087865,0.03300274,-1.7206542e-06,1.5174482e-05,1.5149426e-05,1.0,42,0.020197367,9.86727e-08,0,-3.36899014449838e-10,1.0
