True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,132.36295,1871.7611,1876.4353,-85.955025,82.69948083467898,0.0274195,-6.0939336e-05,1.2147042e-05,1.2086601e-05,2.0,40,0.010104503,5.384946e-06,0,-1.644034913879169e-08,2.0
111,111,6057573.0,318.17886,1872.238,1899.0822,-80.35497,83.25149923420395,0.027379703,8.040569e-05,1.40333195e-05,1.3639394e-05,2.0,40,0.014261474,7.509667e-06,0,-1.5189477802876026e-08,2.0
112,112,5242039.0,299.24704,2167.9158,2188.4714,-82.14087,83.66748984061996,0.027541127,-2.2872811e-05,1.400482e-05,1.3742968e-05,2.0,40,0.019786673,9.041321e-06,0,-1.70256930285575e-08,2.0
113,113,4536288.0,159.5086,2457.1233,2462.2952,-86.28575,85.17148236537469,0.027471669,-8.8123284e-07,1.42788285e-05,1.4218907e-05,2.0,40,0.020484053,8.319089e-06,0,-3.5502546636716186e-08,2.0
114,114,3925558.5,275.21628,2859.1553,2872.3706,-84.50177,85.58748734518304,0.027461942,-4.2985233e-05,1.4180153e-05,1.4049972e-05,2.0,40,0.019294959,6.7174333e-06,0,-3.8928890213753676e-08,2.0
115,115,3397055.0,333.42038,3248.8738,3265.9377,-84.14045,86.00348512493656,0.027475096,-7.3628304e-05,1.4420645e-05,1.4270348e-05,2.0,40,0.020472102,6.2683685e-06,0,-3.958326844702419e-08,2.0
116,116,2939708.2,407.07083,3831.4312,3852.995,-83.935356,86.55548688446288,0.027300946,2.8812965e-05,1.4130414e-05,1.3972689e-05,2.0,40,0.020589354,5.343727e-06,0,-4.1139105667822506e-08,2.0
117,117,2543924.5,495.2461,4355.6924,4383.757,-83.513275,87.10750589738018,0.027406253,-6.765767e-07,1.4363449e-05,1.4180129e-05,2.0,40,0.020600047,4.6991763e-06,0,-4.2909758920239306e-08,2.0
118,118,2201436.2,-57.87139,4772.2188,4772.57,-90.69478,87.82650070483214,0.027407818,-1.217374e-05,1.5149338e-05,1.51471095e-05,2.0,41,0.019898621,4.1693725e-06,0,-4.489271268226326e-08,2.0
119,119,1905053.1,145.69638,5970.8066,5972.584,-88.60218,88.37850270440686,0.027394496,-3.3246483e-06,1.3992007e-05,1.3983681e-05,2.0,41,0.020450264,3.424023e-06,0,-4.476722604881288e-08,2.0
120,120,1648567.4,168.46867,7043.9746,7045.989,-88.62994,88.93048441063729,0.027403831,-1.3079093e-06,1.3705524e-05,1.369769e-05,2.0,41,0.019880854,2.8215845e-06,0,-4.536262747428468e-08,2.0
121,121,1426616.2,494.8429,7831.1455,7846.764,-86.38434,89.48250467682374,0.027424308,-4.587548e-07,1.42458275e-05,1.4189172e-05,2.0,41,0.020384073,2.5977681e-06,0,-4.7593023963126296e-08,2.0
122,122,1234551.2,511.8681,9051.648,9066.11,-86.76339,90.03449088972411,0.027337091,1.5672978e-06,1.4242405e-05,1.4197003e-05,2.0,41,0.020749528,2.2886913e-06,0,-4.8406186247588164e-08,2.0
123,123,1068345.5,144.85944,10289.8955,10290.915,-89.19345,90.58648990260554,0.027244082,1.1133313e-05,1.447763e-05,1.4474761e-05,2.0,41,0.020532638,1.99522e-06,0,-4.810898305915935e-08,2.0
124,124,924510.06,559.9979,11591.363,11604.883,-87.2341,91.13848987550591,0.027479382,-4.9205364e-06,1.4851624e-05,1.4817041e-05,2.0,41,0.020161927,1.7373658e-06,0,-5.065745922963869e-08,2.0
125,125,800039.0,-2786.6611,12657.704,12960.824,-102.41591,91.69048240836128,0.027351048,-6.1890154e-07,1.5716434e-05,1.4989897e-05,2.0,41,0.021527784,1.6609888e-06,0,-5.073439728601809e-08,2.0
