True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,277.39642,1570.1958,1594.5105,-79.9813,2.466480197123019,0.018284341,-1.7886467e-05,1.4479952e-05,1.40417105e-05,1.0,40,0.010039257,6.296137e-06,0,3.759622211671538e-10,1.0
1,1,6057573.0,248.26973,2024.7726,2039.9368,-83.00951,3.0184987033426296,0.018360527,5.6864405e-06,1.2976131e-05,1.27839285e-05,1.0,40,0.014294376,7.0072642e-06,0,-3.8566261050871415e-10,1.0
2,2,5242039.0,294.03928,2344.61,2362.976,-82.851814,3.434495123074157,0.018425925,-3.0928946e-05,1.2949388e-05,1.2748876e-05,1.0,40,0.019910082,8.42585e-06,0,-1.3486734100669966e-09,1.0
3,3,4536288.0,185.92354,2661.3228,2667.8093,-86.00373,4.666493794968119,0.018369507,-3.6584977e-05,1.3183234e-05,1.3119204e-05,1.0,40,0.021944063,8.225499e-06,0,-1.10179733089808e-08,1.0
4,4,3925558.5,310.81845,3025.3257,3041.2502,-84.13408,5.082495548034785,0.018322239,-3.4687233e-05,1.3401288e-05,1.3261312e-05,1.0,40,0.01998461,6.5711824e-06,0,-1.2881048737136148e-08,1.0
5,5,3397055.0,327.95056,3344.0576,3360.1,-84.39893,5.499481647828361,0.018231222,1.5510104e-05,1.4010183e-05,1.3876722e-05,1.0,40,0.020877704,6.2134172e-06,0,-1.5773684637707675e-08,1.0
6,6,2939708.2,336.33383,3967.715,3981.9446,-85.154755,6.0514902873837855,0.018244041,-3.5232115e-06,1.3645059e-05,1.3547712e-05,1.0,40,0.0204192,5.127947e-06,0,-1.4825091909945816e-08,1.0
7,7,2543924.5,321.56497,4536.5923,4547.9746,-85.94551,6.603494126960868,0.018293826,-4.0213035e-05,1.3790696e-05,1.3721753e-05,1.0,40,0.02059322,4.527998e-06,0,-2.2130306954645266e-08,1.0
8,8,2201436.2,379.79614,4736.696,4751.898,-85.41573,7.155501779838232,0.018171955,3.2924752e-05,1.5262951e-05,1.516545e-05,1.0,40,0.020534646,4.3213568e-06,0,-2.438926372442691e-08,1.0
9,9,1905053.1,180.47221,6146.678,6149.327,-88.31822,7.874478453974007,0.018256767,1.8261242e-06,1.3591662e-05,1.3579955e-05,1.0,41,0.019541025,3.1777502e-06,0,-2.2685266938496954e-08,1.0
10,10,1648567.4,38.223244,6823.122,6823.229,-89.67903,8.426502133515896,0.018299097,-7.855332e-06,1.4149148e-05,1.4148705e-05,1.0,41,0.01986778,2.9117855e-06,0,-2.288293723941257e-08,1.0
11,11,1426616.2,71.89952,8047.5522,8047.8735,-89.48811,8.978477573109558,0.018186003,4.9266673e-06,1.3862743e-05,1.3861636e-05,1.0,41,0.020629833,2.5633892e-06,0,-2.3336401934301422e-08,1.0
12,12,1234551.2,46.27087,9691.363,9691.474,-89.72645,9.530494559294311,0.018251847,-1.4419866e-06,1.330228e-05,1.33019785e-05,1.0,41,0.020383079,2.103197e-06,0,-2.315200651713667e-08,1.0
13,13,1068345.5,473.09232,10979.563,10989.751,-87.53274,10.082480452168966,0.018256841,1.2376902e-06,1.3568235e-05,1.3543091e-05,1.0,41,0.02073908,1.8871292e-06,0,-2.4031607272623507e-08,1.0
