True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,277.7931,1865.6917,1886.2594,-81.531136,82.83948414798942,0.021262886,6.113061e-05,1.2186559e-05,1.1922243e-05,2.0,40,0.010076573,5.342093e-06,0,-3.689744644158803e-08,2.0
111,111,6057573.0,395.47604,2032.7709,2070.8835,-78.990616,83.39150417418568,0.021482926,-2.5161295e-05,1.2925075e-05,1.2453705e-05,2.0,40,0.014303054,6.9067396e-06,0,-4.306752620483441e-08,2.0
112,112,5242039.0,295.37296,2359.9998,2378.412,-82.866066,83.80749542059493,0.021308534,7.0768096e-05,1.2864944e-05,1.2666529e-05,2.0,40,0.019842938,8.342935e-06,0,-4.454366876030965e-08,2.0
113,113,4536288.0,221.73642,2671.7302,2680.9158,-85.25569,85.03949691911112,0.021367112,-2.843581e-05,1.3131881e-05,1.3042048e-05,2.0,40,0.021917775,8.175481e-06,0,-5.099178719994215e-08,2.0
114,114,3925558.5,280.93875,2986.8235,3000.0068,-84.6266,85.45549232556368,0.021234471,3.8990103e-05,1.3574039e-05,1.3455001e-05,2.0,40,0.019891977,6.630644e-06,0,-5.6509563498656076e-08,2.0
115,115,3397055.0,406.63318,3479.6968,3503.3755,-83.33472,85.87148949198308,0.021418665,-5.0055278e-05,1.3464064e-05,1.3282676e-05,2.0,40,0.020929724,5.9741596e-06,0,-5.973527590993497e-08,2.0
116,116,2939708.2,354.0475,4011.4824,4027.076,-84.95623,86.42348359819152,0.021262402,1.7779967e-05,1.3496185e-05,1.33918675e-05,2.0,40,0.020384114,5.0617655e-06,0,-6.06956692052631e-08,2.0
117,117,2543924.5,260.391,4661.339,4668.606,-86.80267,86.97549023773172,0.021194879,6.0442126e-05,1.342163e-05,1.3379878e-05,2.0,40,0.020656638,4.4245835e-06,0,-5.8790260851499136e-08,2.0
118,118,2201436.2,351.24393,5733.817,5744.565,-86.49454,87.6945037652331,0.02128448,1.0253874e-06,1.2608697e-05,1.2561559e-05,2.0,41,0.0198902,3.4624381e-06,0,-6.842544132325577e-08,2.0
119,119,1905053.1,291.25607,6256.5444,6263.3203,-87.33468,88.24650565811316,0.021284573,3.3475387e-06,1.3352988e-05,1.3324114e-05,2.0,41,0.020590339,3.2874477e-06,0,-6.94433619961493e-08,2.0
120,120,1648567.4,412.5835,7067.685,7079.7173,-86.65909,88.79850568433176,0.021538524,-2.073044e-05,1.3659546e-05,1.3613156e-05,2.0,41,0.019768756,2.7923086e-06,0,-7.007436587175736e-08,2.0
121,121,1426616.2,219.52818,8101.635,8104.6084,-88.447845,89.35049883057945,0.02140186,-3.2948544e-06,1.3770202e-05,1.3760099e-05,2.0,41,0.020670012,2.5504023e-06,0,-6.989412021006321e-08,2.0
122,122,1234551.2,77.54573,9223.913,9224.239,-89.518326,89.90250429676962,0.021273784,2.751642e-06,1.3976416e-05,1.3975427e-05,2.0,41,0.020441633,2.216078e-06,0,-7.10489237775257e-08,2.0
123,123,1068345.5,547.4699,10892.401,10906.151,-87.12264,90.45448784300243,0.021403424,-7.378616e-06,1.3676809e-05,1.3642345e-05,2.0,41,0.020532038,1.8826107e-06,0,-7.161099677962332e-08,2.0
124,124,924510.06,253.07933,12464.525,12467.095,-88.83683,91.00649338922813,0.021261506,5.3419344e-06,1.3811243e-05,1.380555e-05,2.0,41,0.020223029,1.6221124e-06,0,-7.133901371706249e-08,2.0
125,125,800039.0,2115.8428,16207.813,16345.336,-82.5624,91.5584864820994,0.021373857,-5.5965083e-06,1.2273956e-05,1.2068289e-05,2.0,41,0.020253774,1.2391164e-06,0,-7.19796519591927e-08,2.0
126,126,692334.1,-6.447797,16523.672,16523.674,-90.022354,92.11049901499064,0.02125234,6.3828925e-06,1.3912265e-05,1.3912262e-05,2.0,41,0.020324763,1.230039e-06,0,-7.0540362183963e-08,2.0
127,127,599122.25,605.1161,19303.574,19313.057,-88.20451,92.66248474785243,0.021343617,2.414241e-07,1.3761538e-05,1.3748027e-05,2.0,41,0.020694569,1.0715326e-06,0,-6.894386738338751e-08,2.0
128,128,518454.94,285.29163,22640.957,22642.754,-89.27807,93.21450690741767,0.021265363,4.308424e-06,1.3558584e-05,1.3556432e-05,2.0,41,0.020228596,8.9338056e-07,0,-6.937101892399985e-08,2.0
129,129,448662.03,968.84894,25686.562,25704.828,-87.839935,93.76648904031026,0.021268979,9.918828e-07,1.3810036e-05,1.3790416e-05,2.0,41,0.020257281,7.88073e-07,0,-7.02844062687886e-08,2.0
130,130,388258.97,586.2522,29442.555,29448.39,-88.85929,94.31849431988667,0.021345796,3.9412214e-07,1.39226895e-05,1.39171725e-05,2.0,41,0.020771995,7.053695e-07,0,-7.09278239189383e-08,2.0
131,131,335983.9,2484.9329,37488.074,37570.344,-86.20764,95.47549354817602,0.02133419,-1.7473834e-06,1.2635967e-05,1.2580689e-05,2.0,41,0.021160396,5.6322074e-07,0,-7.150446776723543e-08,2.0
132,132,290751.2,3857.8047,39093.652,39283.54,-84.364235,96.02749450769625,0.02154538,-1.2993086e-05,1.4002074e-05,1.3867037e-05,2.0,41,0.020542845,5.2293774e-07,0,-7.237310175982654e-08,2.0
133,133,251605.19,2620.2202,46420.023,46493.914,-86.76932,96.57949637391721,0.021374136,-1.76973e-06,1.3626841e-05,1.3583563e-05,2.0,41,0.020346664,4.3761995e-07,0,-7.16063587325798e-08,2.0
134,134,217729.38,2618.727,52976.836,53041.52,-87.17008,97.13148882679525,0.021352727,1.191135e-06,1.37980305e-05,1.3764397e-05,2.0,41,0.020444129,3.8543632e-07,0,-7.049281155979199e-08,2.0
135,135,188418.58,316.06696,61133.516,61134.332,-89.70377,97.8504989942594,0.021334078,-3.6623575e-07,1.3817104e-05,1.3816735e-05,2.0,42,0.019703953,3.2230585e-07,0,-7.067409696701076e-08,2.0
136,136,163051.14,1443.5211,68226.58,68241.84,-88.78793,98.2664862406964,0.021282282,-6.264628e-08,1.4306807e-05,1.4300406e-05,2.0,42,0.021565935,3.1602215e-07,0,-7.064957936187473e-08,2.0
137,137,141098.2,4221.4526,78868.016,78980.914,-86.936134,98.8184959469072,0.021290256,4.445156e-07,1.4302031e-05,1.42611725e-05,2.0,42,0.020611,2.6096177e-07,0,-7.073756417753469e-08,2.0
138,138,122105.11,-2643.2046,87525.27,87565.18,-91.72977,99.37050234645722,0.021020636,2.166966e-06,1.4891993e-05,1.4878423e-05,2.0,42,0.020313054,2.3197639e-07,0,-7.071717614320426e-08,2.0
139,139,105663.59,2276.4756,108903.484,108927.27,-88.80248,99.78648497958784,0.021384941,-6.2084104e-07,1.3830981e-05,1.3824941e-05,2.0,42,0.021786356,2.0000827e-07,0,-7.075688322730893e-08,2.0
