True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
220,220,7000018.5,428.208,1686.8115,1740.3147,-75.75598,162.94548189945635,0.01861569,-1.8723713e-05,1.3478899e-05,1.2662864e-05,3.0,40,0.01001309,5.753609e-06,0,-2.6729185315928976e-08,3.0
221,221,6057573.0,240.46783,2067.9656,2081.8997,-83.3673,163.49750997903175,0.01865651,-8.56102e-05,1.27051035e-05,1.2535603e-05,3.0,40,0.014325819,6.8811282e-06,0,-3.4327878411090456e-08,3.0
222,222,5242039.0,321.38928,2309.0771,2331.3362,-82.07619,163.91349597208318,0.018700892,-5.634391e-05,1.31486595e-05,1.2898777e-05,3.0,40,0.019812493,8.498342e-06,0,-3.634489854364443e-08,3.0
223,223,4536288.0,282.76978,2645.9797,2661.0464,-83.900085,165.55350631664624,0.018619452,3.733422e-05,1.3259679e-05,1.3109953e-05,3.0,40,0.01801528,6.769999e-06,0,-4.9749053946618794e-08,3.0
224,224,3925558.5,316.0412,2970.143,2986.9102,-83.92624,166.10551020954154,0.018622248,2.0025961e-06,1.3650271e-05,1.349745e-05,3.0,40,0.020185422,6.757961e-06,0,-5.246199141666954e-08,3.0
225,225,3397055.0,384.33545,3371.567,3393.402,-83.49675,166.52148892267724,0.018703612,-2.9589351e-05,1.3895871e-05,1.3717618e-05,3.0,40,0.021250857,6.2624044e-06,0,-5.4154624990938e-08,3.0
226,226,2939708.2,363.59598,3924.2324,3941.0408,-84.70643,167.0735037488921,0.01868757,-2.8993984e-05,1.3796253e-05,1.3678824e-05,3.0,40,0.020483661,5.1975258e-06,0,-5.4557837778168383e-08,3.0
227,227,2543924.5,433.15784,4388.781,4410.1045,-84.36336,167.62549916174612,0.018518953,4.2506526e-05,1.4255158e-05,1.4117638e-05,3.0,40,0.02070244,4.6943196e-06,0,-5.7425701706465065e-08,3.0
228,228,2201436.2,328.7756,4772.0903,4783.4023,-86.05881,168.17749233465292,0.018598864,-3.8538547e-05,1.5149747e-05,1.5078177e-05,3.0,40,0.020885335,4.3662094e-06,0,-4.804778117383495e-08,3.0
229,229,1905053.1,262.87344,5890.7812,5896.6436,-87.4449,168.89650578211877,0.018458474,6.1854867e-06,1.41820865e-05,1.4153902e-05,3.0,41,0.01930214,3.2734115e-06,0,-4.35351836525714e-08,3.0
230,230,1648567.4,732.303,6956.8057,6995.242,-83.99093,169.44850114165456,0.018761184,-1.7723021e-05,1.3877256e-05,1.3725173e-05,3.0,41,0.019898936,2.8446386e-06,0,-4.353573937697577e-08,3.0
231,231,1426616.2,309.4457,8136.36,8142.242,-87.82195,170.00049372788635,0.01860205,-1.749246e-06,1.3711432e-05,1.3691628e-05,3.0,41,0.020598194,2.5297938e-06,0,-4.294133699971386e-08,3.0
232,232,1234551.2,39.084824,9141.488,9141.572,-89.75503,170.55251114079147,0.018653864,-8.987538e-06,1.4102435e-05,1.4102176e-05,3.0,41,0.020383611,2.2297709e-06,0,-4.3806397192959716e-08,3.0
233,233,1068345.5,385.05753,11003.326,11010.062,-87.99577,171.10450807368034,0.018689768,-1.1257535e-05,1.3538934e-05,1.3522374e-05,3.0,41,0.020909337,1.8991117e-06,0,-4.5079500829391504e-08,3.0
234,234,924510.06,292.1212,12600.122,12603.508,-88.67189,171.6565107399074,0.018621279,7.094245e-06,1.3662612e-05,1.3655273e-05,3.0,41,0.020299226,1.6106013e-06,0,-4.5239154978285e-08,3.0
235,235,800039.0,7785.4497,19369.102,20875.232,-68.10224,172.20850692610838,0.018579189,2.811232e-06,1.0270686e-05,8.8421075e-06,3.0,41,0.021623468,1.0358432e-06,0,-4.541520014924504e-08,3.0
236,236,692334.1,2557.618,17375.268,17562.498,-81.62627,172.76050439229584,0.018633295,-3.1905731e-06,1.32303985e-05,1.2949808e-05,3.0,41,0.02038253,1.1605712e-06,0,-4.59060866716541e-08,3.0
