True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,225.78912,1606.2953,1622.0867,-81.998634,2.46549798376509,-0.006111581,4.831149e-05,1.4154533e-05,1.388028e-05,1.0,40,0.010016824,6.1752708e-06,0,9.81294996010244e-09,1.0
1,1,6057573.0,284.69614,1666.3927,1690.5374,-80.30486,3.0174859566322993,-0.0061279205,2.2394073e-05,1.5766822e-05,1.5319667e-05,1.0,40,0.014031415,8.299973e-06,0,8.74598854275948e-09,1.0
2,2,5242039.0,255.6931,1905.8644,1922.94,-82.35876,3.433481149695581,-0.006101091,5.9790927e-05,1.5930445e-05,1.5648779e-05,1.0,40,0.019487016,1.013397e-05,0,1.2799966088411768e-08,1.0
3,3,4536288.0,211.49013,2145.0645,2155.465,-84.36919,4.801500521338312,-0.0061123446,5.742277e-06,1.6356078e-05,1.6198615e-05,1.0,40,0.018853614,8.746889e-06,0,-3.2675979490351082e-09,1.0
4,4,3925558.5,266.57297,2495.2874,2509.486,-83.90218,5.2175006211327855,-0.0060829436,-2.0533862e-06,1.6247932e-05,1.606459e-05,1.0,40,0.018098725,7.212124e-06,0,-7.210636994790952e-11,1.0
5,5,3397055.0,359.84637,2852.6394,2875.2463,-82.810394,5.6334779475291725,-0.0060683736,-2.4026347e-05,1.6423688e-05,1.6166437e-05,1.0,40,0.019056113,6.6276457e-06,0,1.203417744742789e-09,1.0
6,6,2939708.2,394.8853,3192.2996,3216.6304,-82.94837,6.049488074000692,-0.006127846,1.128141e-06,1.695947e-05,1.6703874e-05,1.0,40,0.020783426,6.461242e-06,0,2.3550276957217242e-09,1.0
7,7,2543924.5,387.61386,3739.8975,3759.9304,-84.082825,6.601503326877719,-0.0060933214,-3.4487757e-06,1.6728469e-05,1.6550686e-05,1.0,40,0.020682039,5.500644e-06,0,7.13750775627078e-09,1.0
8,8,2201436.2,483.15726,4156.466,4184.453,-83.36956,7.153499646432465,-0.006177909,-8.342e-06,1.7393613e-05,1.716172e-05,1.0,40,0.020649716,4.9348664e-06,0,3.4615457691794896e-09,1.0
9,9,1905053.1,633.10175,4831.5806,4872.883,-82.53483,7.705502819298999,-0.0061532594,7.2307107e-06,1.7291148e-05,1.6999273e-05,1.0,40,0.020344807,4.175107e-06,0,8.539653151703734e-09,1.0
10,10,1648567.4,674.1924,5998.288,6036.058,-83.58701,8.423503066733247,-0.0061302865,-3.8242078e-07,1.609482e-05,1.5894027e-05,1.0,41,0.019007765,3.149036e-06,0,1.4370118139682278e-08,1.0
11,11,1426616.2,564.5926,6574.541,6598.739,-85.091736,8.840486259869067,-0.0061443164,-5.444156e-07,1.696866e-05,1.6844439e-05,1.0,41,0.021836951,3.3092613e-06,0,1.430728357268565e-08,1.0
12,12,1234551.2,821.7792,7772.8384,7816.1587,-83.96485,9.392495432781288,-0.0061641405,3.9955776e-06,1.6585607e-05,1.6402268e-05,1.0,41,0.021084988,2.6976152e-06,0,1.3404569779825219e-08,1.0
13,13,1068345.5,836.47626,8662.113,8702.407,-84.48421,9.944502392288996,-0.006186014,7.1035547e-06,1.7198263e-05,1.7039369e-05,1.0,41,0.020435454,2.348253e-06,0,1.3269823791475233e-08,1.0
14,14,924510.06,658.1212,9860.494,9882.433,-86.18156,10.496501805173466,-0.00615557,6.2525387e-06,1.7458617e-05,1.7381188e-05,1.0,41,0.020251326,2.0492248e-06,0,1.3672871819339762e-08,1.0
