Filename	10172024_PEGDA_PEGMEA_0_Aerosil380_20_LITFSI-1
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA no aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature
min	MPa	%	°C
0.01	1.23596e-5	0.528949	30.29
0.03	3.54215e-5	0.635837	30.29
0.04	5.45643e-5	0.742701	30.29
0.06	7.37652e-5	0.849564	30.29
0.08	9.25189e-5	0.956423	30.29
0.09	1.13850e-4	1.06328	30.29
0.11	1.36675e-4	1.17014	30.28
0.13	1.55599e-4	1.27701	30.28
0.14	1.74866e-4	1.38387	30.28
0.16	1.93317e-4	1.49073	30.28
0.18	2.17115e-4	1.59759	30.28
0.19	2.41015e-4	1.70445	30.28
0.21	2.62739e-4	1.81131	30.28
0.23	2.84799e-4	1.91817	30.27
0.24	3.06642e-4	2.02503	30.27
0.26	3.32833e-4	2.13189	30.27
0.28	3.60059e-4	2.23875	30.27
0.29	3.85987e-4	2.34560	30.27
0.31	4.11104e-4	2.45247	30.27
0.33	4.36544e-4	2.55933	30.27
0.34	4.66730e-4	2.66619	30.26
0.36	4.96786e-4	2.77305	30.26
0.38	5.23562e-4	2.87992	30.26
0.39	5.53817e-4	2.98677	30.26
0.41	5.85970e-4	3.09363	30.26
0.43	6.19954e-4	3.20050	30.26
0.44	6.54354e-4	3.30736	30.26
0.46	6.87259e-4	3.41421	30.26
0.48	7.22609e-4	3.52107	30.26
0.49	7.59021e-4	3.62794	30.25
0.51	8.01368e-4	3.73480	30.25
0.53	8.44220e-4	3.84165	30.25
0.54	8.85821e-4	3.94852	30.25
0.56	9.29102e-4	4.05538	30.25
0.58	9.71901e-4	4.16224	30.25
0.59	1.01827e-3	4.26910	30.25
0.61	1.06894e-3	4.37595	30.25
0.63	1.11949e-3	4.48282	30.24
0.64	1.17252e-3	4.58967	30.24
0.66	1.22285e-3	4.69653	30.24
0.68	1.28210e-3	4.80340	30.24
0.69	1.34264e-3	4.91026	30.24
0.71	1.40499e-3	5.01711	30.24
0.73	1.47083e-3	5.12396	30.24
0.74	1.53482e-3	5.23082	30.24
0.76	1.60273e-3	5.33771	30.24
0.78	1.67706e-3	5.44454	30.24
0.79	1.75328e-3	5.55140	30.24
0.81	1.82919e-3	5.65827	30.23
0.83	1.90732e-3	5.76513	30.23
0.84	1.99765e-3	5.87198	30.23
0.86	2.08819e-3	5.97886	30.23
