Filename	10172024_PEGDA_PEGMEA_0_Aerosil380_20_LITFSI-b
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA no aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
0.01	1.02033e-6	1.32178	30.30	1.35656e-4	19.9487
0.03	2.45021e-6	1.38916	30.31	3.25764e-4	20.9657
0.04	3.69751e-6	1.45655	30.32	4.91595e-4	21.9828
0.06	4.79964e-6	1.52395	30.32	6.38128e-4	23.0000
0.08	6.46967e-6	1.59135	30.31	8.60163e-4	24.0172
0.09	8.43968e-6	1.65875	30.30	1.12208e-3	25.0345
0.11	9.95949e-6	1.72614	30.29	1.32415e-3	26.0516
0.13	1.10750e-5	1.79355	30.27	1.47245e-3	27.0689
0.14	1.17693e-5	1.86095	30.29	1.56477e-3	28.0861
0.16	1.33145e-5	1.92835	30.32	1.77021e-3	29.1033
0.18	1.54314e-5	1.99574	30.33	2.05166e-3	30.1205
0.19	1.65339e-5	2.06314	30.31	2.19823e-3	31.1376
0.21	1.74542e-5	2.13055	30.30	2.32059e-3	32.1550
0.23	1.82798e-5	2.19795	30.29	2.43036e-3	33.1722
0.24	1.95801e-5	2.26534	30.28	2.60323e-3	34.1894
0.26	2.17693e-5	2.33273	30.28	2.89430e-3	35.2065
0.28	2.27837e-5	2.40014	30.29	3.02916e-3	36.2238
0.29	2.37707e-5	2.46754	30.31	3.16039e-3	37.2410
0.31	2.46490e-5	2.53493	30.31	3.27716e-3	38.2581
0.33	2.60792e-5	2.60235	30.30	3.46731e-3	39.2756
0.34	2.80744e-5	2.66974	30.30	3.73258e-3	40.2927
0.36	2.90517e-5	2.73713	30.29	3.86252e-3	41.3098
0.38	3.00382e-5	2.80453	30.28	3.99368e-3	42.3271
0.39	3.07825e-5	2.87194	30.28	4.09264e-3	43.3443
0.41	3.23308e-5	2.93933	30.28	4.29848e-3	44.3614
0.43	3.42545e-5	3.00673	30.29	4.55425e-3	45.3787
0.44	3.52655e-5	3.07414	30.30	4.68867e-3	46.3960
0.46	3.63854e-5	3.14153	30.30	4.83756e-3	47.4132
0.48	3.71765e-5	3.20892	30.30	4.94274e-3	48.4302
0.49	3.86513e-5	3.27633	30.29	5.13881e-3	49.4476
0.51	4.07437e-5	3.34373	30.29	5.41701e-3	50.4648
0.53	4.18417e-5	3.41112	30.28	5.56299e-3	51.4819
0.54	4.27616e-5	3.47853	30.28	5.68530e-3	52.4992
0.56	4.35271e-5	3.54593	30.29	5.78707e-3	53.5165
0.58	4.51155e-5	3.61333	30.30	5.99826e-3	54.5336
0.59	4.69748e-5	3.68072	30.30	6.24546e-3	55.5507
0.61	4.80922e-5	3.74812	30.30	6.39401e-3	56.5680
0.63	4.91088e-5	3.81552	30.29	6.52918e-3	57.5853
0.64	4.99219e-5	3.88292	30.29	6.63728e-3	58.6025
0.66	5.17520e-5	3.95032	30.29	6.88060e-3	59.6197
0.68	5.37325e-5	4.01771	30.29	7.14392e-3	60.6368
0.69	5.46783e-5	4.08512	30.30	7.26966e-3	61.6541
0.71	5.58108e-5	4.15252	30.30	7.42022e-3	62.6714
0.73	5.66965e-5	4.21992	30.30	7.53798e-3	63.6886
0.74	5.83957e-5	4.28732	30.30	7.76389e-3	64.7058
0.76	6.05660e-5	4.35471	30.30	8.05244e-3	65.7229
0.78	6.17846e-5	4.42211	30.30	8.21447e-3	66.7401
0.79	6.28276e-5	4.48952	30.30	8.35313e-3	67.7575
0.81	6.37246e-5	4.55692	30.30	8.47239e-3	68.7748
0.83	6.55264e-5	4.62431	30.30	8.71195e-3	69.7918
0.84	6.75906e-5	4.69172	30.30	8.98639e-3	70.8091
0.86	6.87548e-5	4.75910	30.30	9.14117e-3	71.8261
0.88	6.98084e-5	4.82649	30.30	9.28125e-3	72.8432
0.89	7.08227e-5	4.89390	30.30	9.41611e-3	73.8604
0.91	7.25884e-5	4.96132	30.30	9.65086e-3	74.8780
0.93	7.47814e-5	5.02872	30.30	9.94243e-3	75.8953
0.94	7.59806e-5	5.09609	30.30	0.0101019	76.9121
0.96	7.71858e-5	5.16351	30.30	0.0102621	77.9296
0.98	7.81175e-5	5.23090	30.30	0.0103860	78.9466
0.99	8.01482e-5	5.29830	30.30	0.0106560	79.9639
1.01	8.22568e-5	5.36570	30.30	0.0109363	80.9811
1.03	8.33556e-5	5.43312	30.30	0.0110824	81.9986
1.04	8.46504e-5	5.50049	30.30	0.0112546	83.0155
1.06	8.56663e-5	5.56791	30.30	0.0113896	84.0329
1.08	8.74480e-5	5.63529	30.29	0.0116265	85.0499
1.09	8.96065e-5	5.70270	30.29	0.0119135	86.0672
1.11	9.09363e-5	5.77009	30.29	0.0120903	87.0843
1.13	9.21357e-5	5.83750	30.29	0.0122497	88.1016
1.14	9.31941e-5	5.90490	30.29	0.0123905	89.1189
1.16	9.50965e-5	5.97230	30.29	0.0126434	90.1362
1.18	9.72347e-5	6.03970	30.28	0.0129277	91.1534
1.19	9.84077e-5	6.10710	30.28	0.0130836	92.1706
1.21	9.99520e-5	6.17449	30.28	0.0132889	93.1877
1.23	1.00955e-4	6.24190	30.28	0.0134223	94.2050
1.24	1.03132e-4	6.30928	30.28	0.0137117	95.2219
1.26	1.04947e-4	6.37668	30.28	0.0139530	96.2392
1.28	1.06556e-4	6.44407	30.27	0.0141669	97.2563
1.29	1.07570e-4	6.51149	30.27	0.0143018	98.2738
1.31	1.08698e-4	6.57888	30.27	0.0144517	99.2908
1.33	1.10809e-4	6.64628	30.27	0.0147325	100.308
1.34	1.12917e-4	6.71369	30.27	0.0150127	101.325
1.36	1.14250e-4	6.78107	30.26	0.0151899	102.342
1.38	1.15499e-4	6.84847	30.26	0.0153559	103.360
1.39	1.16616e-4	6.91588	30.26	0.0155045	104.377
1.41	1.19162e-4	6.98328	30.26	0.0158430	105.394
1.43	1.20875e-4	7.05068	30.26	0.0160708	106.411
1.44	1.22399e-4	7.11808	30.25	0.0162733	107.429
1.46	1.23776e-4	7.18547	30.25	0.0164565	108.446
1.48	1.25047e-4	7.25287	30.25	0.0166254	109.463
1.49	1.27147e-4	7.32029	30.25	0.0169046	110.480
1.51	1.29119e-4	7.38769	30.25	0.0171668	111.498
1.53	1.30562e-4	7.45508	30.25	0.0173587	112.515
1.54	1.31938e-4	7.52248	30.24	0.0175416	113.532
1.56	1.32860e-4	7.58988	30.24	0.0176641	114.549
1.58	1.35440e-4	7.65726	30.24	0.0180072	115.566
1.59	1.37450e-4	7.72466	30.23	0.0182744	116.583
1.61	1.38794e-4	7.79206	30.23	0.0184532	117.601
1.63	1.40040e-4	7.85947	30.23	0.0186188	118.618
1.64	1.41155e-4	7.92686	30.23	0.0187671	119.635
1.66	1.43612e-4	7.99427	30.23	0.0190937	120.652
1.68	1.45651e-4	8.06168	30.22	0.0193647	121.670
1.69	1.47316e-4	8.12907	30.22	0.0195862	122.687
1.71	1.48827e-4	8.19647	30.22	0.0197871	123.704
1.73	1.50185e-4	8.26387	30.22	0.0199675	124.721
1.74	1.52984e-4	8.33128	30.21	0.0203397	125.739
