Filename	10172024_PEGDA_PEGMEA_6,42_Aerosil380_20_LITFSI-a
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 6p42 aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Displacement	Force
min	MPa	%	°C	µm	N
0.01	6.51114e-6	0.490318	30.43	6.94678	2.34034e-4
0.03	1.64233e-5	0.607957	30.43	8.61347	5.90313e-4
0.04	3.15740e-5	0.725578	30.43	10.2799	1.13489e-3
0.06	4.41458e-5	0.843196	30.43	11.9463	1.58676e-3
0.08	5.50603e-5	0.960812	30.42	13.6127	1.97907e-3
0.09	6.60976e-5	1.07844	30.42	15.2792	2.37579e-3
0.11	7.61863e-5	1.19606	30.42	16.9457	2.73842e-3
0.13	9.21384e-5	1.31368	30.42	18.6121	3.31179e-3
0.14	1.06050e-4	1.43130	30.42	20.2785	3.81182e-3
0.16	1.18232e-4	1.54892	30.42	21.9449	4.24968e-3
0.18	1.30528e-4	1.66655	30.42	23.6115	4.69166e-3
0.19	1.42375e-4	1.78417	30.41	25.2779	5.11749e-3
0.21	1.60566e-4	1.90178	30.41	26.9442	5.77134e-3
0.23	1.74538e-4	2.01940	30.41	28.6107	6.27355e-3
0.24	1.88709e-4	2.13703	30.41	30.2773	6.78290e-3
0.26	2.03056e-4	2.25465	30.41	31.9436	7.29859e-3
0.28	2.17123e-4	2.37226	30.41	33.6099	7.80421e-3
0.29	2.36751e-4	2.48989	30.41	35.2765	8.50971e-3
0.31	2.53207e-4	2.60751	30.41	36.9430	9.10121e-3
0.33	2.69049e-4	2.72512	30.41	38.6092	9.67060e-3
0.34	2.85498e-4	2.84275	30.40	40.2758	0.0102618
0.36	3.01759e-4	2.96037	30.40	41.9421	0.0108463
0.38	3.24524e-4	3.07800	30.40	43.6088	0.0116646
0.39	3.45204e-4	3.19561	30.40	45.2750	0.0124079
0.41	3.64252e-4	3.31324	30.40	46.9416	0.0130926
0.43	3.84438e-4	3.43085	30.40	48.6079	0.0138181
0.44	4.05073e-4	3.54848	30.40	50.2745	0.0145598
0.46	4.31534e-4	3.66609	30.40	51.9408	0.0155109
0.48	4.56101e-4	3.78371	30.40	53.6073	0.0163940
0.49	4.79039e-4	3.90134	30.40	55.2737	0.0172184
0.51	5.02698e-4	4.01895	30.39	56.9401	0.0180688
0.53	5.27023e-4	4.13658	30.39	58.6066	0.0189431
0.54	5.57076e-4	4.25419	30.39	60.2730	0.0200234
0.56	5.84770e-4	4.37181	30.39	61.9394	0.0210188
0.58	6.13560e-4	4.48944	30.39	63.6059	0.0220536
0.59	6.42726e-4	4.60705	30.39	65.2722	0.0231020
0.61	6.73200e-4	4.72467	30.39	66.9387	0.0241973
0.63	7.10150e-4	4.84230	30.39	68.6051	0.0255254
0.64	7.46727e-4	4.95991	30.39	70.2715	0.0268401
0.66	7.83608e-4	5.07753	30.39	71.9379	0.0281658
0.68	8.20012e-4	5.19515	30.39	73.6043	0.0294743
0.69	8.62954e-4	5.31278	30.38	75.2709	0.0310177
0.71	9.23631e-4	5.43038	30.38	76.9371	0.0331987
0.73	9.86874e-4	5.54799	30.38	78.6034	0.0354719
0.74	1.05774e-3	5.66563	30.38	80.2700	0.0380192
0.76	1.13643e-3	5.78324	30.38	81.9364	0.0408476
0.78	1.22118e-3	5.90084	30.38	83.6025	0.0438936
0.79	1.31818e-3	6.01847	30.38	85.2690	0.0473802
0.81	1.41730e-3	6.13608	30.38	86.9354	0.0509432
0.83	1.52368e-3	6.25370	30.38	88.6018	0.0547668
0.84	1.64001e-3	6.37131	30.38	90.2681	0.0589480
0.86	1.76622e-3	6.48893	30.38	91.9345	0.0634845
0.88	1.90862e-3	6.60654	30.38	93.6008	0.0686030
0.89	2.06096e-3	6.72415	30.38	95.2671	0.0740787
0.91	2.22186e-3	6.84177	30.38	96.9335	0.0798620
0.93	2.39295e-3	6.95939	30.38	98.5999	0.0860113
0.94	2.57581e-3	7.07700	30.38	100.266	0.0925841
0.96	2.77503e-3	7.19462	30.37	101.933	0.0997450
0.98	2.98380e-3	7.31223	30.37	103.599	0.107249
0.99	3.20463e-3	7.42982	30.37	105.265	0.115186
1.01	3.43849e-3	7.54746	30.37	106.932	0.123592
1.03	3.68823e-3	7.66506	30.37	108.598	0.132569
1.04	3.95657e-3	7.78266	30.37	110.264	0.142214
1.06	4.23682e-3	7.90028	30.37	111.930	0.152287
