"sample_ID","ionic_conductivity_final","fcomp_mat1","fcomp_mat2","fcomp_mat1_ratio","fcomp_mat2_ratio","fcomp_additive","fcomp_additive_wt_pct","fcomp_salt","fcomp_salt_wt_pct","fcomp_formulation","date_casted","cast_type","fab_method","area_cm2","spe_thickness_avg","print_type","flag_for_removal","validation"
"KR_134",5.4381e-06,"PEGMEA","PEGDA",0.9,0.1,"TiO2",0,"LiTFSI",0,"0.9 PEGMEA, 0.1 PEGDA, NA TiO2, NA LiTFSI",2023-04-05,"coin cell",0,1.77,0.11,"Coin cell",FALSE,"NO"
"KR_135",4.117e-06,"PEGMEA","PEGDA",0.9,0.1,"TiO2",0,"LiTFSI",0,"0.9 PEGMEA, 0.1 PEGDA, NA TiO2, NA LiTFSI",2023-04-05,"coin cell",0,1.77,0.11,"Coin cell",FALSE,"NO"
"KR_136",8.711e-06,"PEGMEA","PEGDA",0.9,0.1,"TiO2",0,"LiTFSI",0,"0.9 PEGMEA, 0.1 PEGDA, NA TiO2, NA LiTFSI",2023-04-05,"coin cell",0,1.77,0.112,"Coin cell",FALSE,"NO"
"KR_141",8.5813e-06,"PEGMEA","PEGDA",0.9,0.1,"TiO2",0,"LiTFSI",0,"0.9 PEGMEA, 0.1 PEGDA, NA TiO2, NA LiTFSI",2023-04-05,"coin cell",0,1.77,0.115,"Coin cell",FALSE,"NO"
"KR_152",1.8492e-06,"PEGMEA","PEGDA",0.9,0.1,"TiO2",0,"LiTFSI",0,"0.9 PEGMEA, 0.1 PEGDA, NA TiO2, NA LiTFSI",2023-08-17,"coin cell",0,1.77,0.29,"Coin cell",FALSE,"NO"
"KR_153",2.3076e-06,"PEGMEA","PEGDA",0.9,0.1,"TiO2",0,"LiTFSI",0,"0.9 PEGMEA, 0.1 PEGDA, NA TiO2, NA LiTFSI",2023-08-17,"coin cell",0,1.77,0.29,"Coin cell",FALSE,"NO"
"KR_154",1.7393e-06,"PEGMEA","PEGDA",0.9,0.1,"TiO2",0,"LiTFSI",0,"0.9 PEGMEA, 0.1 PEGDA, NA TiO2, NA LiTFSI",2023-08-17,"coin cell",0,1.77,0.29,"Coin cell",FALSE,"NO"
"KR_155",7.5477e-06,"PEGMEA","PEGDA",0.9,0.1,"none",0,"LiTFSI",0,"0.9 PEGMEA, 0.1 PEGDA, NA LiTFSI",2023-08-17,"coin cell",0,1.77,0.851,"Coin cell",NA,"NO"
"KR_161",8.4908e-06,"PEGMEA","PEGDA",0.9,0.1,"Aerosil 380",0,"LiTFSI",0,"0.9 PEGMEA, 0.1 PEGDA, NA aerosil 380, NA LiTFSI",2023-08-17,"coin cell",0,1.77,1.8335,"Coin cell",FALSE,"NO"
"KR_162",5.1854e-06,"PEGMEA","PEGDA",0.9,0.1,"Aerosil 380",0,"LiTFSI",0,"0.9 PEGMEA, 0.1 PEGDA, NA aerosil 380, NA LiTFSI",2023-08-17,"coin cell",0,1.77,1.4685,"Coin cell",FALSE,"NO"
