"sample_ID","ionic_conductivity_final","fcomp_mat1","fcomp_mat2","fcomp_mat1_ratio","fcomp_mat2_ratio","fcomp_additive","fcomp_additive_wt_pct","fcomp_salt","fcomp_salt_wt_pct","fcomp_formulation","date_casted","cast_type","fab_method","area_cm2","spe_thickness_avg","print_type","flag_for_removal"
"KR_01",1.0582e-07,"PEGMEA","PEGDA",0.9,0.1,"Cab-O-Sil EH%",5,"none",0,"0.9 PEGMEA, 0.1 PEGDA, 5 Cab-O-Sil EH%",2023-05-09,"PCB print",0,0.0066,0.264,"PCB print",FALSE
"KR_02",2.8933e-07,"PEGMEA","PEGDA",0.9,0.1,"Cab-O-Sil EH%",4,"none",0,"0.9 PEGMEA, 0.1 PEGDA, 4 Cab-O-Sil EH%",2023-05-09,"PCB print",0,0.0276,1.102,"PCB print",FALSE
"KR_03",1.3652e-07,"PEGMEA","PEGDA",0.9,0.1,"Cab-O-Sil EH%",3,"none",0,"0.9 PEGMEA, 0.1 PEGDA, 3 Cab-O-Sil EH%",2023-05-09,"PCB print",0,0.0307,1.228,"PCB print",FALSE
"KR_04",1.362e-07,"PEGMEA","PEGDA",0.9,0.1,"Cab-O-Sil EH%",2,"none",0,"0.9 PEGMEA, 0.1 PEGDA, 2 Cab-O-Sil EH%",2023-05-09,"PCB print",0,0.0228,0.913,"PCB print",FALSE
"KR_05",9.0976e-08,"PEGMEA","PEGDA",0.9,0.1,"Cab-O-Sil EH%",1,"none",0,"0.9 PEGMEA, 0.1 PEGDA, 1 Cab-O-Sil EH%",2023-05-09,"PCB print",0,0.0342,1.369,"PCB print",FALSE
"KR_06",1.0563e-07,"PEGMEA","PEGDA",0.9,0.1,"Cab-O-Sil EH%",0,"none",0,"0.9 PEGMEA, 0.1 PEGDA, 0 Cab-O-Sil EH%",2023-05-09,"PCB print",0,0.0139,0.555,"PCB print",FALSE
"KR_07",4.9383e-08,"PEGMEA","PEGDA",0.9,0.1,"Cab-O-Sil EH%",5,"none",0,"0.9 PEGMEA, 0.1 PEGDA, 5 Cab-O-Sil EH%",2023-05-09,"PCB print",0,0.0436,1.744,"PCB print",FALSE
"KR_08",NA,"PEGMEA","PEGDA",0.9,0.1,"Cab-O-Sil EH%",4.67,"none",0,"0.9 PEGMEA, 0.1 PEGDA, 4.67 Cab-O-Sil EH%",2023-05-09,"PCB print",0,0.0196,0.785,"PCB print",FALSE
"KR_09",NA,"PEGMEA","PEGDA",0.9,0.1,"Cab-O-Sil EH%",4.33,"none",0,"0.9 PEGMEA, 0.1 PEGDA, 4.33 Cab-O-Sil EH%",2023-05-09,"PCB print",0,0.0208,0.834,"PCB print",FALSE
"KR_10",NA,"PEGMEA","PEGDA",0.9,0.1,"Cab-O-Sil EH%",4,"none",0,"0.9 PEGMEA, 0.1 PEGDA, 4 Cab-O-Sil EH%",2023-05-09,"PCB print",0,0.03,1.198,"PCB print",FALSE
"KR_100",1e-04,"PEGMEA","PEGDA",0.9,0.1,"Aerosil 90",6.43,"LiTFSI",6.43,"0.9 PEGMEA, 0.1 PEGDA, 6.43 Aerosil 90, 6.43 LiTFSI",2023-07-19,"PCB print",0,0.0289,1.158,"PCB print",FALSE
"KR_100",0,"PEGMEA","PEGDA",0.9,0.1,"Aerosil 90",6.43,"LiTFSI",6.43,"0.9 PEGMEA, 0.1 PEGDA, 6.43 Aerosil 90, 6.43 LiTFSI",2023-07-19,"PCB print",0,0.0289,1.158,"PCB print",FALSE
"KR_100",0,"PEGMEA","PEGDA",0.9,0.1,"Aerosil 90",6.43,"LiTFSI",6.43,"0.9 PEGMEA, 0.1 PEGDA, 6.43 Aerosil 90, 6.43 LiTFSI",2023-07-19,"PCB print",0,0.0289,1.158,"PCB print",FALSE
"KR_101",0,"PEGMEA","PEGDA",0.9,0.1,"Aerosil 90",4.29,"LiTFSI",4.29,"0.9 PEGMEA, 0.1 PEGDA, 4.29 Aerosil 90, 4.29 LiTFSI",2023-07-19,"PCB print",0,0.0237,0.9495,"PCB print",FALSE
